Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
NOR,McLaren,5,0 days 00:02:23.648000,0 days 00:00:53.992000,0 days 00:00:31.669000,0 days 00:00:57.987000,Intermediate,5,4,,0 days 01:21:07.473000,4,False,0 days 01:23:29.003000,143.648,53.992,31.669,57.987,5009.003,4988.292,15.8,76.0,1009.9,False,19.0,260,2.6,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.37586322120739585,0.22046251949209178,0.4036742593005124,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,96.36856666666667,30,Mid,61.480999999999995,True,False,False,True
VER,Red Bull Racing,5,0 days 00:02:23.609000,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,Intermediate,5,4,,0 days 01:21:09.534000,4,False,0 days 01:23:30.835000,143.609,53.513,32.627,57.469,5010.835,4988.292,15.8,76.0,1009.9,False,19.0,260,2.6,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.37262984910416475,0.22719328175810707,0.4001768691377281,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.12989999999999,30,Mid,60.528000000000006,True,False,False,True
PIA,McLaren,5,0 days 00:02:23.155000,0 days 00:00:53.433000,0 days 00:00:32.176000,0 days 00:00:57.546000,Intermediate,5,4,,0 days 01:21:11.064000,4,False,0 days 01:23:32.129000,143.155,53.433,32.176,57.546,5012.129,4988.292,15.8,76.0,1009.9,False,19.0,260,2.6,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.3732527679787643,0.22476336837693411,0.4019838636443016,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,96.52076666666667,30,Mid,59.913,True,False,False,True
RUS,Mercedes,5,0 days 00:02:21.712000,0 days 00:00:51.373000,0 days 00:00:31.913000,0 days 00:00:58.426000,Intermediate,5,4,,0 days 01:21:14.431000,4,False,0 days 01:23:34.018000,141.712,51.373,31.913,58.426,5014.018,4988.292,15.8,76.0,1009.9,False,19.0,260,2.6,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.36251693575702837,0.2251961725189116,0.41228689172406013,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.6904,30,Mid,56.64699999999999,True,False,False,True
LEC,Ferrari,5,0 days 00:02:22.597000,0 days 00:00:51.208000,0 days 00:00:31.916000,0 days 00:00:59.473000,Intermediate,5,4,,0 days 01:21:16.471000,4,False,0 days 01:23:36.865000,142.597,51.208,31.916,59.473,5016.865,4988.292,15.8,76.0,1009.9,False,19.0,260,2.6,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.35910993919928186,0.22381957544688877,0.4170704853538293,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.89296666666668,30,Mid,57.32600000000001,True,False,False,True
TSU,Racing Bulls,5,0 days 00:02:21.441000,0 days 00:00:49.721000,0 days 00:00:33.012000,0 days 00:00:58.708000,Intermediate,5,4,,0 days 01:21:19.691000,4,False,0 days 01:23:39.022000,141.441,49.721,33.012,58.708,5019.022,5048.292,15.8,75.0,1010.0,False,19.0,265,3.9,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.3515317340799344,0.23339767111375062,0.415070594806315,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.67406896551724,29,Mid,57.247,True,False,False,True
ALB,Williams,5,0 days 00:02:22.084000,0 days 00:00:51.338000,0 days 00:00:30.169000,0 days 00:01:00.577000,Intermediate,3,4,,0 days 01:21:22.068000,4,False,0 days 01:23:41.639000,142.084,51.338,30.169,60.577,5021.639,5048.292,15.8,75.0,1010.0,False,19.0,265,3.9,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.3613214718054109,0.21233214155006896,0.4263463866445201,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.62693103448277,29,Mid,57.48700000000001,True,False,False,True
HAM,Ferrari,5,0 days 00:02:21.772000,0 days 00:00:51.182000,0 days 00:00:31.506000,0 days 00:00:59.084000,Intermediate,5,4,,0 days 01:21:24.483000,4,False,0 days 01:23:43.068000,141.772,51.182,31.506,59.084,5023.068,5048.292,15.8,75.0,1010.0,False,19.0,265,3.9,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.3610162796602997,0.22223005953220665,0.41675366080749376,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.62713793103448,29,Mid,57.55399999999999,True,False,False,True
GAS,Alpine,5,0 days 00:02:21.360000,0 days 00:00:51.180000,0 days 00:00:30.446000,0 days 00:00:59.734000,Intermediate,5,4,,0 days 01:21:27.130000,4,False,0 days 01:23:44.875000,141.36,51.18,30.446,59.734,5024.875,5048.292,15.8,75.0,1010.0,False,19.0,265,3.9,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.3620543293718166,0.21537917374080362,0.42256649688737974,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.65206896551723,29,Mid,56.34000000000002,True,False,False,True
ALO,Aston Martin,5,0 days 00:02:22.181000,0 days 00:00:52.318000,0 days 00:00:29.721000,0 days 00:01:00.142000,Intermediate,5,4,,0 days 01:21:29.030000,4,False,0 days 01:23:47.410000,142.181,52.318,29.721,60.142,5027.41,5048.292,15.8,75.0,1010.0,False,19.0,265,3.9,False,True,True,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,Melbourne,Australia,,,Permanent,,,0.36796759060633977,0.2090363691351165,0.42299604025854365,2,False,Australian Grand Prix,australian_grand_prix,2025,2025-03-16,97.13664285714286,28,Closing,53.36200000000001,True,False,False,True
