Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:30.710000,0 days 00:00:18.377000,0 days 00:00:38.691000,0 days 00:00:33.642000,MEDIUM,2.0,1.0,,,1,True,90.71,18.377,38.691,33.642,abu_dhabi_grand_prix
VER,3.0,0 days 00:01:30.408000,0 days 00:00:18.549000,0 days 00:00:38.725000,0 days 00:00:33.134000,MEDIUM,3.0,1.0,,,1,True,90.408,18.549,38.725,33.134,abu_dhabi_grand_prix
VER,4.0,0 days 00:01:30.716000,0 days 00:00:18.562000,0 days 00:00:38.810000,0 days 00:00:33.344000,MEDIUM,4.0,1.0,,,1,True,90.716,18.562,38.81,33.344,abu_dhabi_grand_prix
VER,5.0,0 days 00:01:30.552000,0 days 00:00:18.599000,0 days 00:00:38.714000,0 days 00:00:33.239000,MEDIUM,5.0,1.0,,,1,True,90.552,18.599,38.714,33.239,abu_dhabi_grand_prix
VER,6.0,0 days 00:01:30.440000,0 days 00:00:18.445000,0 days 00:00:38.767000,0 days 00:00:33.228000,MEDIUM,6.0,1.0,,,1,True,90.44,18.445,38.767,33.228,abu_dhabi_grand_prix
VER,7.0,0 days 00:01:30.529000,0 days 00:00:18.491000,0 days 00:00:38.692000,0 days 00:00:33.346000,MEDIUM,7.0,1.0,,,1,True,90.529,18.491,38.692,33.346,abu_dhabi_grand_prix
VER,8.0,0 days 00:01:30.516000,0 days 00:00:18.368000,0 days 00:00:38.719000,0 days 00:00:33.429000,MEDIUM,8.0,1.0,,,1,True,90.516,18.368,38.719,33.429,abu_dhabi_grand_prix
VER,9.0,0 days 00:01:30.632000,0 days 00:00:18.439000,0 days 00:00:38.862000,0 days 00:00:33.331000,MEDIUM,9.0,1.0,,,1,True,90.632,18.439,38.862,33.331,abu_dhabi_grand_prix
VER,10.0,0 days 00:01:30.506000,0 days 00:00:18.414000,0 days 00:00:38.750000,0 days 00:00:33.342000,MEDIUM,10.0,1.0,,,1,True,90.506,18.414,38.75,33.342,abu_dhabi_grand_prix
VER,11.0,0 days 00:01:30.561000,0 days 00:00:18.432000,0 days 00:00:38.836000,0 days 00:00:33.293000,MEDIUM,11.0,1.0,,,1,True,90.561,18.432,38.836,33.293,abu_dhabi_grand_prix
VER,12.0,0 days 00:01:30.590000,0 days 00:00:18.433000,0 days 00:00:38.875000,0 days 00:00:33.282000,MEDIUM,12.0,1.0,,,1,True,90.59,18.433,38.875,33.282,abu_dhabi_grand_prix
VER,13.0,0 days 00:01:30.561000,0 days 00:00:18.427000,0 days 00:00:38.811000,0 days 00:00:33.323000,MEDIUM,13.0,1.0,,,1,True,90.561,18.427,38.811,33.323,abu_dhabi_grand_prix
VER,14.0,0 days 00:01:30.647000,0 days 00:00:18.412000,0 days 00:00:38.790000,0 days 00:00:33.445000,MEDIUM,14.0,1.0,,,1,True,90.647,18.412,38.79,33.445,abu_dhabi_grand_prix
VER,15.0,0 days 00:01:30.267000,0 days 00:00:18.168000,0 days 00:00:38.814000,0 days 00:00:33.285000,MEDIUM,15.0,1.0,,,1,True,90.267,18.168,38.814,33.285,abu_dhabi_grand_prix
VER,16.0,0 days 00:01:32.558000,0 days 00:00:18.117000,0 days 00:00:39.027000,0 days 00:00:35.414000,MEDIUM,16.0,1.0,0 days 01:26:36.112000,,1,False,92.558,18.117,39.027,35.414,abu_dhabi_grand_prix
VER,17.0,0 days 00:01:50.188000,0 days 00:00:38.181000,0 days 00:00:38.775000,0 days 00:00:33.232000,HARD,1.0,2.0,,0 days 01:26:57.721000,1,False,110.188,38.181,38.775,33.232,abu_dhabi_grand_prix
VER,18.0,0 days 00:01:29.896000,0 days 00:00:18.177000,0 days 00:00:38.474000,0 days 00:00:33.245000,HARD,2.0,2.0,,,1,True,89.896,18.177,38.474,33.245,abu_dhabi_grand_prix
VER,19.0,0 days 00:01:29.386000,0 days 00:00:18.279000,0 days 00:00:38.057000,0 days 00:00:33.050000,HARD,3.0,2.0,,,1,True,89.386,18.279,38.057,33.05,abu_dhabi_grand_prix
VER,20.0,0 days 00:01:29.628000,0 days 00:00:18.203000,0 days 00:00:38.358000,0 days 00:00:33.067000,HARD,4.0,2.0,,,1,True,89.628,18.203,38.358,33.067,abu_dhabi_grand_prix
VER,21.0,0 days 00:01:29.127000,0 days 00:00:18.244000,0 days 00:00:37.840000,0 days 00:00:33.043000,HARD,5.0,2.0,,,1,True,89.127,18.244,37.84,33.043,abu_dhabi_grand_prix
VER,22.0,0 days 00:01:29.689000,0 days 00:00:18.395000,0 days 00:00:38.444000,0 days 00:00:32.850000,HARD,6.0,2.0,,,1,True,89.689,18.395,38.444,32.85,abu_dhabi_grand_prix
VER,23.0,0 days 00:01:29.634000,0 days 00:00:18.251000,0 days 00:00:38.546000,0 days 00:00:32.837000,HARD,7.0,2.0,,,1,True,89.634,18.251,38.546,32.837,abu_dhabi_grand_prix
VER,24.0,0 days 00:01:29.293000,0 days 00:00:18.149000,0 days 00:00:38.385000,0 days 00:00:32.759000,HARD,8.0,2.0,,,1,True,89.293,18.149,38.385,32.759,abu_dhabi_grand_prix
VER,25.0,0 days 00:01:29.401000,0 days 00:00:18.161000,0 days 00:00:38.436000,0 days 00:00:32.804000,HARD,9.0,2.0,,,1,True,89.401,18.161,38.436,32.804,abu_dhabi_grand_prix
VER,26.0,0 days 00:01:29.289000,0 days 00:00:18.151000,0 days 00:00:38.435000,0 days 00:00:32.703000,HARD,10.0,2.0,,,1,True,89.289,18.151,38.435,32.703,abu_dhabi_grand_prix
VER,27.0,0 days 00:01:29.156000,0 days 00:00:18.092000,0 days 00:00:38.399000,0 days 00:00:32.665000,HARD,11.0,2.0,,,1,True,89.156,18.092,38.399,32.665,abu_dhabi_grand_prix
VER,28.0,0 days 00:01:29.217000,0 days 00:00:18.052000,0 days 00:00:38.437000,0 days 00:00:32.728000,HARD,12.0,2.0,,,1,True,89.217,18.052,38.437,32.728,abu_dhabi_grand_prix
VER,29.0,0 days 00:01:29.183000,0 days 00:00:17.953000,0 days 00:00:38.469000,0 days 00:00:32.761000,HARD,13.0,2.0,,,1,True,89.183,17.953,38.469,32.761,abu_dhabi_grand_prix
VER,30.0,0 days 00:01:29.266000,0 days 00:00:18.080000,0 days 00:00:38.425000,0 days 00:00:32.761000,HARD,14.0,2.0,,,1,True,89.266,18.08,38.425,32.761,abu_dhabi_grand_prix
VER,31.0,0 days 00:01:29.149000,0 days 00:00:18.014000,0 days 00:00:38.411000,0 days 00:00:32.724000,HARD,15.0,2.0,,,1,True,89.149,18.014,38.411,32.724,abu_dhabi_grand_prix
VER,32.0,0 days 00:01:29.100000,0 days 00:00:17.994000,0 days 00:00:38.454000,0 days 00:00:32.652000,HARD,16.0,2.0,,,1,True,89.1,17.994,38.454,32.652,abu_dhabi_grand_prix
VER,33.0,0 days 00:01:29.137000,0 days 00:00:18,0 days 00:00:38.435000,0 days 00:00:32.702000,HARD,17.0,2.0,,,1,True,89.137,18.0,38.435,32.702,abu_dhabi_grand_prix
VER,34.0,0 days 00:01:29.077000,0 days 00:00:17.920000,0 days 00:00:38.467000,0 days 00:00:32.690000,HARD,18.0,2.0,,,1,True,89.077,17.92,38.467,32.69,abu_dhabi_grand_prix
VER,35.0,0 days 00:01:29.148000,0 days 00:00:17.929000,0 days 00:00:38.526000,0 days 00:00:32.693000,HARD,19.0,2.0,,,1,True,89.148,17.929,38.526,32.693,abu_dhabi_grand_prix
