Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
NOR,McLaren,2,0 days 00:01:33.046000,0 days 00:00:29.667000,0 days 00:00:37.481000,0 days 00:00:25.898000,Medium,2,1,,,1,True,0 days 01:05:18.551000,93.046,29.667,37.481,25.898,3918.551,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31884229305934697,0.4028222599574404,0.2783354469832126,3,False,british_grand_prix,2023,93.847625,32
VER,Red Bull Racing,2,0 days 00:01:33.433000,0 days 00:00:29.616000,0 days 00:00:38,0 days 00:00:25.817000,Medium,2,1,,,1,True,0 days 01:05:19.554000,93.433,29.616,38.0,25.817,3919.554,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.3169758008412445,0.4067085505121317,0.2763156486466238,3,False,british_grand_prix,2023,93.392125,32
PIA,McLaren,2,0 days 00:01:33.845000,0 days 00:00:29.690000,0 days 00:00:38.097000,0 days 00:00:26.058000,Medium,2,1,,,1,True,0 days 01:05:20.572000,93.845,29.69,38.097,26.058,3920.572,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31637274228781503,0.40595663061431086,0.27767062709787416,3,False,british_grand_prix,2023,93.00110714285714,28
LEC,Ferrari,2,0 days 00:01:33.994000,0 days 00:00:29.616000,0 days 00:00:38.175000,0 days 00:00:26.203000,Medium,2,1,,,1,True,0 days 01:05:21.248000,93.994,29.616,38.175,26.203,3921.248,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31508394152818264,0.40614294529438044,0.27877311317743686,3,False,british_grand_prix,2023,93.34011764705882,17
RUS,Mercedes,2,0 days 00:01:34.115000,0 days 00:00:29.665000,0 days 00:00:38.479000,0 days 00:00:25.971000,Soft,5,1,,,1,True,0 days 01:05:21.720000,94.115,29.665,38.479,25.971,3921.72,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31519948998565583,0.4088508739308293,0.27594963608351486,3,False,british_grand_prix,2023,93.17025925925927,27
SAI,Ferrari,2,0 days 00:01:34.177000,0 days 00:00:29.700000,0 days 00:00:38.454000,0 days 00:00:26.023000,Medium,2,1,,,1,True,0 days 01:05:22.415000,94.177,29.7,38.454,26.023,3922.415,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.3153636238147318,0.4083162555613366,0.2763201206239315,3,False,british_grand_prix,2023,93.34188,25
ALO,Aston Martin,2,0 days 00:01:34.419000,0 days 00:00:30.019000,0 days 00:00:38.184000,0 days 00:00:26.216000,Medium,3,1,,,1,True,0 days 01:05:23.399000,94.419,30.019,38.184,26.216,3923.399,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31793389042459674,0.4044101293171925,0.27765598025821076,3,False,british_grand_prix,2023,94.55834375,32
HAM,Mercedes,2,0 days 00:01:34.361000,0 days 00:00:29.569000,0 days 00:00:38.433000,0 days 00:00:26.359000,Medium,2,1,,,1,True,0 days 01:05:23.979000,94.361,29.569,38.433,26.359,3923.979,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.31336039253505155,0.40729750638505313,0.2793421010798953,3,False,british_grand_prix,2023,94.1820625,32
GAS,Alpine,2,0 days 00:01:34.706000,0 days 00:00:29.954000,0 days 00:00:38.367000,0 days 00:00:26.385000,Medium,2,1,,,1,True,0 days 01:05:24.674000,94.706,29.954,38.367,26.385,3924.674,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.3162840791502122,0.40511688805355517,0.27859903279623255,3,False,british_grand_prix,2023,93.51656666666666,30
ALB,Williams,2,0 days 00:01:35.004000,0 days 00:00:29.913000,0 days 00:00:38.718000,0 days 00:00:26.373000,Medium,2,1,,,1,True,0 days 01:05:25.322000,95.004,29.913,38.718,26.373,3925.322,3912.509,21.5,54.0,1001.2,False,29.6,196,2.7,False,True,,,0.3148604269293924,0.40754073512694206,0.2775988379436655,3,False,british_grand_prix,2023,93.71248387096774,31
