Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
VER,Red Bull Racing,2,0 days 00:01:18.075000,0 days 00:00:21.686000,0 days 00:00:25.051000,0 days 00:00:31.338000,Medium,2,1,,,1,True,0 days 01:04:46.876000,78.075,21.686,25.051,31.338,3886.876,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.2777585654819084,0.3208581492154979,0.40138328530259365,1,False,canadian_grand_prix,2023,80.32336363636364,11
HAM,Mercedes,2,0 days 00:01:18.397000,0 days 00:00:21.901000,0 days 00:00:25.022000,0 days 00:00:31.474000,Medium,2,1,,,1,True,0 days 01:04:48.096000,78.397,21.901,25.022,31.474,3888.096,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.2793601795987091,0.31917037641746493,0.4014694439838259,1,False,canadian_grand_prix,2023,81.202,11
ALO,Aston Martin,2,0 days 00:01:18.599000,0 days 00:00:21.897000,0 days 00:00:25.269000,0 days 00:00:31.433000,Medium,2,1,,,1,True,0 days 01:04:49.212000,78.599,21.897,25.269,31.433,3889.212,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.27859133067850733,0.3214926398554689,0.3999160294660237,1,False,canadian_grand_prix,2023,81.16181818181818,11
RUS,Mercedes,2,0 days 00:01:18.882000,0 days 00:00:22.289000,0 days 00:00:25.181000,0 days 00:00:31.412000,Medium,2,1,,,1,True,0 days 01:04:49.979000,78.882,22.289,25.181,31.412,3889.979,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.2825612940848356,0.3192236505159605,0.3982150553992038,1,False,canadian_grand_prix,2023,79.4038,10
OCO,Alpine,2,0 days 00:01:19.331000,0 days 00:00:22.343000,0 days 00:00:25.471000,0 days 00:00:31.517000,Medium,2,1,,,1,True,0 days 01:04:51.419000,79.331,22.343,25.471,31.517,3891.419,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.28164273739143586,0.3210724685179816,0.3972847940905825,1,False,canadian_grand_prix,2023,82.17754545454545,11
HUL,Haas F1 Team,2,0 days 00:01:19.510000,0 days 00:00:22.414000,0 days 00:00:25.382000,0 days 00:00:31.714000,Medium,2,1,,,1,True,0 days 01:04:52.336000,79.51,22.414,25.382,31.714,3892.336,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.28190164759149794,0.31923028549867943,0.3988680669098226,1,False,canadian_grand_prix,2023,82.1806,10
PIA,McLaren,2,0 days 00:01:19.753000,0 days 00:00:22.566000,0 days 00:00:25.527000,0 days 00:00:31.660000,Medium,2,1,,,1,True,0 days 01:04:52.937000,79.753,22.566,25.527,31.66,3892.937,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.28294860381427656,0.32007573382819454,0.39697566235752885,1,False,canadian_grand_prix,2023,82.447,11
NOR,McLaren,2,0 days 00:01:19.916000,0 days 00:00:22.501000,0 days 00:00:25.681000,0 days 00:00:31.734000,Medium,2,1,,,1,True,0 days 01:04:53.736000,79.916,22.501,25.681,31.734,3893.736,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.281558136042845,0.32134991741328395,0.3970919465438711,1,False,canadian_grand_prix,2023,83.17854545454544,11
LEC,Ferrari,2,0 days 00:01:19.777000,0 days 00:00:22.384000,0 days 00:00:25.679000,0 days 00:00:31.714000,Medium,2,1,,,1,True,0 days 01:04:54.094000,79.777,22.384,25.679,31.714,3894.094,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.28058212266693405,0.3218847537510811,0.3975331235819848,1,False,canadian_grand_prix,2023,84.24381578947369,38
ALB,Williams,2,0 days 00:01:19.630000,0 days 00:00:22.646000,0 days 00:00:25.424000,0 days 00:00:31.560000,Medium,3,1,,,1,True,0 days 01:04:54.526000,79.63,22.646,25.424,31.56,3894.526,3899.679,18.5,63.0,1011.5,False,32.5,304,2.0,False,True,,,0.28439030516137137,0.31927665452718823,0.3963330403114404,1,False,canadian_grand_prix,2023,83.108,11
