Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
NOR,McLaren,2,0 days 00:01:47.848000,0 days 00:00:37.353000,0 days 00:00:36.440000,0 days 00:00:34.055000,Soft,2,1,,,1,True,0 days 01:05:23.170000,107.848,37.353,36.44,34.055,3923.17,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.34634856464653957,0.3378829463689637,0.3157684889844967,3,False,dutch_grand_prix,2023,111.49600000000001,2
VER,Red Bull Racing,2,0 days 00:01:49.972000,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,Soft,2,1,0 days 01:05:25.519000,,1,False,0 days 01:05:24.644000,109.972,36.33,36.685,36.957,3924.644,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,2.0,,0.3303568180991525,0.3335849125231878,0.3360582693776598,1,False,dutch_grand_prix,2023,109.972,1
ALB,Williams,2,0 days 00:01:48.180000,0 days 00:00:36.857000,0 days 00:00:36.643000,0 days 00:00:34.680000,Soft,2,1,,,1,True,0 days 01:05:25.551000,108.18,36.857,36.643,34.68,3925.551,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.34070068404510995,0.33872249953780736,0.32057681641708263,3,False,dutch_grand_prix,2023,85.66304651162791,43
RUS,Mercedes,2,0 days 00:01:47.161000,0 days 00:00:37.093000,0 days 00:00:36.472000,0 days 00:00:33.596000,Soft,2,1,,,1,True,0 days 01:05:25.644000,107.161,37.093,36.472,33.596,3925.644,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.346142719832775,0.3403477011226099,0.31350957904461507,3,False,dutch_grand_prix,2023,107.95066666666666,3
ALO,Aston Martin,2,0 days 00:01:50.145000,0 days 00:00:36.326000,0 days 00:00:36.088000,0 days 00:00:37.731000,Soft,2,1,0 days 01:05:26.488000,,1,False,0 days 01:05:25.998000,110.145,36.326,36.088,37.731,3925.998,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,2.0,,0.3298016251305098,0.3276408370783967,0.3425575377910936,2,False,dutch_grand_prix,2023,110.145,1
PIA,McLaren,2,0 days 00:01:49.109000,0 days 00:00:37.722000,0 days 00:00:37.531000,0 days 00:00:33.856000,Soft,2,1,,,1,True,0 days 01:05:27.774000,109.109,37.722,37.531,33.856,3927.774,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.3457276668285843,0.34397712379363754,0.3102952093777782,3,False,dutch_grand_prix,2023,88.52442857142857,14
STR,Aston Martin,2,0 days 00:01:50.241000,0 days 00:00:38.390000,0 days 00:00:37.670000,0 days 00:00:34.181000,Soft,2,1,,,1,True,0 days 01:05:30.410000,110.241,38.39,37.67,34.181,3930.41,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.34823704429386526,0.3417058988942408,0.31005705681189394,3,False,dutch_grand_prix,2023,112.104,3
SAI,Ferrari,2,0 days 00:01:53.117000,0 days 00:00:37.457000,0 days 00:00:37.208000,0 days 00:00:38.452000,Soft,2,1,0 days 01:05:31.378000,,1,False,0 days 01:05:30.898000,113.117,37.457,37.208,38.452,3930.898,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,2.0,,0.3311350194930912,0.32893375885145465,0.3399312216554541,2,False,dutch_grand_prix,2023,113.117,1
BOT,Alfa Romeo,2,0 days 00:01:50.912000,0 days 00:00:37.938000,0 days 00:00:38.497000,0 days 00:00:34.477000,Soft,2,1,,,1,True,0 days 01:05:31.811000,110.912,37.938,38.497,34.477,3931.811,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.34205496249278705,0.3470949942296595,0.31085004327755333,3,False,dutch_grand_prix,2023,89.85573333333333,15
HUL,Haas F1 Team,2,0 days 00:01:51.204000,0 days 00:00:37.884000,0 days 00:00:38.605000,0 days 00:00:34.715000,Soft,2,1,,,1,True,0 days 01:05:32.395000,111.204,37.884,38.605,34.715,3932.395,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.3406711988777382,0.34715477860508615,0.3121740225171757,3,False,dutch_grand_prix,2023,89.90799999999999,15
PER,Red Bull Racing,2,0 days 00:01:49.613000,0 days 00:00:52.335000,0 days 00:00:29.343000,0 days 00:00:27.935000,Intermediate,1,2,,0 days 01:04:06.020000,1,False,0 days 01:05:32.443000,109.613,52.335,29.343,27.935,3932.443,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.4774524919489477,0.2676963498855063,0.25485115816554604,3,False,dutch_grand_prix,2023,87.59427272727272,11
HAM,Mercedes,2,0 days 00:01:54.350000,0 days 00:00:39.117000,0 days 00:00:39.717000,0 days 00:00:35.516000,Medium,2,1,,,1,True,0 days 01:05:36.246000,114.35,39.117,39.717,35.516,3936.246,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.34208132925229556,0.34732837778749454,0.3105902929602099,3,False,dutch_grand_prix,2023,116.6825,2
SAR,Williams,2,0 days 00:01:53.444000,0 days 00:00:38.342000,0 days 00:00:39.828000,0 days 00:00:35.274000,Soft,2,1,,,1,True,0 days 01:05:36.399000,113.444,38.342,39.828,35.274,3936.399,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.3379817354818236,0.35108070942491454,0.3109375550932619,3,False,dutch_grand_prix,2023,92.50815384615385,13
OCO,Alpine,2,0 days 00:01:56.975000,0 days 00:00:37.481000,0 days 00:00:38.425000,0 days 00:00:41.069000,Soft,2,1,0 days 01:05:39.659000,,1,False,0 days 01:05:39.137000,116.975,37.481,38.425,41.069,3939.137,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,2.0,,0.32041889292583886,0.3284889933746527,0.3510921136995085,1,False,dutch_grand_prix,2023,116.975,1
ZHO,Alfa Romeo,2,0 days 00:01:52.606000,0 days 00:00:55.076000,0 days 00:00:30.573000,0 days 00:00:26.957000,Intermediate,1,2,,0 days 01:04:12.176000,1,False,0 days 01:05:41.162000,112.606,55.076,30.573,26.957,3941.162,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.4891036001634016,0.27150418272560967,0.23939221711098876,3,False,dutch_grand_prix,2023,88.88766666666668,9
GAS,Alpine,2,0 days 00:01:54.457000,0 days 00:00:58.024000,0 days 00:00:29.706000,0 days 00:00:26.727000,Intermediate,7,2,,0 days 01:04:16.161000,1,False,0 days 01:05:41.437000,114.457,58.024,29.706,26.727,3941.437,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.5069502083751977,0.25953851664817357,0.2335112749766288,3,False,dutch_grand_prix,2023,88.649,10
LEC,Ferrari,2,0 days 00:01:58.969000,0 days 00:01:02.095000,0 days 00:00:30.229000,0 days 00:00:26.645000,Intermediate,1,2,,0 days 01:04:19.114000,1,False,0 days 01:05:44.857000,118.969,62.095,30.229,26.645,3944.857,3946.519,17.2,69.0,1007.9,True,27.3,158,1.2,True,False,,,0.5219426909531054,0.2540914019618556,0.22396590708503897,3,False,dutch_grand_prix,2023,90.0222,10
