Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:25.157000,0 days 00:00:30.527000,0 days 00:00:30.848000,0 days 00:00:23.782000,MEDIUM,5.0,1.0,,,1,True,85.157,30.527,30.848,23.782,hungarian_grand_prix
VER,3.0,0 days 00:01:25.070000,0 days 00:00:30.491000,0 days 00:00:30.724000,0 days 00:00:23.855000,MEDIUM,6.0,1.0,,,1,True,85.07,30.491,30.724,23.855,hungarian_grand_prix
VER,4.0,0 days 00:01:24.542000,0 days 00:00:30.403000,0 days 00:00:30.495000,0 days 00:00:23.644000,MEDIUM,7.0,1.0,,,1,True,84.542,30.403,30.495,23.644,hungarian_grand_prix
VER,5.0,0 days 00:01:24.843000,0 days 00:00:30.395000,0 days 00:00:30.707000,0 days 00:00:23.741000,MEDIUM,8.0,1.0,,,1,True,84.843,30.395,30.707,23.741,hungarian_grand_prix
VER,6.0,0 days 00:01:24.596000,0 days 00:00:30.248000,0 days 00:00:30.586000,0 days 00:00:23.762000,MEDIUM,9.0,1.0,,,1,True,84.596,30.248,30.586,23.762,hungarian_grand_prix
VER,7.0,0 days 00:01:24.487000,0 days 00:00:30.235000,0 days 00:00:30.487000,0 days 00:00:23.765000,MEDIUM,10.0,1.0,,,1,True,84.487,30.235,30.487,23.765,hungarian_grand_prix
VER,8.0,0 days 00:01:24.509000,0 days 00:00:30.362000,0 days 00:00:30.468000,0 days 00:00:23.679000,MEDIUM,11.0,1.0,,,1,True,84.509,30.362,30.468,23.679,hungarian_grand_prix
VER,9.0,0 days 00:01:24.437000,0 days 00:00:30.271000,0 days 00:00:30.533000,0 days 00:00:23.633000,MEDIUM,12.0,1.0,,,1,True,84.437,30.271,30.533,23.633,hungarian_grand_prix
VER,10.0,0 days 00:01:24.405000,0 days 00:00:30.290000,0 days 00:00:30.405000,0 days 00:00:23.710000,MEDIUM,13.0,1.0,,,1,True,84.405,30.29,30.405,23.71,hungarian_grand_prix
VER,11.0,0 days 00:01:24.462000,0 days 00:00:30.318000,0 days 00:00:30.352000,0 days 00:00:23.792000,MEDIUM,14.0,1.0,,,1,True,84.462,30.318,30.352,23.792,hungarian_grand_prix
