Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:26.163000,0 days 00:00:28.274000,0 days 00:00:29.543000,0 days 00:00:28.346000,MEDIUM,2.0,1.0,,,1,True,86.163,28.274,29.543,28.346,italian_grand_prix
VER,3.0,0 days 00:01:25.702000,0 days 00:00:28.097000,0 days 00:00:29.320000,0 days 00:00:28.285000,MEDIUM,3.0,1.0,,,1,True,85.702,28.097,29.32,28.285,italian_grand_prix
VER,4.0,0 days 00:01:26.050000,0 days 00:00:28.145000,0 days 00:00:29.474000,0 days 00:00:28.431000,MEDIUM,4.0,1.0,,,1,True,86.05,28.145,29.474,28.431,italian_grand_prix
VER,5.0,0 days 00:01:26.176000,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,MEDIUM,5.0,1.0,,,1,True,86.176,28.155,29.514,28.507,italian_grand_prix
VER,6.0,0 days 00:01:26.837000,0 days 00:00:28.700000,0 days 00:00:29.662000,0 days 00:00:28.475000,MEDIUM,6.0,1.0,,,1,True,86.837,28.7,29.662,28.475,italian_grand_prix
VER,7.0,0 days 00:01:26.368000,0 days 00:00:28.166000,0 days 00:00:29.751000,0 days 00:00:28.451000,MEDIUM,7.0,1.0,,,1,True,86.368,28.166,29.751,28.451,italian_grand_prix
VER,8.0,0 days 00:01:25.990000,0 days 00:00:28.075000,0 days 00:00:29.432000,0 days 00:00:28.483000,MEDIUM,8.0,1.0,,,1,True,85.99,28.075,29.432,28.483,italian_grand_prix
VER,9.0,0 days 00:01:26.605000,0 days 00:00:28.149000,0 days 00:00:29.927000,0 days 00:00:28.529000,MEDIUM,9.0,1.0,,,1,True,86.605,28.149,29.927,28.529,italian_grand_prix
VER,10.0,0 days 00:01:26.603000,0 days 00:00:28.315000,0 days 00:00:29.780000,0 days 00:00:28.508000,MEDIUM,10.0,1.0,,,1,True,86.603,28.315,29.78,28.508,italian_grand_prix
VER,11.0,0 days 00:01:26.643000,0 days 00:00:28.233000,0 days 00:00:29.893000,0 days 00:00:28.517000,MEDIUM,11.0,1.0,,,1,True,86.643,28.233,29.893,28.517,italian_grand_prix
VER,12.0,0 days 00:01:26.442000,0 days 00:00:28.179000,0 days 00:00:29.813000,0 days 00:00:28.450000,MEDIUM,12.0,1.0,,,1,True,86.442,28.179,29.813,28.45,italian_grand_prix
VER,13.0,0 days 00:01:26.666000,0 days 00:00:28.254000,0 days 00:00:29.907000,0 days 00:00:28.505000,MEDIUM,13.0,1.0,,,1,True,86.666,28.254,29.907,28.505,italian_grand_prix
VER,14.0,0 days 00:01:27.028000,0 days 00:00:28.223000,0 days 00:00:30.280000,0 days 00:00:28.525000,MEDIUM,14.0,1.0,,,1,True,87.028,28.223,30.28,28.525,italian_grand_prix
VER,15.0,0 days 00:01:26.782000,0 days 00:00:28.137000,0 days 00:00:30.444000,0 days 00:00:28.201000,MEDIUM,15.0,1.0,,,1,True,86.782,28.137,30.444,28.201,italian_grand_prix
VER,16.0,0 days 00:01:26.718000,0 days 00:00:28.450000,0 days 00:00:29.910000,0 days 00:00:28.358000,MEDIUM,16.0,1.0,,,1,True,86.718,28.45,29.91,28.358,italian_grand_prix
VER,17.0,0 days 00:01:26.733000,0 days 00:00:28.348000,0 days 00:00:29.889000,0 days 00:00:28.496000,MEDIUM,17.0,1.0,,,1,True,86.733,28.348,29.889,28.496,italian_grand_prix
VER,18.0,0 days 00:01:26.273000,0 days 00:00:28.247000,0 days 00:00:29.668000,0 days 00:00:28.358000,MEDIUM,18.0,1.0,,,1,True,86.273,28.247,29.668,28.358,italian_grand_prix
VER,19.0,0 days 00:01:26.438000,0 days 00:00:28.368000,0 days 00:00:29.832000,0 days 00:00:28.238000,MEDIUM,19.0,1.0,,,1,True,86.438,28.368,29.832,28.238,italian_grand_prix
VER,20.0,0 days 00:01:30.849000,0 days 00:00:28.384000,0 days 00:00:29.907000,0 days 00:00:32.558000,MEDIUM,20.0,1.0,0 days 01:51:13.003000,,1,False,90.849,28.384,29.907,32.558,italian_grand_prix
VER,21.0,0 days 00:01:45.660000,0 days 00:00:48.054000,0 days 00:00:29.398000,0 days 00:00:28.208000,HARD,1.0,2.0,,0 days 01:51:37.284000,1,False,105.66,48.054,29.398,28.208,italian_grand_prix
VER,22.0,0 days 00:01:25.885000,0 days 00:00:28.010000,0 days 00:00:29.546000,0 days 00:00:28.329000,HARD,2.0,2.0,,,1,True,85.885,28.01,29.546,28.329,italian_grand_prix
