Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,5.0,0 days 00:01:36.748000,0 days 00:00:34.900000,0 days 00:00:42.960000,0 days 00:00:18.888000,MEDIUM,5.0,1.0,,,1,True,96.748,34.9,42.96,18.888,japanese_grand_prix
VER,6.0,0 days 00:01:37.837000,0 days 00:00:35.176000,0 days 00:00:43.659000,0 days 00:00:19.002000,MEDIUM,6.0,1.0,,,1,True,97.837,35.176,43.659,19.002,japanese_grand_prix
VER,7.0,0 days 00:01:38.033000,0 days 00:00:35.395000,0 days 00:00:43.518000,0 days 00:00:19.120000,MEDIUM,7.0,1.0,,,1,True,98.033,35.395,43.518,19.12,japanese_grand_prix
VER,8.0,0 days 00:01:38.148000,0 days 00:00:35.547000,0 days 00:00:43.697000,0 days 00:00:18.904000,MEDIUM,8.0,1.0,,,1,True,98.148,35.547,43.697,18.904,japanese_grand_prix
VER,9.0,0 days 00:01:38.241000,0 days 00:00:35.535000,0 days 00:00:43.764000,0 days 00:00:18.942000,MEDIUM,9.0,1.0,,,1,True,98.241,35.535,43.764,18.942,japanese_grand_prix
VER,10.0,0 days 00:01:38.301000,0 days 00:00:35.544000,0 days 00:00:43.760000,0 days 00:00:18.997000,MEDIUM,10.0,1.0,,,1,True,98.301,35.544,43.76,18.997,japanese_grand_prix
VER,11.0,0 days 00:01:38.519000,0 days 00:00:35.704000,0 days 00:00:43.810000,0 days 00:00:19.005000,MEDIUM,11.0,1.0,,,1,True,98.519,35.704,43.81,19.005,japanese_grand_prix
VER,12.0,0 days 00:01:38.651000,0 days 00:00:35.709000,0 days 00:00:43.950000,0 days 00:00:18.992000,MEDIUM,12.0,1.0,,,12,True,98.651,35.709,43.95,18.992,japanese_grand_prix
VER,13.0,0 days 00:01:38.689000,0 days 00:00:35.715000,0 days 00:00:43.930000,0 days 00:00:19.044000,MEDIUM,13.0,1.0,,,1,True,98.689,35.715,43.93,19.044,japanese_grand_prix
VER,14.0,0 days 00:01:59.754000,0 days 00:00:43.967000,0 days 00:00:56.351000,0 days 00:00:19.436000,MEDIUM,14.0,1.0,,,167,False,119.754,43.967,56.351,19.436,japanese_grand_prix
VER,15.0,0 days 00:01:38.373000,0 days 00:00:35.566000,0 days 00:00:43.781000,0 days 00:00:19.026000,MEDIUM,15.0,1.0,,,1,True,98.373,35.566,43.781,19.026,japanese_grand_prix
VER,16.0,0 days 00:01:41.172000,0 days 00:00:35.811000,0 days 00:00:43.803000,0 days 00:00:21.558000,MEDIUM,16.0,1.0,0 days 01:33:30.843000,,1,False,101.172,35.811,43.803,21.558,japanese_grand_prix
VER,17.0,0 days 00:01:58.025000,0 days 00:00:55.875000,0 days 00:00:43.296000,0 days 00:00:18.854000,MEDIUM,1.0,2.0,,0 days 01:33:55.140000,1,False,118.025,55.875,43.296,18.854,japanese_grand_prix
VER,18.0,0 days 00:01:37.399000,0 days 00:00:35.205000,0 days 00:00:43.259000,0 days 00:00:18.935000,MEDIUM,2.0,2.0,,,1,True,97.399,35.205,43.259,18.935,japanese_grand_prix
VER,19.0,0 days 00:01:37.769000,0 days 00:00:35.312000,0 days 00:00:43.573000,0 days 00:00:18.884000,MEDIUM,3.0,2.0,,,1,True,97.769,35.312,43.573,18.884,japanese_grand_prix
VER,20.0,0 days 00:01:37.344000,0 days 00:00:35.182000,0 days 00:00:43.275000,0 days 00:00:18.887000,MEDIUM,4.0,2.0,,,1,True,97.344,35.182,43.275,18.887,japanese_grand_prix
VER,21.0,0 days 00:01:37.565000,0 days 00:00:35.243000,0 days 00:00:43.400000,0 days 00:00:18.922000,MEDIUM,5.0,2.0,,,1,True,97.565,35.243,43.4,18.922,japanese_grand_prix
VER,22.0,0 days 00:01:37.592000,0 days 00:00:35.387000,0 days 00:00:43.333000,0 days 00:00:18.872000,MEDIUM,6.0,2.0,,,1,True,97.592,35.387,43.333,18.872,japanese_grand_prix
VER,23.0,0 days 00:01:37.722000,0 days 00:00:35.268000,0 days 00:00:43.546000,0 days 00:00:18.908000,MEDIUM,7.0,2.0,,,1,True,97.722,35.268,43.546,18.908,japanese_grand_prix
VER,24.0,0 days 00:01:37.714000,0 days 00:00:35.295000,0 days 00:00:43.465000,0 days 00:00:18.954000,MEDIUM,8.0,2.0,,,1,True,97.714,35.295,43.465,18.954,japanese_grand_prix
VER,25.0,0 days 00:01:37.946000,0 days 00:00:35.443000,0 days 00:00:43.553000,0 days 00:00:18.950000,MEDIUM,9.0,2.0,,,1,True,97.946,35.443,43.553,18.95,japanese_grand_prix
VER,26.0,0 days 00:01:37.903000,0 days 00:00:35.391000,0 days 00:00:43.568000,0 days 00:00:18.944000,MEDIUM,10.0,2.0,,,1,True,97.903,35.391,43.568,18.944,japanese_grand_prix
VER,27.0,0 days 00:01:37.865000,0 days 00:00:35.465000,0 days 00:00:43.540000,0 days 00:00:18.860000,MEDIUM,11.0,2.0,,,1,True,97.865,35.465,43.54,18.86,japanese_grand_prix
VER,28.0,0 days 00:01:37.558000,0 days 00:00:35.321000,0 days 00:00:43.411000,0 days 00:00:18.826000,MEDIUM,12.0,2.0,,,1,True,97.558,35.321,43.411,18.826,japanese_grand_prix
VER,29.0,0 days 00:01:37.424000,0 days 00:00:35.048000,0 days 00:00:43.439000,0 days 00:00:18.937000,MEDIUM,13.0,2.0,,,1,True,97.424,35.048,43.439,18.937,japanese_grand_prix
VER,30.0,0 days 00:01:37.599000,0 days 00:00:35.259000,0 days 00:00:43.400000,0 days 00:00:18.940000,MEDIUM,14.0,2.0,,,1,True,97.599,35.259,43.4,18.94,japanese_grand_prix
VER,31.0,0 days 00:01:37.599000,0 days 00:00:35.352000,0 days 00:00:43.368000,0 days 00:00:18.879000,MEDIUM,15.0,2.0,,,1,True,97.599,35.352,43.368,18.879,japanese_grand_prix
VER,32.0,0 days 00:01:37.920000,0 days 00:00:35.434000,0 days 00:00:43.455000,0 days 00:00:19.031000,MEDIUM,16.0,2.0,,,1,True,97.92,35.434,43.455,19.031,japanese_grand_prix
VER,33.0,0 days 00:01:37.655000,0 days 00:00:35.356000,0 days 00:00:43.454000,0 days 00:00:18.845000,MEDIUM,17.0,2.0,,,1,True,97.655,35.356,43.454,18.845,japanese_grand_prix
