Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:02:13.011000,0 days 00:00:39.773000,0 days 00:00:44.450000,0 days 00:00:48.788000,MEDIUM,2.0,1.0,,,671,False,133.011,39.773,44.45,48.788,las_vegas_grand_prix
VER,3.0,0 days 00:01:49.988000,0 days 00:00:29.413000,0 days 00:00:33.294000,0 days 00:00:47.281000,MEDIUM,3.0,1.0,,,124,False,109.988,29.413,33.294,47.281,las_vegas_grand_prix
VER,7.0,0 days 00:01:40.785000,0 days 00:00:29.256000,0 days 00:00:33.440000,0 days 00:00:38.089000,MEDIUM,7.0,1.0,,,1,True,100.785,29.256,33.44,38.089,las_vegas_grand_prix
VER,8.0,0 days 00:01:40.142000,0 days 00:00:29.033000,0 days 00:00:33.306000,0 days 00:00:37.803000,MEDIUM,8.0,1.0,,,1,True,100.142,29.033,33.306,37.803,las_vegas_grand_prix
VER,9.0,0 days 00:01:39.669000,0 days 00:00:28.653000,0 days 00:00:33.163000,0 days 00:00:37.853000,MEDIUM,9.0,1.0,,,1,True,99.669,28.653,33.163,37.853,las_vegas_grand_prix
VER,10.0,0 days 00:01:39.484000,0 days 00:00:28.549000,0 days 00:00:33.175000,0 days 00:00:37.760000,MEDIUM,10.0,1.0,,,1,True,99.484,28.549,33.175,37.76,las_vegas_grand_prix
VER,11.0,0 days 00:01:38.763000,0 days 00:00:28.393000,0 days 00:00:32.747000,0 days 00:00:37.623000,MEDIUM,11.0,1.0,,,1,True,98.763,28.393,32.747,37.623,las_vegas_grand_prix
VER,12.0,0 days 00:01:38.773000,0 days 00:00:28.375000,0 days 00:00:32.794000,0 days 00:00:37.604000,MEDIUM,12.0,1.0,,,1,True,98.773,28.375,32.794,37.604,las_vegas_grand_prix
VER,13.0,0 days 00:01:38.759000,0 days 00:00:28.319000,0 days 00:00:32.875000,0 days 00:00:37.565000,MEDIUM,13.0,1.0,,,1,True,98.759,28.319,32.875,37.565,las_vegas_grand_prix
VER,14.0,0 days 00:01:38.942000,0 days 00:00:28.376000,0 days 00:00:32.926000,0 days 00:00:37.640000,MEDIUM,14.0,1.0,,,12,True,98.942,28.376,32.926,37.64,las_vegas_grand_prix
