Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
VER,Red Bull Racing,2,0 days 00:01:23.859000,0 days 00:00:29.750000,0 days 00:00:32.647000,0 days 00:00:21.462000,Medium,2,1,,,1,True,0 days 01:05:07.994000,83.859,29.75,32.647,21.462,3907.994,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3547621602928726,0.38930824359937516,0.2559295961077523,3,False,mexico_city_grand_prix,2023,84.94744444444444,18
LEC,Ferrari,2,0 days 00:01:23.980000,0 days 00:00:29.402000,0 days 00:00:32.946000,0 days 00:00:21.632000,Medium,2,1,,,1,True,0 days 01:05:09.692000,83.98,29.402,32.946,21.632,3909.692,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.35010716837342226,0.39230769230769225,0.25758513931888544,3,False,mexico_city_grand_prix,2023,84.63233333333332,30
SAI,Ferrari,2,0 days 00:01:24.300000,0 days 00:00:29.486000,0 days 00:00:33.062000,0 days 00:00:21.752000,Medium,2,1,,,1,True,0 days 01:05:10.740000,84.3,29.486,33.062,21.752,3910.74,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3497746144721234,0.3921945432977461,0.2580308422301305,3,False,mexico_city_grand_prix,2023,84.9493448275862,29
RIC,AlphaTauri,2,0 days 00:01:24.178000,0 days 00:00:29.576000,0 days 00:00:33.032000,0 days 00:00:21.570000,Medium,2,1,,,1,True,0 days 01:05:11.507000,84.178,29.576,33.032,21.57,3911.507,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3513507092114329,0.39240656703651783,0.25624272375204926,3,False,mexico_city_grand_prix,2023,85.1901153846154,26
HAM,Mercedes,2,0 days 00:01:24.314000,0 days 00:00:29.499000,0 days 00:00:33.152000,0 days 00:00:21.663000,Medium,2,1,,,1,True,0 days 01:05:12.221000,84.314,29.499,33.152,21.663,3912.221,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3498707213511398,0.3931968593590626,0.2569324192897977,3,False,mexico_city_grand_prix,2023,85.07795652173913,23
PIA,McLaren,2,0 days 00:01:24.416000,0 days 00:00:29.567000,0 days 00:00:33.094000,0 days 00:00:21.755000,Medium,2,1,,,1,True,0 days 01:05:13.638000,84.416,29.567,33.094,21.755,3913.638,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.350253506444276,0.3920346853677028,0.25771180818802125,3,False,mexico_city_grand_prix,2023,85.30499999999999,24
RUS,Mercedes,2,0 days 00:01:24.500000,0 days 00:00:29.505000,0 days 00:00:33.351000,0 days 00:00:21.644000,Medium,2,1,,,1,True,0 days 01:05:14.080000,84.5,29.505,33.351,21.644,3914.08,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3491715976331361,0.3946863905325444,0.2561420118343195,3,False,mexico_city_grand_prix,2023,85.29092,25
HUL,Haas F1 Team,2,0 days 00:01:25.057000,0 days 00:00:29.753000,0 days 00:00:33.630000,0 days 00:00:21.674000,Medium,2,1,,,1,True,0 days 01:05:15.100000,85.057,29.753,33.63,21.674,3915.1,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3498007218688644,0.3953819203592885,0.2548173577718471,3,False,mexico_city_grand_prix,2023,86.0055,22
GAS,Alpine,2,0 days 00:01:25.443000,0 days 00:00:29.980000,0 days 00:00:33.674000,0 days 00:00:21.789000,Medium,2,1,,,1,True,0 days 01:05:15.867000,85.443,29.98,33.674,21.789,3915.867,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3508771929824562,0.39411069367882684,0.25501211333871704,3,False,mexico_city_grand_prix,2023,85.80022222222222,27
ZHO,Alfa Romeo,2,0 days 00:01:25.512000,0 days 00:00:29.827000,0 days 00:00:33.817000,0 days 00:00:21.868000,Medium,2,1,,,1,True,0 days 01:05:16.476000,85.512,29.827,33.817,21.868,3916.476,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3488048461034709,0.3954649639816634,0.25573018991486574,3,False,mexico_city_grand_prix,2023,86.3403,20
ALB,Williams,2,0 days 00:01:25.552000,0 days 00:00:29.799000,0 days 00:00:33.741000,0 days 00:00:22.012000,Hard,2,1,,,1,True,0 days 01:05:17.170000,85.552,29.799,33.741,22.012,3917.17,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.34831447540677013,0.3943917149803628,0.257293809612867,3,False,mexico_city_grand_prix,2023,86.4425,32
BOT,Alfa Romeo,2,0 days 00:01:25.666000,0 days 00:00:29.681000,0 days 00:00:33.807000,0 days 00:00:22.178000,Medium,2,1,,,1,True,0 days 01:05:17.788000,85.666,29.681,33.807,22.178,3917.788,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.3464735134125558,0.39463731235262534,0.25888917423481894,3,False,mexico_city_grand_prix,2023,85.96826666666668,30
MAG,Haas F1 Team,2,0 days 00:01:25.699000,0 days 00:00:29.739000,0 days 00:00:33.573000,0 days 00:00:22.387000,Medium,2,1,,,1,True,0 days 01:05:18.547000,85.699,29.739,33.573,22.387,3918.547,3893.082,24.6,28.0,779.9,False,48.6,220,2.5,False,True,,,0.34701688467776753,0.39175486295055956,0.26122825237167296,3,False,mexico_city_grand_prix,2023,86.27045454545454,22
