Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
PER,Red Bull Racing,2,0 days 00:01:33.963000,0 days 00:00:32.190000,0 days 00:00:35.391000,0 days 00:00:26.382000,Medium,2,1,,,1,True,0 days 01:05:56.677000,93.963,32.19,35.391,26.382,3956.677,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.3425816544810191,0.3766482551642668,0.2807700903547141,3,False,miami_grand_prix,2023,93.15215789473685,19
ALO,Aston Martin,2,0 days 00:01:34.175000,0 days 00:00:32.423000,0 days 00:00:35.580000,0 days 00:00:26.172000,Medium,3,1,,,1,True,0 days 01:05:57.946000,94.175,32.423,35.58,26.172,3957.946,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34428457658614287,0.3778072736925936,0.2779081497212636,3,False,miami_grand_prix,2023,93.16634782608696,23
SAI,Ferrari,2,0 days 00:01:34.215000,0 days 00:00:32.517000,0 days 00:00:35.584000,0 days 00:00:26.114000,Medium,2,1,,,1,True,0 days 01:05:58.816000,94.215,32.517,35.584,26.114,3958.816,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.3451361248208884,0.37768932760176194,0.27717454757734966,3,False,miami_grand_prix,2023,93.36276470588234,17
GAS,Alpine,2,0 days 00:01:34.166000,0 days 00:00:32.481000,0 days 00:00:35.537000,0 days 00:00:26.148000,Medium,2,1,,,1,True,0 days 01:05:59.453000,94.166,32.481,35.537,26.148,3959.453,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.3449334154578086,0.3773867425610093,0.2776798419811822,3,False,miami_grand_prix,2023,93.96849999999999,14
RUS,Mercedes,2,0 days 00:01:34.155000,0 days 00:00:32.231000,0 days 00:00:35.715000,0 days 00:00:26.209000,Medium,2,1,,,1,True,0 days 01:06:00.145000,94.155,32.231,35.715,26.209,3960.145,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.3423185173384313,0.37932133184642347,0.27836015081514526,3,False,miami_grand_prix,2023,93.5485625,16
LEC,Ferrari,2,0 days 00:01:34.620000,0 days 00:00:32.698000,0 days 00:00:35.465000,0 days 00:00:26.457000,Medium,2,1,,,1,True,0 days 01:06:01.545000,94.62,32.698,35.465,26.457,3961.545,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.345571760727119,0.3748150496723737,0.2796131896005073,3,False,miami_grand_prix,2023,93.9575625,16
MAG,Haas F1 Team,2,0 days 00:01:34.557000,0 days 00:00:32.676000,0 days 00:00:35.663000,0 days 00:00:26.218000,Medium,2,1,,,1,True,0 days 01:06:01.940000,94.557,32.676,35.663,26.218,3961.94,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34556933912877946,0.3771587508063919,0.2772719100648286,3,False,miami_grand_prix,2023,94.0836923076923,13
VER,Red Bull Racing,2,0 days 00:01:34.260000,0 days 00:00:32.857000,0 days 00:00:35.277000,0 days 00:00:26.126000,Hard,2,1,,,1,True,0 days 01:06:02.507000,94.26,32.857,35.277,26.126,3962.507,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34857840016974323,0.3742520687460216,0.2771695310842351,3,False,miami_grand_prix,2023,92.14431818181818,44
BOT,Alfa Romeo,2,0 days 00:01:35.623000,0 days 00:00:32.818000,0 days 00:00:36.478000,0 days 00:00:26.327000,Medium,2,1,,,1,True,0 days 01:06:03.460000,95.623,32.818,36.478,26.327,3963.46,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34320194932181586,0.3814772596551039,0.2753207910230802,3,False,miami_grand_prix,2023,94.31907142857143,14
OCO,Alpine,2,0 days 00:01:35.207000,0 days 00:00:32.844000,0 days 00:00:36.084000,0 days 00:00:26.279000,Hard,2,1,,,1,True,0 days 01:06:03.914000,95.207,32.844,36.084,26.279,3963.914,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34497463421807223,0.3790057453758653,0.2760196204060626,3,False,miami_grand_prix,2023,93.40347368421052,38
HUL,Haas F1 Team,2,0 days 00:01:35.313000,0 days 00:00:32.866000,0 days 00:00:36.019000,0 days 00:00:26.428000,Hard,2,1,,,1,True,0 days 01:06:04.559000,95.313,32.866,36.019,26.428,3964.559,3984.111,26.7,60.0,1018.5,False,33.9,128,4.1,False,True,,,0.34482179765614346,0.3779022798568925,0.277275922486964,3,False,miami_grand_prix,2023,93.7971875,32
