Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:19.367000,0 days 00:00:20.954000,0 days 00:00:37.366000,0 days 00:00:21.047000,MEDIUM,2.0,1.0,,,1,True,79.367,20.954,37.366,21.047,monaco_grand_prix
VER,3.0,0 days 00:01:19.074000,0 days 00:00:20.854000,0 days 00:00:37.288000,0 days 00:00:20.932000,MEDIUM,3.0,1.0,,,1,True,79.074,20.854,37.288,20.932,monaco_grand_prix
VER,4.0,0 days 00:01:18.129000,0 days 00:00:20.835000,0 days 00:00:36.637000,0 days 00:00:20.657000,MEDIUM,4.0,1.0,,,1,True,78.129,20.835,36.637,20.657,monaco_grand_prix
VER,5.0,0 days 00:01:18.019000,0 days 00:00:20.745000,0 days 00:00:36.734000,0 days 00:00:20.540000,MEDIUM,5.0,1.0,,,1,True,78.019,20.745,36.734,20.54,monaco_grand_prix
VER,6.0,0 days 00:01:17.640000,0 days 00:00:20.488000,0 days 00:00:36.550000,0 days 00:00:20.602000,MEDIUM,6.0,1.0,,,1,True,77.64,20.488,36.55,20.602,monaco_grand_prix
VER,7.0,0 days 00:01:17.633000,0 days 00:00:20.483000,0 days 00:00:36.479000,0 days 00:00:20.671000,MEDIUM,7.0,1.0,,,1,True,77.633,20.483,36.479,20.671,monaco_grand_prix
VER,8.0,0 days 00:01:17.397000,0 days 00:00:20.432000,0 days 00:00:36.457000,0 days 00:00:20.508000,MEDIUM,8.0,1.0,,,1,True,77.397,20.432,36.457,20.508,monaco_grand_prix
VER,9.0,0 days 00:01:17.031000,0 days 00:00:20.438000,0 days 00:00:36.224000,0 days 00:00:20.369000,MEDIUM,9.0,1.0,,,1,True,77.031,20.438,36.224,20.369,monaco_grand_prix
VER,10.0,0 days 00:01:17.084000,0 days 00:00:20.452000,0 days 00:00:36.232000,0 days 00:00:20.400000,MEDIUM,10.0,1.0,,,1,True,77.084,20.452,36.232,20.4,monaco_grand_prix
VER,11.0,0 days 00:01:16.858000,0 days 00:00:20.311000,0 days 00:00:36.150000,0 days 00:00:20.397000,MEDIUM,11.0,1.0,,,1,True,76.858,20.311,36.15,20.397,monaco_grand_prix
VER,12.0,0 days 00:01:16.993000,0 days 00:00:20.386000,0 days 00:00:36.053000,0 days 00:00:20.554000,MEDIUM,12.0,1.0,,,12,True,76.993,20.386,36.053,20.554,monaco_grand_prix
VER,13.0,0 days 00:01:17.434000,0 days 00:00:20.811000,0 days 00:00:36.267000,0 days 00:00:20.356000,MEDIUM,13.0,1.0,,,21,True,77.434,20.811,36.267,20.356,monaco_grand_prix
VER,14.0,0 days 00:01:17.065000,0 days 00:00:20.338000,0 days 00:00:36.223000,0 days 00:00:20.504000,MEDIUM,14.0,1.0,,,12,True,77.065,20.338,36.223,20.504,monaco_grand_prix
VER,15.0,0 days 00:01:17.079000,0 days 00:00:20.271000,0 days 00:00:36.248000,0 days 00:00:20.560000,MEDIUM,15.0,1.0,,,21,True,77.079,20.271,36.248,20.56,monaco_grand_prix
VER,16.0,0 days 00:01:16.824000,0 days 00:00:20.269000,0 days 00:00:36.135000,0 days 00:00:20.420000,MEDIUM,16.0,1.0,,,1,True,76.824,20.269,36.135,20.42,monaco_grand_prix
VER,17.0,0 days 00:01:16.860000,0 days 00:00:20.186000,0 days 00:00:36.210000,0 days 00:00:20.464000,MEDIUM,17.0,1.0,,,1,True,76.86,20.186,36.21,20.464,monaco_grand_prix
VER,18.0,0 days 00:01:16.712000,0 days 00:00:20.148000,0 days 00:00:36.094000,0 days 00:00:20.470000,MEDIUM,18.0,1.0,,,1,True,76.712,20.148,36.094,20.47,monaco_grand_prix
VER,19.0,0 days 00:01:16.823000,0 days 00:00:20.223000,0 days 00:00:36.163000,0 days 00:00:20.437000,MEDIUM,19.0,1.0,,,1,True,76.823,20.223,36.163,20.437,monaco_grand_prix
VER,20.0,0 days 00:01:17.214000,0 days 00:00:20.207000,0 days 00:00:36.333000,0 days 00:00:20.674000,MEDIUM,20.0,1.0,,,1,True,77.214,20.207,36.333,20.674,monaco_grand_prix
VER,21.0,0 days 00:01:16.803000,0 days 00:00:20.157000,0 days 00:00:36.186000,0 days 00:00:20.460000,MEDIUM,21.0,1.0,,,1,True,76.803,20.157,36.186,20.46,monaco_grand_prix
VER,22.0,0 days 00:01:16.659000,0 days 00:00:20.084000,0 days 00:00:36.154000,0 days 00:00:20.421000,MEDIUM,22.0,1.0,,,1,True,76.659,20.084,36.154,20.421,monaco_grand_prix
VER,23.0,0 days 00:01:16.604000,0 days 00:00:20.208000,0 days 00:00:36.076000,0 days 00:00:20.320000,MEDIUM,23.0,1.0,,,1,True,76.604,20.208,36.076,20.32,monaco_grand_prix
VER,24.0,0 days 00:01:16.798000,0 days 00:00:20.160000,0 days 00:00:36.094000,0 days 00:00:20.544000,MEDIUM,24.0,1.0,,,1,True,76.798,20.16,36.094,20.544,monaco_grand_prix
VER,25.0,0 days 00:01:17.183000,0 days 00:00:20.245000,0 days 00:00:36.397000,0 days 00:00:20.541000,MEDIUM,25.0,1.0,,,1,True,77.183,20.245,36.397,20.541,monaco_grand_prix
