Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:37.680000,0 days 00:00:36.595000,0 days 00:00:30.654000,0 days 00:00:30.431000,MEDIUM,2.0,1.0,,,1,True,97.68,36.595,30.654,30.431,saudi_arabian_grand_prix
VER,3.0,0 days 00:01:36.526000,0 days 00:00:36.020000,0 days 00:00:30.417000,0 days 00:00:30.089000,MEDIUM,3.0,1.0,,,1,True,96.526,36.02,30.417,30.089,saudi_arabian_grand_prix
VER,4.0,0 days 00:01:36.503000,0 days 00:00:36.021000,0 days 00:00:30.177000,0 days 00:00:30.305000,MEDIUM,4.0,1.0,,,1,True,96.503,36.021,30.177,30.305,saudi_arabian_grand_prix
VER,5.0,0 days 00:01:35.359000,0 days 00:00:35.096000,0 days 00:00:30.116000,0 days 00:00:30.147000,MEDIUM,5.0,1.0,,,1,True,95.359,35.096,30.116,30.147,saudi_arabian_grand_prix
VER,6.0,0 days 00:01:35.840000,0 days 00:00:35.547000,0 days 00:00:30.100000,0 days 00:00:30.193000,MEDIUM,6.0,1.0,,,1,True,95.84,35.547,30.1,30.193,saudi_arabian_grand_prix
VER,7.0,0 days 00:01:35.687000,0 days 00:00:35.409000,0 days 00:00:30.025000,0 days 00:00:30.253000,MEDIUM,7.0,1.0,,,1,True,95.687,35.409,30.025,30.253,saudi_arabian_grand_prix
VER,8.0,0 days 00:01:35.129000,0 days 00:00:35.091000,0 days 00:00:30.143000,0 days 00:00:29.895000,MEDIUM,8.0,1.0,,,1,True,95.129,35.091,30.143,29.895,saudi_arabian_grand_prix
VER,9.0,0 days 00:01:35.561000,0 days 00:00:35.450000,0 days 00:00:30.017000,0 days 00:00:30.094000,MEDIUM,9.0,1.0,,,1,True,95.561,35.45,30.017,30.094,saudi_arabian_grand_prix
VER,10.0,0 days 00:01:35.443000,0 days 00:00:35.434000,0 days 00:00:30.050000,0 days 00:00:29.959000,MEDIUM,10.0,1.0,,,1,True,95.443,35.434,30.05,29.959,saudi_arabian_grand_prix
VER,11.0,0 days 00:01:35.306000,0 days 00:00:35.387000,0 days 00:00:29.767000,0 days 00:00:30.152000,MEDIUM,11.0,1.0,,,1,True,95.306,35.387,29.767,30.152,saudi_arabian_grand_prix
VER,12.0,0 days 00:01:34.848000,0 days 00:00:34.856000,0 days 00:00:29.984000,0 days 00:00:30.008000,MEDIUM,12.0,1.0,,,1,True,94.848,34.856,29.984,30.008,saudi_arabian_grand_prix
VER,13.0,0 days 00:01:35.183000,0 days 00:00:35.069000,0 days 00:00:29.867000,0 days 00:00:30.247000,MEDIUM,13.0,1.0,,,1,True,95.183,35.069,29.867,30.247,saudi_arabian_grand_prix
VER,14.0,0 days 00:01:34.200000,0 days 00:00:34.609000,0 days 00:00:29.784000,0 days 00:00:29.807000,MEDIUM,14.0,1.0,,,1,True,94.2,34.609,29.784,29.807,saudi_arabian_grand_prix
VER,15.0,0 days 00:01:34.499000,0 days 00:00:34.815000,0 days 00:00:29.832000,0 days 00:00:29.852000,MEDIUM,15.0,1.0,,,1,True,94.499,34.815,29.832,29.852,saudi_arabian_grand_prix
VER,16.0,0 days 00:01:34.443000,0 days 00:00:34.863000,0 days 00:00:29.584000,0 days 00:00:29.996000,MEDIUM,16.0,1.0,,,1,True,94.443,34.863,29.584,29.996,saudi_arabian_grand_prix
VER,17.0,0 days 00:01:33.790000,0 days 00:00:34.315000,0 days 00:00:29.711000,0 days 00:00:29.764000,MEDIUM,17.0,1.0,,,12,True,93.79,34.315,29.711,29.764,saudi_arabian_grand_prix
VER,18.0,0 days 00:02:14.348000,0 days 00:00:48.991000,0 days 00:00:40.059000,0 days 00:00:45.298000,MEDIUM,18.0,1.0,0 days 01:32:15.366000,,24,False,134.348,48.991,40.059,45.298,saudi_arabian_grand_prix
VER,21.0,0 days 00:01:36.946000,0 days 00:00:36.872000,0 days 00:00:29.989000,0 days 00:00:30.085000,HARD,3.0,2.0,,,1,True,96.946,36.872,29.989,30.085,saudi_arabian_grand_prix
VER,22.0,0 days 00:01:34.973000,0 days 00:00:35.462000,0 days 00:00:29.710000,0 days 00:00:29.801000,HARD,4.0,2.0,,,1,True,94.973,35.462,29.71,29.801,saudi_arabian_grand_prix
VER,23.0,0 days 00:01:34.115000,0 days 00:00:35.197000,0 days 00:00:29.397000,0 days 00:00:29.521000,HARD,5.0,2.0,,,1,True,94.115,35.197,29.397,29.521,saudi_arabian_grand_prix
VER,24.0,0 days 00:01:34.146000,0 days 00:00:34.754000,0 days 00:00:29.349000,0 days 00:00:30.043000,HARD,6.0,2.0,,,1,True,94.146,34.754,29.349,30.043,saudi_arabian_grand_prix
VER,25.0,0 days 00:01:32.933000,0 days 00:00:33.994000,0 days 00:00:29.387000,0 days 00:00:29.552000,HARD,7.0,2.0,,,1,True,92.933,33.994,29.387,29.552,saudi_arabian_grand_prix
VER,26.0,0 days 00:01:32.940000,0 days 00:00:34.131000,0 days 00:00:29.347000,0 days 00:00:29.462000,HARD,8.0,2.0,,,1,True,92.94,34.131,29.347,29.462,saudi_arabian_grand_prix
VER,27.0,0 days 00:01:32.838000,0 days 00:00:34.129000,0 days 00:00:29.235000,0 days 00:00:29.474000,HARD,9.0,2.0,,,1,True,92.838,34.129,29.235,29.474,saudi_arabian_grand_prix
VER,28.0,0 days 00:01:32.869000,0 days 00:00:34.108000,0 days 00:00:29.273000,0 days 00:00:29.488000,HARD,10.0,2.0,,,1,True,92.869,34.108,29.273,29.488,saudi_arabian_grand_prix
VER,29.0,0 days 00:01:32.670000,0 days 00:00:34.023000,0 days 00:00:29.222000,0 days 00:00:29.425000,HARD,11.0,2.0,,,1,True,92.67,34.023,29.222,29.425,saudi_arabian_grand_prix
VER,30.0,0 days 00:01:32.877000,0 days 00:00:34.180000,0 days 00:00:29.228000,0 days 00:00:29.469000,HARD,12.0,2.0,,,1,True,92.877,34.18,29.228,29.469,saudi_arabian_grand_prix
VER,31.0,0 days 00:01:32.382000,0 days 00:00:33.896000,0 days 00:00:29.086000,0 days 00:00:29.400000,HARD,13.0,2.0,,,1,True,92.382,33.896,29.086,29.4,saudi_arabian_grand_prix
VER,32.0,0 days 00:01:32.400000,0 days 00:00:33.879000,0 days 00:00:29.152000,0 days 00:00:29.369000,HARD,14.0,2.0,,,1,True,92.4,33.879,29.152,29.369,saudi_arabian_grand_prix
VER,33.0,0 days 00:01:32.387000,0 days 00:00:33.895000,0 days 00:00:29.164000,0 days 00:00:29.328000,HARD,15.0,2.0,,,1,True,92.387,33.895,29.164,29.328,saudi_arabian_grand_prix
