Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,GrandPrix
VER,2.0,0 days 00:01:41.596000,0 days 00:00:29.484000,0 days 00:00:43.638000,0 days 00:00:28.474000,HARD,2.0,1.0,,,12,True,101.596,29.484,43.638,28.474,singapore_grand_prix
VER,3.0,0 days 00:01:41.510000,0 days 00:00:29.192000,0 days 00:00:43.226000,0 days 00:00:29.092000,HARD,3.0,1.0,,,1,True,101.51,29.192,43.226,29.092,singapore_grand_prix
VER,4.0,0 days 00:01:41.143000,0 days 00:00:29.199000,0 days 00:00:43.338000,0 days 00:00:28.606000,HARD,4.0,1.0,,,1,True,101.143,29.199,43.338,28.606,singapore_grand_prix
VER,5.0,0 days 00:01:41.308000,0 days 00:00:29.224000,0 days 00:00:43.414000,0 days 00:00:28.670000,HARD,5.0,1.0,,,1,True,101.308,29.224,43.414,28.67,singapore_grand_prix
VER,6.0,0 days 00:01:41.313000,0 days 00:00:29.280000,0 days 00:00:43.618000,0 days 00:00:28.415000,HARD,6.0,1.0,,,1,True,101.313,29.28,43.618,28.415,singapore_grand_prix
VER,7.0,0 days 00:01:40.423000,0 days 00:00:29.547000,0 days 00:00:42.619000,0 days 00:00:28.257000,HARD,7.0,1.0,,,1,True,100.423,29.547,42.619,28.257,singapore_grand_prix
VER,8.0,0 days 00:01:40.177000,0 days 00:00:29.375000,0 days 00:00:42.775000,0 days 00:00:28.027000,HARD,8.0,1.0,,,1,True,100.177,29.375,42.775,28.027,singapore_grand_prix
VER,9.0,0 days 00:01:40.264000,0 days 00:00:29.366000,0 days 00:00:42.774000,0 days 00:00:28.124000,HARD,9.0,1.0,,,1,True,100.264,29.366,42.774,28.124,singapore_grand_prix
VER,10.0,0 days 00:01:40.408000,0 days 00:00:29.385000,0 days 00:00:42.904000,0 days 00:00:28.119000,HARD,10.0,1.0,,,1,True,100.408,29.385,42.904,28.119,singapore_grand_prix
VER,11.0,0 days 00:01:40.423000,0 days 00:00:29.174000,0 days 00:00:43.092000,0 days 00:00:28.157000,HARD,11.0,1.0,,,1,True,100.423,29.174,43.092,28.157,singapore_grand_prix
VER,12.0,0 days 00:01:40.602000,0 days 00:00:29.376000,0 days 00:00:43.056000,0 days 00:00:28.170000,HARD,12.0,1.0,,,1,True,100.602,29.376,43.056,28.17,singapore_grand_prix
VER,13.0,0 days 00:01:40.693000,0 days 00:00:29.363000,0 days 00:00:43.118000,0 days 00:00:28.212000,HARD,13.0,1.0,,,1,True,100.693,29.363,43.118,28.212,singapore_grand_prix
