Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
LEC,Ferrari,2,0 days 00:01:49.283000,0 days 00:00:39.094000,0 days 00:00:44.289000,0 days 00:00:25.900000,Medium,2,1,,,1,True,0 days 00:59:56.729000,109.283,39.094,44.289,25.9,3596.729,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.35773176065810786,0.4052688890312309,0.2369993503106613,3,False,azerbaijan_grand_prix,2024,108.7808,15
PIA,McLaren,2,0 days 00:01:48.944000,0 days 00:00:39.246000,0 days 00:00:44.233000,0 days 00:00:25.465000,Medium,2,1,,,1,True,0 days 00:59:57.187000,108.944,39.246,44.233,25.465,3597.187,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3602401233661331,0.4060159347921868,0.23374394184168013,3,False,azerbaijan_grand_prix,2024,109.03521428571428,14
PER,Red Bull Racing,2,0 days 00:01:49.236000,0 days 00:00:39.563000,0 days 00:00:43.941000,0 days 00:00:25.732000,Medium,2,1,,,1,True,0 days 00:59:58.499000,109.236,39.563,43.941,25.732,3598.499,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36217913508367205,0.4022574975282874,0.23556336738804057,3,False,azerbaijan_grand_prix,2024,109.05433333333333,12
SAI,Ferrari,2,0 days 00:01:49.120000,0 days 00:00:39.553000,0 days 00:00:44.167000,0 days 00:00:25.400000,Medium,2,1,,,1,True,0 days 00:59:59.257000,109.12,39.553,44.167,25.4,3599.257,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36247250733137826,0.4047562316715542,0.23277126099706744,3,False,azerbaijan_grand_prix,2024,109.197,16
VER,Red Bull Racing,2,0 days 00:01:49.632000,0 days 00:00:39.449000,0 days 00:00:44.481000,0 days 00:00:25.702000,Medium,2,1,,,1,True,0 days 01:00:00.462000,109.632,39.449,44.481,25.702,3600.462,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3598310712200817,0.40573007880910683,0.23443884997081144,3,False,azerbaijan_grand_prix,2024,109.62745454545455,11
RUS,Mercedes,2,0 days 00:01:49.738000,0 days 00:00:39.495000,0 days 00:00:44.776000,0 days 00:00:25.467000,Medium,2,1,,,1,True,0 days 01:00:01.498000,109.738,39.495,44.776,25.467,3601.498,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.35990267728589914,0.4080263901292169,0.23207093258488398,3,False,azerbaijan_grand_prix,2024,109.91163636363636,11
ALO,Aston Martin,2,0 days 00:01:50.081000,0 days 00:00:39.630000,0 days 00:00:44.900000,0 days 00:00:25.551000,Medium,3,1,,,1,True,0 days 01:00:02.821000,110.081,39.63,44.9,25.551,3602.821,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3600076307446335,0.4078814691000263,0.23211090015534014,3,False,azerbaijan_grand_prix,2024,110.1052,10
COL,Williams,2,0 days 00:01:50.410000,0 days 00:00:39.970000,0 days 00:00:44.831000,0 days 00:00:25.609000,Medium,2,1,,,1,True,0 days 01:00:04.043000,110.41,39.97,44.831,25.609,3604.043,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36201431029798026,0.4060411194638167,0.23194457023820308,3,False,azerbaijan_grand_prix,2024,110.24011111111112,9
ALB,Williams,2,0 days 00:01:50.846000,0 days 00:00:39.975000,0 days 00:00:45.169000,0 days 00:00:25.702000,Hard,2,1,,,1,True,0 days 01:00:05.233000,110.846,39.975,45.169,25.702,3605.233,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36063547624632375,0.40749327896360715,0.23187124479006913,3,False,azerbaijan_grand_prix,2024,109.5482,30
BEA,Haas F1 Team,2,0 days 00:01:50.738000,0 days 00:00:40.060000,0 days 00:00:45.190000,0 days 00:00:25.488000,Medium,2,1,,,1,True,0 days 01:00:06.086000,110.738,40.06,45.19,25.488,3606.086,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3617547725261428,0.40808033376076863,0.23016489371308854,3,False,azerbaijan_grand_prix,2024,110.79246153846155,13
TSU,RB,2,0 days 00:01:51.648000,0 days 00:00:40.501000,0 days 00:00:45.421000,0 days 00:00:25.726000,Medium,3,1,,,1,True,0 days 01:00:10.637000,111.648,40.501,45.421,25.726,3610.637,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.362756162224133,0.406823230151906,0.23042060762396102,3,False,azerbaijan_grand_prix,2024,112.833,11
NOR,McLaren,2,0 days 00:01:51.638000,0 days 00:00:40.756000,0 days 00:00:45.502000,0 days 00:00:25.380000,Hard,2,1,,,1,True,0 days 01:00:10.739000,111.638,40.756,45.502,25.38,3610.739,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3650728246654365,0.4075852308353786,0.22734194449918485,3,False,azerbaijan_grand_prix,2024,109.11166666666666,36
HUL,Haas F1 Team,2,0 days 00:01:52.034000,0 days 00:00:41.221000,0 days 00:00:45.503000,0 days 00:00:25.310000,Medium,2,1,,,1,True,0 days 01:00:11.207000,112.034,41.221,45.503,25.31,3611.207,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36793294892621875,0.40615348911937443,0.22591356195440668,3,False,azerbaijan_grand_prix,2024,110.30449999999999,14
RIC,RB,2,0 days 00:01:52.896000,0 days 00:00:41.684000,0 days 00:00:45.825000,0 days 00:00:25.387000,Hard,3,1,,,1,True,0 days 01:00:12.165000,112.896,41.684,45.825,25.387,3612.165,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.36922477324263037,0.4059045493197279,0.22487067743764172,3,False,azerbaijan_grand_prix,2024,109.98464583333333,48
GAS,Alpine,2,0 days 00:01:52.861000,0 days 00:00:42.078000,0 days 00:00:45.563000,0 days 00:00:25.220000,Hard,2,1,,,1,True,0 days 01:00:12.649000,112.861,42.078,45.563,25.22,3612.649,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.372830295673439,0.4037089871611983,0.22346071716536267,3,False,azerbaijan_grand_prix,2024,110.332,49
HAM,Mercedes,2,0 days 00:01:52.922000,0 days 00:00:41.822000,0 days 00:00:46.023000,0 days 00:00:25.077000,Medium,2,1,,,1,True,0 days 01:00:13.966000,112.922,41.822,46.023,25.077,3613.966,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3703618426878731,0.40756451355803125,0.22207364375409577,3,False,azerbaijan_grand_prix,2024,110.82463636363636,11
BOT,Kick Sauber,2,0 days 00:01:54.291000,0 days 00:00:42.700000,0 days 00:00:45.897000,0 days 00:00:25.694000,Medium,3,1,,,1,True,0 days 01:00:14.100000,114.291,42.7,45.897,25.694,3614.1,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3736077206429203,0.4015801769168176,0.22481210244026215,3,False,azerbaijan_grand_prix,2024,112.7588,10
ZHO,Kick Sauber,2,0 days 00:01:53.999000,0 days 00:00:42.378000,0 days 00:00:46.211000,0 days 00:00:25.410000,Hard,3,1,,,1,True,0 days 01:00:15.139000,113.999,42.378,46.211,25.41,3615.139,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.3717401029833595,0.40536320494039424,0.2228966920762463,3,False,azerbaijan_grand_prix,2024,110.82381818181818,33
OCO,Alpine,2,0 days 00:01:53.518000,0 days 00:00:41.683000,0 days 00:00:46.359000,0 days 00:00:25.476000,Hard,5,1,,,1,True,0 days 01:00:15.827000,113.518,41.683,46.359,25.476,3615.827,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.367192868091404,0.40838457337162387,0.2244225585369721,3,False,azerbaijan_grand_prix,2024,110.54731249999999,48
STR,Aston Martin,2,0 days 00:02:08.417000,0 days 00:00:56.718000,0 days 00:00:45.814000,0 days 00:00:25.885000,Hard,2,2,,0 days 00:58:46.299000,1,False,0 days 01:00:34.771000,128.417,56.718,45.814,25.885,3634.771,3626.198,26.7,40.0,1017.4,False,45.7,0,2.4,False,True,,,0.4416704953394021,0.3567596190535521,0.2015698856070458,3,False,azerbaijan_grand_prix,2024,111.29214285714286,21
LEC,Ferrari,3,0 days 00:01:48.412000,0 days 00:00:38.627000,0 days 00:00:43.904000,0 days 00:00:25.881000,Medium,3,1,,,1,True,0 days 01:01:45.141000,108.412,38.627,43.904,25.881,3705.141,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3562981957716858,0.40497361915655095,0.23872818507176327,3,False,azerbaijan_grand_prix,2024,108.7808,15
PIA,McLaren,3,0 days 00:01:48.811000,0 days 00:00:39.118000,0 days 00:00:44.065000,0 days 00:00:25.628000,Medium,3,1,,,1,True,0 days 01:01:45.998000,108.811,39.118,44.065,25.628,3705.998,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3595040942551764,0.40496824769554546,0.23552765804927808,3,False,azerbaijan_grand_prix,2024,109.03521428571428,14
PER,Red Bull Racing,3,0 days 00:01:48.814000,0 days 00:00:39.205000,0 days 00:00:43.762000,0 days 00:00:25.847000,Medium,3,1,,,1,True,0 days 01:01:47.313000,108.814,39.205,43.762,25.847,3707.313,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.36029371220615,0.4021725145661404,0.2375337732277097,3,False,azerbaijan_grand_prix,2024,109.05433333333333,12
SAI,Ferrari,3,0 days 00:01:49.375000,0 days 00:00:39.375000,0 days 00:00:44.263000,0 days 00:00:25.737000,Medium,3,1,,,1,True,0 days 01:01:48.632000,109.375,39.375,44.263,25.737,3708.632,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.36,0.4046902857142857,0.23530971428571426,3,False,azerbaijan_grand_prix,2024,109.197,16
VER,Red Bull Racing,3,0 days 00:01:49.130000,0 days 00:00:39.118000,0 days 00:00:44.415000,0 days 00:00:25.597000,Medium,3,1,,,1,True,0 days 01:01:49.592000,109.13,39.118,44.415,25.597,3709.592,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3584532209291671,0.40699166132135983,0.23455511774947313,3,False,azerbaijan_grand_prix,2024,109.62745454545455,11
RUS,Mercedes,3,0 days 00:01:49.359000,0 days 00:00:39.215000,0 days 00:00:44.564000,0 days 00:00:25.580000,Medium,3,1,,,1,True,0 days 01:01:50.857000,109.359,39.215,44.564,25.58,3710.857,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.35858959939282553,0.40750189742042264,0.23390850318675188,3,False,azerbaijan_grand_prix,2024,109.91163636363636,11
ALO,Aston Martin,3,0 days 00:01:50.262000,0 days 00:00:39.581000,0 days 00:00:45.064000,0 days 00:00:25.617000,Medium,4,1,,,1,True,0 days 01:01:53.083000,110.262,39.581,45.064,25.617,3713.083,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3589722660572092,0.4086992798969727,0.23232845404581814,3,False,azerbaijan_grand_prix,2024,110.1052,10
COL,Williams,3,0 days 00:01:50.414000,0 days 00:00:40.041000,0 days 00:00:44.809000,0 days 00:00:25.564000,Medium,3,1,,,1,True,0 days 01:01:54.457000,110.414,40.041,44.809,25.564,3714.457,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3626442298983824,0.40582715959932614,0.23152861050229137,3,False,azerbaijan_grand_prix,2024,110.24011111111112,9
ALB,Williams,3,0 days 00:01:50.457000,0 days 00:00:39.862000,0 days 00:00:44.962000,0 days 00:00:25.633000,Hard,3,1,,,1,True,0 days 01:01:55.690000,110.457,39.862,44.962,25.633,3715.69,3686.193,26.9,37.0,1017.7,False,45.7,65,1.0,False,True,,,0.3608825153679713,0.4070543288338449,0.2320631557981839,3,False,azerbaijan_grand_prix,2024,109.5482,30
BEA,Haas F1 Team,3,0 days 00:01:50.677000,0 days 00:00:39.814000,0 days 00:00:45.133000,0 days 00:00:25.730000,Medium,3,1,,,1,True,0 days 01:01:56.763000,110.677,39.814,45.133,25.73,3716.763,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.35973147085663687,0.4077902364538251,0.232478292689538,3,False,azerbaijan_grand_prix,2024,110.79246153846155,13
NOR,McLaren,3,0 days 00:01:50.219000,0 days 00:00:40.037000,0 days 00:00:44.477000,0 days 00:00:25.705000,Hard,3,1,,,1,True,0 days 01:02:00.958000,110.219,40.037,44.477,25.705,3720.958,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.36324953048022574,0.4035329661855034,0.23321750333427085,3,False,azerbaijan_grand_prix,2024,109.11166666666666,36
HUL,Haas F1 Team,3,0 days 00:01:50.450000,0 days 00:00:40.164000,0 days 00:00:44.826000,0 days 00:00:25.460000,Medium,3,1,,,1,True,0 days 01:02:01.657000,110.45,40.164,44.826,25.46,3721.657,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.36363965595291986,0.4058488003621548,0.2305115436849253,3,False,azerbaijan_grand_prix,2024,110.30449999999999,14
RIC,RB,3,0 days 00:01:51.710000,0 days 00:00:40.481000,0 days 00:00:45.814000,0 days 00:00:25.415000,Hard,4,1,,,1,True,0 days 01:02:03.875000,111.71,40.481,45.814,25.415,3723.875,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.3623757944678185,0.4101154775758661,0.22750872795631547,3,False,azerbaijan_grand_prix,2024,109.98464583333333,48
TSU,RB,3,0 days 00:01:53.328000,0 days 00:00:41.635000,0 days 00:00:45.643000,0 days 00:00:26.050000,Medium,4,1,,,1,True,0 days 01:02:03.965000,113.328,41.635,45.643,26.05,3723.965,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.36738493576168285,0.4027513059438091,0.22986375829450797,3,False,azerbaijan_grand_prix,2024,112.833,11
GAS,Alpine,3,0 days 00:01:51.565000,0 days 00:00:40.547000,0 days 00:00:45.762000,0 days 00:00:25.256000,Hard,3,1,,,1,True,0 days 01:02:04.214000,111.565,40.547,45.762,25.256,3724.214,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.3634383543225922,0.4101824048760812,0.2263792408013266,3,False,azerbaijan_grand_prix,2024,110.332,49
HAM,Mercedes,3,0 days 00:01:50.970000,0 days 00:00:39.903000,0 days 00:00:45.797000,0 days 00:00:25.270000,Medium,3,1,,,1,True,0 days 01:02:04.936000,110.97,39.903,45.797,25.27,3724.936,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.35958367126250335,0.41269712534919345,0.22771920338830315,3,False,azerbaijan_grand_prix,2024,110.82463636363636,11
BOT,Kick Sauber,3,0 days 00:01:52.710000,0 days 00:00:41.016000,0 days 00:00:45.855000,0 days 00:00:25.839000,Medium,4,1,,,1,True,0 days 01:02:06.810000,112.71,41.016,45.855,25.839,3726.81,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.3639073729039127,0.40684056428001064,0.22925206281607666,3,False,azerbaijan_grand_prix,2024,112.7588,10
ZHO,Kick Sauber,3,0 days 00:01:52.110000,0 days 00:00:40.889000,0 days 00:00:45.781000,0 days 00:00:25.440000,Hard,4,1,,,1,True,0 days 01:02:07.249000,112.11,40.889,45.781,25.44,3727.249,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.36472214789046475,0.4083578628133083,0.22691998929622692,3,False,azerbaijan_grand_prix,2024,110.82381818181818,33
OCO,Alpine,3,0 days 00:01:52.028000,0 days 00:00:40.680000,0 days 00:00:45.877000,0 days 00:00:25.471000,Hard,6,1,,,1,True,0 days 01:02:07.855000,112.028,40.68,45.877,25.471,3727.855,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.36312350483807615,0.4095136930053201,0.2273628021566037,3,False,azerbaijan_grand_prix,2024,110.54731249999999,48
STR,Aston Martin,3,0 days 00:01:50.819000,0 days 00:00:39.719000,0 days 00:00:45.310000,0 days 00:00:25.790000,Hard,3,2,,,1,True,0 days 01:02:25.590000,110.819,39.719,45.31,25.79,3745.59,3746.194,26.8,38.0,1017.7,False,45.4,76,2.4,False,True,,,0.3584132684828414,0.40886490583744667,0.23272182567971195,3,False,azerbaijan_grand_prix,2024,111.29214285714286,21
LEC,Ferrari,4,0 days 00:01:48.408000,0 days 00:00:38.622000,0 days 00:00:43.959000,0 days 00:00:25.827000,Medium,4,1,,,1,True,0 days 01:03:33.549000,108.408,38.622,43.959,25.827,3813.549,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.3562652202789462,0.4054959043613018,0.23823887535975205,3,False,azerbaijan_grand_prix,2024,108.7808,15
PIA,McLaren,4,0 days 00:01:48.408000,0 days 00:00:38.981000,0 days 00:00:43.866000,0 days 00:00:25.561000,Medium,4,1,,,1,True,0 days 01:03:34.406000,108.408,38.981,43.866,25.561,3814.406,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.35957678400118076,0.40463803409342486,0.23578518190539444,3,False,azerbaijan_grand_prix,2024,109.03521428571428,14
PER,Red Bull Racing,4,0 days 00:01:48.727000,0 days 00:00:38.978000,0 days 00:00:43.934000,0 days 00:00:25.815000,Medium,4,1,,,1,True,0 days 01:03:36.040000,108.727,38.978,43.934,25.815,3816.04,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.3584942102697582,0.40407626440534544,0.2374295253248963,3,False,azerbaijan_grand_prix,2024,109.05433333333333,12
SAI,Ferrari,4,0 days 00:01:49.167000,0 days 00:00:38.947000,0 days 00:00:44.446000,0 days 00:00:25.774000,Medium,4,1,,,1,True,0 days 01:03:37.799000,109.167,38.947,44.446,25.774,3817.799,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.35676532285397605,0.40713768812919654,0.23609698901682744,3,False,azerbaijan_grand_prix,2024,109.197,16
VER,Red Bull Racing,4,0 days 00:01:49.608000,0 days 00:00:39.046000,0 days 00:00:44.387000,0 days 00:00:26.175000,Medium,4,1,,,1,True,0 days 01:03:39.200000,109.608,39.046,44.387,26.175,3819.2,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.3562331216699511,0.40496131669221225,0.23880556163783664,3,False,azerbaijan_grand_prix,2024,109.62745454545455,11
RUS,Mercedes,4,0 days 00:01:49.199000,0 days 00:00:39.208000,0 days 00:00:44.409000,0 days 00:00:25.582000,Medium,4,1,,,1,True,0 days 01:03:40.056000,109.199,39.208,44.409,25.582,3820.056,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.3590509070595885,0.40667954834751235,0.23426954459289923,3,False,azerbaijan_grand_prix,2024,109.91163636363636,11
ALO,Aston Martin,4,0 days 00:01:49.975000,0 days 00:00:39.396000,0 days 00:00:44.872000,0 days 00:00:25.707000,Medium,5,1,,,1,True,0 days 01:03:43.058000,109.975,39.396,44.872,25.707,3823.058,3806.202,26.8,37.0,1017.5,False,44.9,116,1.5,False,True,,,0.35822686974312345,0.40802000454648785,0.23375312571038875,3,False,azerbaijan_grand_prix,2024,110.1052,10
