Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
LEC,Ferrari,2,0 days 00:01:50.240000,0 days 00:00:31.831000,0 days 00:00:48.675000,0 days 00:00:29.734000,Medium,2,1,,,1,True,0 days 00:58:57.187000,110.24,31.831,48.675,29.734,3537.187,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28874274310595066,0.4415366473149492,0.26972060957910016,3,False,belgian_grand_prix,2024,110.28827272727273,11
HAM,Mercedes,2,0 days 00:01:49.849000,0 days 00:00:31.284000,0 days 00:00:49.211000,0 days 00:00:29.354000,Medium,2,1,,,1,True,0 days 00:58:57.584000,109.849,31.284,49.211,29.354,3537.584,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28479094029076274,0.4479876921956504,0.2672213675135868,3,False,belgian_grand_prix,2024,110.0548,10
PER,Red Bull Racing,2,0 days 00:01:50.240000,0 days 00:00:31.365000,0 days 00:00:49.207000,0 days 00:00:29.668000,Medium,2,1,,,1,True,0 days 00:58:58.714000,110.24,31.365,49.207,29.668,3538.714,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.2845156023222061,0.4463624818577649,0.26912191582002903,3,False,belgian_grand_prix,2024,110.47740000000002,10
PIA,McLaren,2,0 days 00:01:50.164000,0 days 00:00:31.056000,0 days 00:00:49.480000,0 days 00:00:29.628000,Medium,2,1,,,1,True,0 days 00:58:59.447000,110.164,31.056,49.48,29.628,3539.447,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.281906975055372,0.44914854217348676,0.2689444827711412,3,False,belgian_grand_prix,2024,110.49189999999999,10
RUS,Mercedes,2,0 days 00:01:50.160000,0 days 00:00:31.075000,0 days 00:00:49.700000,0 days 00:00:29.385000,Medium,2,1,,,1,True,0 days 00:58:59.958000,110.16,31.075,49.7,29.385,3539.958,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28208968772694265,0.4511619462599855,0.2667483660130719,3,False,belgian_grand_prix,2024,110.63977777777778,9
SAI,Ferrari,2,0 days 00:01:50.260000,0 days 00:00:31.055000,0 days 00:00:49.801000,0 days 00:00:29.404000,Hard,2,1,,,1,True,0 days 00:59:00.565000,110.26,31.055,49.801,29.404,3540.565,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28165245782695447,0.45166878287683654,0.26667875929620893,3,False,belgian_grand_prix,2024,109.97310526315789,19
NOR,McLaren,2,0 days 00:01:50.504000,0 days 00:00:30.617000,0 days 00:00:50.537000,0 days 00:00:29.350000,Medium,2,1,,,1,True,0 days 00:59:01.266000,110.504,30.617,50.537,29.35,3541.266,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.2770668935061174,0.457331861290089,0.2656012452037935,3,False,belgian_grand_prix,2024,110.37114285714286,14
VER,Red Bull Racing,2,0 days 00:01:49.828000,0 days 00:00:30.820000,0 days 00:00:49.592000,0 days 00:00:29.416000,Medium,2,1,,,1,True,0 days 00:59:02.046000,109.828,30.82,49.592,29.416,3542.046,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28062060676694467,0.451542411771133,0.26783698146192225,3,False,belgian_grand_prix,2024,110.63766666666668,9
ALO,Aston Martin,2,0 days 00:01:51.316000,0 days 00:00:31.667000,0 days 00:00:50.084000,0 days 00:00:29.565000,Medium,2,1,,,1,True,0 days 00:59:02.928000,111.316,31.667,50.084,29.565,3542.928,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.28447842179021887,0.4499263358367171,0.2655952423730641,3,False,belgian_grand_prix,2024,111.11333333333334,12
ALB,Williams,2,0 days 00:01:51.283000,0 days 00:00:31.152000,0 days 00:00:50.603000,0 days 00:00:29.528000,Medium,2,1,,,1,True,0 days 00:59:03.639000,111.283,31.152,50.603,29.528,3543.639,3554.234,21.0,49.0,978.2,False,42.4,238,0.7,False,True,,,0.2799349406468194,0.45472354267947485,0.26534151667370576,3,False,belgian_grand_prix,2024,111.402,7
