Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
VER,Red Bull Racing,2,0 days 00:01:20.596000,0 days 00:00:25.604000,0 days 00:00:27.925000,0 days 00:00:27.067000,Medium,2,1,,,1,True,0 days 00:58:20.327000,80.596,25.604,27.925,27.067,3500.327,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3176832597151223,0.34648121494863265,0.33583552533624494,1,False,emilia_romagna_grand_prix,2024,81.36069565217392,23
NOR,McLaren,2,0 days 00:01:20.673000,0 days 00:00:25.691000,0 days 00:00:28.003000,0 days 00:00:26.979000,Medium,2,1,,,1,True,0 days 00:58:21.287000,80.673,25.691,28.003,26.979,3501.287,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3184584681367992,0.34711737508212165,0.3344241567810792,1,False,emilia_romagna_grand_prix,2024,81.57428571428571,21
LEC,Ferrari,2,0 days 00:01:20.926000,0 days 00:00:25.685000,0 days 00:00:28.145000,0 days 00:00:27.096000,Medium,2,1,,,1,True,0 days 00:58:22.356000,80.926,25.685,28.145,27.096,3502.356,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.31738872550231073,0.34778686701430933,0.3348244074833799,1,False,emilia_romagna_grand_prix,2024,81.63275,24
SAI,Ferrari,2,0 days 00:01:21.102000,0 days 00:00:25.799000,0 days 00:00:28.232000,0 days 00:00:27.071000,Medium,2,1,,,1,True,0 days 00:58:23.101000,81.102,25.799,28.232,27.071,3503.101,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3181055954230475,0.34810485561391824,0.3337895489630342,1,False,emilia_romagna_grand_prix,2024,81.78634615384615,26
PIA,McLaren,2,0 days 00:01:21.311000,0 days 00:00:25.851000,0 days 00:00:28.336000,0 days 00:00:27.124000,Medium,2,1,,,1,True,0 days 00:58:23.887000,81.311,25.851,28.336,27.124,3503.887,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.31792746368879976,0.3484891343114707,0.3335834019997294,1,False,emilia_romagna_grand_prix,2024,81.81813636363637,22
RUS,Mercedes,2,0 days 00:01:21.562000,0 days 00:00:25.920000,0 days 00:00:28.359000,0 days 00:00:27.283000,Medium,2,1,,,1,True,0 days 00:58:24.910000,81.562,25.92,28.359,27.283,3504.91,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3177950516171747,0.34769868321031855,0.3345062651725068,1,False,emilia_romagna_grand_prix,2024,81.95135,20
HAM,Mercedes,2,0 days 00:01:21.841000,0 days 00:00:25.975000,0 days 00:00:28.537000,0 days 00:00:27.329000,Medium,2,1,,,1,True,0 days 00:58:25.802000,81.841,25.975,28.537,27.329,3505.802,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.31738370743270494,0.3486883102601386,0.3339279823071566,1,False,emilia_romagna_grand_prix,2024,82.12034615384616,26
HUL,Haas F1 Team,2,0 days 00:01:22.111000,0 days 00:00:26.091000,0 days 00:00:28.595000,0 days 00:00:27.425000,Medium,2,1,,,1,True,0 days 00:58:26.709000,82.111,26.091,28.595,27.425,3506.709,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3177527980416753,0.3482481031774062,0.3339990987809185,1,False,emilia_romagna_grand_prix,2024,82.65025,12
TSU,RB,2,0 days 00:01:22.366000,0 days 00:00:26.192000,0 days 00:00:28.632000,0 days 00:00:27.542000,Medium,2,1,,,1,True,0 days 00:58:27.472000,82.366,26.192,28.632,27.542,3507.472,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.3179952893184081,0.34761916324697084,0.3343855474346211,1,False,emilia_romagna_grand_prix,2024,82.66745454545455,11
PER,Red Bull Racing,2,0 days 00:01:22.599000,0 days 00:00:26.366000,0 days 00:00:28.593000,0 days 00:00:27.640000,Hard,2,1,,,1,True,0 days 00:58:28.224000,82.599,26.366,28.593,27.64,3508.224,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.31920483298829283,0.3461664184796426,0.33462874853206453,1,False,emilia_romagna_grand_prix,2024,82.65819444444445,36
RIC,RB,2,0 days 00:01:22.795000,0 days 00:00:26.259000,0 days 00:00:28.841000,0 days 00:00:27.695000,Medium,2,1,,,1,True,0 days 00:58:28.996000,82.795,26.259,28.841,27.695,3508.996,3479.472,25.0,50.0,1006.8,False,45.5,138,2.5,False,True,,,0.31715683314209797,0.3483422912011595,0.3345008756567426,1,False,emilia_romagna_grand_prix,2024,82.85650000000001,10
