Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
PIA,McLaren,2,0 days 00:01:24.038000,0 days 00:00:29.924000,0 days 00:00:30.425000,0 days 00:00:23.689000,Medium,2,1,,,1,True,0 days 00:57:55.986000,84.038,29.924,30.425,23.689,3475.986,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3560770127799329,0.3620386015849973,0.28188438563506985,3,False,hungarian_grand_prix,2024,84.26270588235293,17
VER,Red Bull Racing,2,0 days 00:01:24.026000,0 days 00:00:29.907000,0 days 00:00:30.574000,0 days 00:00:23.545000,Medium,2,1,,,1,True,0 days 00:57:57.564000,84.026,29.907,30.574,23.545,3477.564,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.355925546854545,0.36386356603908315,0.2802108871063719,3,False,hungarian_grand_prix,2024,84.65525,20
NOR,McLaren,2,0 days 00:01:24.240000,0 days 00:00:30.091000,0 days 00:00:30.380000,0 days 00:00:23.769000,Medium,2,1,,,1,True,0 days 00:57:58.831000,84.24,30.091,30.38,23.769,3478.831,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3572056030389364,0.36063627730294395,0.28215811965811965,3,False,hungarian_grand_prix,2024,84.316625,16
HAM,Mercedes,2,0 days 00:01:24.832000,0 days 00:00:30.357000,0 days 00:00:30.720000,0 days 00:00:23.755000,Medium,2,1,,,1,True,0 days 00:58:00.275000,84.832,30.357,30.72,23.755,3480.275,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3578484534138061,0.3621274990569597,0.28002404752923427,3,False,hungarian_grand_prix,2024,84.62586666666667,15
LEC,Ferrari,2,0 days 00:01:25.076000,0 days 00:00:30.320000,0 days 00:00:30.752000,0 days 00:00:24.004000,Medium,2,1,,,1,True,0 days 00:58:01.496000,85.076,30.32,30.752,24.004,3481.496,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3563872302411961,0.36146504302035826,0.2821477267384457,3,False,hungarian_grand_prix,2024,84.66799999999999,22
ALO,Aston Martin,2,0 days 00:01:26.085000,0 days 00:00:30.715000,0 days 00:00:31.405000,0 days 00:00:23.965000,Soft,4,1,,,1,True,0 days 00:58:03.163000,86.085,30.715,31.405,23.965,3483.163,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3567985130975199,0.36481384677934603,0.2783876401231341,3,False,hungarian_grand_prix,2024,86.16583333333334,6
SAI,Ferrari,2,0 days 00:01:26.038000,0 days 00:00:30.593000,0 days 00:00:31.559000,0 days 00:00:23.886000,Medium,2,1,,,1,True,0 days 00:58:03.607000,86.038,30.593,31.559,23.886,3483.607,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3555754434087264,0.36680304051698087,0.27762151607429275,3,False,hungarian_grand_prix,2024,84.8969,20
STR,Aston Martin,2,0 days 00:01:26.376000,0 days 00:00:30.608000,0 days 00:00:31.585000,0 days 00:00:24.183000,Soft,5,1,,,1,True,0 days 00:58:04.398000,86.376,30.608,31.585,24.183,3484.398,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.354357691951468,0.36566870426970455,0.27997360377882746,3,False,hungarian_grand_prix,2024,85.57415384615385,13
ALB,Williams,2,0 days 00:01:26.441000,0 days 00:00:30.724000,0 days 00:00:31.443000,0 days 00:00:24.274000,Soft,2,1,,,1,True,0 days 00:58:04.883000,86.441,30.724,31.443,24.274,3484.883,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.35543318564107307,0.3637509977904004,0.2808158165685265,3,False,hungarian_grand_prix,2024,86.6388,5
MAG,Haas F1 Team,2,0 days 00:01:26.680000,0 days 00:00:30.688000,0 days 00:00:31.665000,0 days 00:00:24.327000,Soft,2,1,,,1,True,0 days 00:58:05.719000,86.68,30.688,31.665,24.327,3485.719,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.35403784033225655,0.36530918320258415,0.2806529764651592,3,False,hungarian_grand_prix,2024,86.6812,5
RIC,RB,2,0 days 00:01:26.602000,0 days 00:00:30.603000,0 days 00:00:31.780000,0 days 00:00:24.219000,Medium,2,1,,,1,True,0 days 00:58:06.133000,86.602,30.603,31.78,24.219,3486.133,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.35337521073416317,0.36696612087480657,0.2796586683910302,3,False,hungarian_grand_prix,2024,86.23033333333335,6
TSU,RB,2,0 days 00:01:26.461000,0 days 00:00:30.478000,0 days 00:00:31.682000,0 days 00:00:24.301000,Medium,2,1,,,1,True,0 days 00:58:06.709000,86.461,30.478,31.682,24.301,3486.709,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3525057540393935,0.3664311076670406,0.2810631382935659,3,False,hungarian_grand_prix,2024,85.57721428571428,28
BOT,Kick Sauber,2,0 days 00:01:26.578000,0 days 00:00:30.621000,0 days 00:00:31.707000,0 days 00:00:24.250000,Medium,3,1,,,1,True,0 days 00:58:07.210000,86.578,30.621,31.707,24.25,3487.21,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.35368107371387647,0.36622467601469194,0.28009425027143153,3,False,hungarian_grand_prix,2024,85.7312,15
OCO,Alpine,2,0 days 00:01:26.711000,0 days 00:00:30.691000,0 days 00:00:31.723000,0 days 00:00:24.297000,Medium,2,1,,,1,True,0 days 00:58:08.324000,86.711,30.691,31.723,24.297,3488.324,3477.856,28.9,45.0,981.7,False,44.6,174,0.8,False,True,,,0.3539458661530832,0.36584747033248377,0.280206663514433,3,False,hungarian_grand_prix,2024,86.828,5
