Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
PIA,McLaren,2,0 days 00:01:25.116000,0 days 00:00:27.751000,0 days 00:00:29.311000,0 days 00:00:28.054000,Medium,2,1,,,1,True,0 days 00:58:43.491000,85.116,27.751,29.311,28.054,3523.491,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3260374077729217,0.34436533671695096,0.32959725551012736,1,False,italian_grand_prix,2024,85.03953333333334,15
LEC,Ferrari,2,0 days 00:01:25.396000,0 days 00:00:27.707000,0 days 00:00:29.265000,0 days 00:00:28.424000,Medium,2,1,,,1,True,0 days 00:58:44.327000,85.396,27.707,29.265,28.424,3524.327,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.32445313597826597,0.342697550236545,0.332849313785189,1,False,italian_grand_prix,2024,85.25264285714286,14
NOR,McLaren,2,0 days 00:01:25.458000,0 days 00:00:27.676000,0 days 00:00:29.408000,0 days 00:00:28.374000,Medium,2,1,,,1,True,0 days 00:58:45.181000,85.458,27.676,29.408,28.374,3525.181,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3238549930960238,0.3441222588874067,0.33202274801656956,1,False,italian_grand_prix,2024,85.17823076923077,13
SAI,Ferrari,2,0 days 00:01:25.731000,0 days 00:00:27.553000,0 days 00:00:29.775000,0 days 00:00:28.403000,Medium,2,1,,,1,True,0 days 00:58:45.828000,85.731,27.553,29.775,28.403,3525.828,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.32138899581248326,0.34730727508135917,0.33130372910615763,1,False,italian_grand_prix,2024,85.43677777777778,18
HAM,Mercedes,2,0 days 00:01:26.043000,0 days 00:00:27.701000,0 days 00:00:29.754000,0 days 00:00:28.588000,Medium,2,1,,,1,True,0 days 00:58:46.469000,86.043,27.701,29.754,28.588,3526.469,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3219436793231291,0.34580384226491406,0.3322524784119568,1,False,italian_grand_prix,2024,85.60614285714284,14
VER,Red Bull Racing,2,0 days 00:01:26.170000,0 days 00:00:28.048000,0 days 00:00:29.474000,0 days 00:00:28.648000,Hard,2,1,,,1,True,0 days 00:58:47.276000,86.17,28.048,29.474,28.648,3527.276,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.32549611233607983,0.34204479517233377,0.3324590924915864,1,False,italian_grand_prix,2024,85.52761904761904,21
RUS,Mercedes,2,0 days 00:01:26.055000,0 days 00:00:27.760000,0 days 00:00:29.574000,0 days 00:00:28.721000,Medium,2,1,,,1,True,0 days 00:58:48.319000,86.055,27.76,29.574,28.721,3528.319,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3225843937017024,0.34366393585497645,0.3337516704433211,1,False,italian_grand_prix,2024,86.0165,10
PER,Red Bull Racing,2,0 days 00:01:26.411000,0 days 00:00:27.938000,0 days 00:00:29.614000,0 days 00:00:28.859000,Hard,2,1,,,1,True,0 days 00:58:48.861000,86.411,27.938,29.614,28.859,3528.861,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.32331531865156055,0.34271099744245526,0.3339736839059842,1,False,italian_grand_prix,2024,85.62568181818182,22
ALB,Williams,2,0 days 00:01:27.011000,0 days 00:00:28.097000,0 days 00:00:29.802000,0 days 00:00:29.112000,Medium,2,1,,,1,True,0 days 00:58:49.728000,87.011,28.097,29.802,29.112,3529.728,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3229131948834056,0.3425084184758249,0.33457838664076955,1,False,italian_grand_prix,2024,86.3976875,16
ALO,Aston Martin,2,0 days 00:01:27.236000,0 days 00:00:28.200000,0 days 00:00:29.932000,0 days 00:00:29.104000,Medium,3,1,,,1,True,0 days 00:58:50.399000,87.236,28.2,29.932,29.104,3530.399,3506.388,33.8,30.0,993.2,False,50.4,183,0.7,False,True,,,0.3232610390205878,0.34311522765830615,0.33362373332110595,1,False,italian_grand_prix,2024,86.46618181818181,11
