Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
OCO,Alpine,3,0 days 00:02:20.237000,0 days 00:01:16.397000,0 days 00:00:44.751000,0 days 00:00:19.089000,Hard,2,2,,,1,True,0 days 01:36:22.674000,140.237,76.397,44.751,19.089,5782.674,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.5447706382766317,0.3191097927080585,0.1361195690153098,3,False,japanese_grand_prix,2024,102.90458823529411,17
BOT,Kick Sauber,3,0 days 00:02:28.991000,0 days 00:01:25.037000,0 days 00:00:44.890000,0 days 00:00:19.064000,Soft,3,2,,,1,True,0 days 01:36:22.966000,148.991,85.037,44.89,19.064,5782.966,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.5707525957943769,0.3012933667134256,0.1279540374921975,3,False,japanese_grand_prix,2024,112.005,4
GAS,Alpine,3,0 days 00:02:18.362000,0 days 00:01:14.063000,0 days 00:00:45.103000,0 days 00:00:19.196000,Hard,2,2,,,1,True,0 days 01:36:23.972000,138.362,74.063,45.103,19.196,5783.972,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.5352842543472919,0.3259782310171868,0.13873751463552134,3,False,japanese_grand_prix,2024,103.81171428571429,14
MAG,Haas F1 Team,3,0 days 00:02:12.996000,0 days 00:01:08.747000,0 days 00:00:45.117000,0 days 00:00:19.132000,Medium,2,2,,,1,True,0 days 01:36:24.390000,132.996,68.747,45.117,19.132,5784.39,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.5169102830160305,0.33923576648921766,0.14385395049475172,3,False,japanese_grand_prix,2024,101.61025,20
ZHO,Kick Sauber,3,0 days 00:02:09.289000,0 days 00:01:05.121000,0 days 00:00:44.909000,0 days 00:00:19.259000,Soft,2,2,,,1,True,0 days 01:36:24.621000,129.289,65.121,44.909,19.259,5784.621,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.5036855416934155,0.3473536031680963,0.14896085513848822,3,False,japanese_grand_prix,2024,106.39579999999998,5
SAR,Williams,3,0 days 00:02:12.603000,0 days 00:01:07.556000,0 days 00:00:45.219000,0 days 00:00:19.828000,Hard,2,2,,,1,True,0 days 01:36:26.249000,132.603,67.556,45.219,19.828,5786.249,5800.844,22.5,37.0,1012.2,False,39.0,216,3.1,False,True,,,0.509460570273674,0.34101038438044384,0.14952904534588204,3,False,japanese_grand_prix,2024,101.5673,20
VER,Red Bull Racing,4,0 days 00:01:36.472000,0 days 00:00:34.772000,0 days 00:00:43.042000,0 days 00:00:18.658000,Medium,4,2,,,1,True,0 days 01:37:51.921000,96.472,34.772,43.042,18.658,5871.921,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36043618873870137,0.4461605439920392,0.1934032672692595,3,False,japanese_grand_prix,2024,97.54776923076923,13
PER,Red Bull Racing,4,0 days 00:01:36.573000,0 days 00:00:34.694000,0 days 00:00:43.203000,0 days 00:00:18.676000,Medium,4,2,,,1,True,0 days 01:37:53.013000,96.573,34.694,43.203,18.676,5873.013,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3592515506404482,0.44736106365133116,0.19338738570822073,3,False,japanese_grand_prix,2024,97.91950000000001,12
NOR,McLaren,4,0 days 00:01:36.853000,0 days 00:00:35.062000,0 days 00:00:43.181000,0 days 00:00:18.610000,Medium,4,2,,,1,True,0 days 01:37:54.200000,96.853,35.062,43.181,18.61,5874.2,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36201253445943854,0.44584060380163754,0.19214686173892395,3,False,japanese_grand_prix,2024,98.0075,8
SAI,Ferrari,4,0 days 00:01:37.225000,0 days 00:00:35.406000,0 days 00:00:43.259000,0 days 00:00:18.560000,Medium,3,2,,,1,True,0 days 01:37:55.039000,97.225,35.406,43.259,18.56,5875.039,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3641655952687066,0.4449370017999486,0.19089740293134483,3,False,japanese_grand_prix,2024,98.12,12
ALO,Aston Martin,4,0 days 00:01:37.453000,0 days 00:00:35.510000,0 days 00:00:43.299000,0 days 00:00:18.644000,Soft,4,2,,,1,True,0 days 01:37:55.873000,97.453,35.51,43.299,18.644,5875.873,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3643807784265235,0.4443064862036058,0.1913127353698706,3,False,japanese_grand_prix,2024,98.5678,10
PIA,McLaren,4,0 days 00:01:37.734000,0 days 00:00:35.541000,0 days 00:00:43.643000,0 days 00:00:18.550000,Medium,4,2,,,1,True,0 days 01:37:57.034000,97.734,35.541,43.643,18.55,5877.034,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3636503161642826,0.4465487957108069,0.1898008881249105,3,False,japanese_grand_prix,2024,98.63977777777778,9
LEC,Ferrari,4,0 days 00:01:38.268000,0 days 00:00:35.805000,0 days 00:00:43.656000,0 days 00:00:18.807000,Medium,3,2,,,1,True,0 days 01:37:58.143000,98.268,35.805,43.656,18.807,5878.143,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36436072780559287,0.44425448772743925,0.19138478446696786,3,False,japanese_grand_prix,2024,98.35382608695652,23
HAM,Mercedes,4,0 days 00:01:38.303000,0 days 00:00:35.858000,0 days 00:00:43.823000,0 days 00:00:18.622000,Hard,3,2,,,1,True,0 days 01:37:58.806000,98.303,35.858,43.823,18.622,5878.806,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36477014943592767,0.4457951435866657,0.18943470697740658,3,False,japanese_grand_prix,2024,99.07345000000001,20
TSU,RB,4,0 days 00:01:39.108000,0 days 00:00:35.860000,0 days 00:00:44.164000,0 days 00:00:19.084000,Soft,6,2,,,1,True,0 days 01:38:00.518000,99.108,35.86,44.164,19.084,5880.518,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36182750131170033,0.4456148847721677,0.19255761391613188,3,False,japanese_grand_prix,2024,99.62525,4
RUS,Mercedes,4,0 days 00:01:38.976000,0 days 00:00:36.014000,0 days 00:00:43.918000,0 days 00:00:19.044000,Hard,3,2,,,1,True,0 days 01:38:00.817000,98.976,36.014,43.918,19.044,5880.817,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3638659877141934,0.4437237310054963,0.19241028128031037,3,False,japanese_grand_prix,2024,98.82973684210526,19
OCO,Alpine,4,0 days 00:01:39.541000,0 days 00:00:36.369000,0 days 00:00:44.208000,0 days 00:00:18.964000,Hard,3,2,,,1,True,0 days 01:38:02.215000,99.541,36.369,44.208,18.964,5882.215,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36536703468922355,0.4441185039330527,0.19051446137772374,3,False,japanese_grand_prix,2024,102.90458823529411,17
BOT,Kick Sauber,4,0 days 00:01:39.462000,0 days 00:00:36.346000,0 days 00:00:44.258000,0 days 00:00:18.858000,Soft,4,2,,,1,True,0 days 01:38:02.428000,99.462,36.346,44.258,18.858,5882.428,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.36542599183607805,0.44497395990428507,0.18960004825963683,3,False,japanese_grand_prix,2024,112.005,4
STR,Aston Martin,4,0 days 00:01:39.528000,0 days 00:00:36.379000,0 days 00:00:44.265000,0 days 00:00:18.884000,Soft,3,2,,,1,True,0 days 01:38:03.024000,99.528,36.379,44.265,18.884,5883.024,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3655152318945422,0.44474921630094044,0.18973555180451732,3,False,japanese_grand_prix,2024,99.30377777777778,9
GAS,Alpine,4,0 days 00:01:39.925000,0 days 00:00:36.680000,0 days 00:00:44.410000,0 days 00:00:18.835000,Hard,3,2,,,1,True,0 days 01:38:03.897000,99.925,36.68,44.41,18.835,5883.897,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3670753064798599,0.44443332499374527,0.1884913685263948,3,False,japanese_grand_prix,2024,103.81171428571429,14
MAG,Haas F1 Team,4,0 days 00:01:40.103000,0 days 00:00:36.735000,0 days 00:00:44.554000,0 days 00:00:18.814000,Medium,3,2,,,1,True,0 days 01:38:04.493000,100.103,36.735,44.554,18.814,5884.493,5860.845,22.5,37.0,1012.1,False,39.0,204,4.2,False,True,,,0.3669720188206148,0.4450815659870334,0.1879464151923519,3,False,japanese_grand_prix,2024,101.61025,20
