Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
RUS,Mercedes,2,0 days 00:01:39.077000,0 days 00:00:28.738000,0 days 00:00:33.235000,0 days 00:00:37.104000,Medium,3,1,,,1,True,0 days 00:59:49.122000,99.077,28.738,33.235,37.104,3589.122,3561.253,18.0,50.0,935.9,False,18.2,138,2.1,False,True,,,0.2900572282164377,0.335446168131857,0.37449660365170523,1,False,las_vegas_grand_prix,2024,99.05899999999998,11
LEC,Ferrari,2,0 days 00:01:39.333000,0 days 00:00:29.011000,0 days 00:00:33.345000,0 days 00:00:36.977000,Medium,2,1,,,1,True,0 days 00:59:49.993000,99.333,29.011,33.345,36.977,3589.993,3561.253,18.0,50.0,935.9,False,18.2,138,2.1,False,True,,,0.2920580270403592,0.33568904593639576,0.37225292702324503,1,False,las_vegas_grand_prix,2024,100.423125,8
SAI,Ferrari,2,0 days 00:01:39.466000,0 days 00:00:28.957000,0 days 00:00:33.526000,0 days 00:00:36.983000,Medium,2,1,,,1,True,0 days 00:59:51.056000,99.466,28.957,33.526,36.983,3591.056,3561.253,18.0,50.0,935.9,False,18.2,138,2.1,False,True,,,0.29112460539279755,0.3370598998652807,0.3718154947419219,1,False,las_vegas_grand_prix,2024,99.93177777777777,9
GAS,Alpine,2,0 days 00:01:39.956000,0 days 00:00:29.441000,0 days 00:00:33.480000,0 days 00:00:37.035000,Medium,2,1,,,1,True,0 days 00:59:52.064000,99.956,29.441,33.48,37.035,3592.064,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.29453959742286606,0.3349473768458121,0.3705130257313217,1,False,las_vegas_grand_prix,2024,100.72488888888888,9
VER,Red Bull Racing,2,0 days 00:01:39.861000,0 days 00:00:29.082000,0 days 00:00:33.747000,0 days 00:00:37.032000,Medium,2,1,,,1,True,0 days 00:59:52.556000,99.861,29.082,33.747,37.032,3592.556,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.29122480247544086,0.3379397362333644,0.3708354612911947,1,False,las_vegas_grand_prix,2024,99.721,10
NOR,McLaren,2,0 days 00:01:39.907000,0 days 00:00:29.126000,0 days 00:00:33.696000,0 days 00:00:37.085000,Medium,2,1,,,1,True,0 days 00:59:53.477000,99.907,29.126,33.696,37.085,3593.477,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.29153112394526914,0.3372736645079924,0.3711952115467385,1,False,las_vegas_grand_prix,2024,100.25812499999999,8
TSU,RB,2,0 days 00:01:40.026000,0 days 00:00:29.487000,0 days 00:00:33.550000,0 days 00:00:36.989000,Medium,2,1,,,1,True,0 days 00:59:54.144000,100.026,29.487,33.55,36.989,3594.144,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.2947933537280307,0.3354127926739048,0.3697938535980645,1,False,las_vegas_grand_prix,2024,100.57433333333333,9
HUL,Haas F1 Team,2,0 days 00:01:39.760000,0 days 00:00:28.808000,0 days 00:00:33.929000,0 days 00:00:37.023000,Medium,2,1,,,1,True,0 days 00:59:55.213000,99.76,28.808,33.929,37.023,3595.213,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.2887730553327987,0.34010625501202885,0.3711206896551724,1,False,las_vegas_grand_prix,2024,100.7776923076923,13
PIA,McLaren,2,0 days 00:01:40.495000,0 days 00:00:29.645000,0 days 00:00:33.940000,0 days 00:00:36.910000,Medium,2,1,,,1,True,0 days 00:59:55.706000,100.495,29.645,33.94,36.91,3595.706,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.29498980048758644,0.33772824518632766,0.36728195432608585,1,False,las_vegas_grand_prix,2024,100.53966666666666,9
HAM,Mercedes,2,0 days 00:01:40.033000,0 days 00:00:29.367000,0 days 00:00:33.928000,0 days 00:00:36.738000,Medium,2,1,,,1,True,0 days 00:59:55.927000,100.033,29.367,33.928,36.738,3595.927,3621.255,18.0,50.0,935.9,False,18.0,263,1.1,False,True,,,0.2935731208701129,0.33916807453540326,0.3672588045944838,1,False,las_vegas_grand_prix,2024,99.84825000000001,12
