Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
TSU,RB,2,0 days 00:02:28.277000,0 days 00:00:25.893000,0 days 00:00:41.120000,0 days 00:01:21.264000,Hard,2,2,,0 days 01:36:35.390000,41,False,0 days 01:39:02.839000,148.277,25.893,41.12,81.264,5942.839,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.17462586915030653,0.2773188019719849,0.5480553288777086,1,False,monaco_grand_prix,2024,80.87410526315789,76
ALB,Williams,2,0 days 00:02:22.255000,0 days 00:00:26.143000,0 days 00:00:40.862000,0 days 00:01:15.250000,Hard,1,2,,0 days 01:36:41.722000,41,False,0 days 01:39:03.025000,142.255,26.143,40.862,75.25,5943.025,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.18377561421391164,0.2872447365646199,0.5289796492214686,1,False,monaco_grand_prix,2024,80.98406578947368,76
GAS,Alpine,2,0 days 00:02:19.618000,0 days 00:00:26.415000,0 days 00:00:41.050000,0 days 00:01:12.153000,Medium,1,2,,0 days 01:36:44.525000,41,False,0 days 01:39:03.266000,139.618,26.415,41.05,72.153,5943.266,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.18919480296236876,0.29401653081980833,0.5167886662178229,1,False,monaco_grand_prix,2024,81.02763157894738,76
STR,Aston Martin,2,0 days 00:02:14.844000,0 days 00:00:27.146000,0 days 00:00:39.531000,0 days 00:01:08.167000,Medium,2,2,,0 days 01:36:49.541000,41,False,0 days 01:39:03.445000,134.844,27.146,39.531,68.167,5943.445,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.2013141111209991,0.2931609860282994,0.5055249028507016,1,False,monaco_grand_prix,2024,82.82460975609757,41
RIC,RB,2,0 days 00:02:10.108000,0 days 00:00:27.153000,0 days 00:00:42.359000,0 days 00:01:00.596000,Hard,2,2,,0 days 01:36:54.504000,41,False,0 days 01:39:03.668000,130.108,27.153,42.359,60.596,5943.668,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.2086958526762382,0.3255679896701202,0.46573615765364157,1,False,monaco_grand_prix,2024,81.22948000000001,75
ALO,Aston Martin,2,0 days 00:02:04.571000,0 days 00:00:27.874000,0 days 00:00:40.625000,0 days 00:00:56.072000,Medium,2,2,,0 days 01:37:00.031000,41,False,0 days 01:39:03.708000,124.571,27.874,40.625,56.072,5943.708,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.22375994412824815,0.3261192412359217,0.4501208146358302,1,False,monaco_grand_prix,2024,81.14965333333333,75
SAR,Williams,2,0 days 00:02:01.235000,0 days 00:00:26.633000,0 days 00:00:39.728000,0 days 00:00:54.874000,Hard,2,2,,0 days 01:37:03.705000,41,False,0 days 01:39:04.046000,121.235,26.633,39.728,54.874,5944.046,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.21968078525178372,0.327694147729616,0.4526250670186003,1,False,monaco_grand_prix,2024,82.493375,56
BOT,Kick Sauber,2,0 days 00:01:56.358000,0 days 00:00:25.896000,0 days 00:00:38.937000,0 days 00:00:51.525000,Medium,1,2,,0 days 01:37:08.441000,41,False,0 days 01:39:04.059000,116.358,25.896,38.937,51.525,5944.059,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.22255452998504616,0.3346310524416026,0.44281441757335116,1,False,monaco_grand_prix,2024,86.30492857142858,14
ZHO,Kick Sauber,2,0 days 00:01:52.131000,0 days 00:00:28.552000,0 days 00:00:39.859000,0 days 00:00:43.720000,Hard,1,2,,0 days 01:37:13.050000,41,False,0 days 01:39:04.337000,112.131,28.552,39.859,43.72,5944.337,5934.534,21.6,66.0,1018.7,False,48.6,356,1.4,False,True,,,0.2546307443971783,0.3554681577797398,0.3899010978230819,1,False,monaco_grand_prix,2024,81.89976811594202,69
LEC,Ferrari,3,0 days 00:01:24.624000,0 days 00:00:24.007000,0 days 00:00:38.235000,0 days 00:00:22.382000,Hard,2,2,,,1,True,0 days 01:40:24.764000,84.624,24.007,38.235,22.382,6024.764,6054.54,21.7,63.0,1018.9,False,49.2,0,0.6,False,True,,,0.2836902060881074,0.451822178105502,0.26448761580639063,3,False,monaco_grand_prix,2024,78.43903947368422,76
