Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
VER,Red Bull Racing,2,0 days 00:01:34.205000,0 days 00:00:34.720000,0 days 00:00:29.628000,0 days 00:00:29.857000,Medium,2,1,,,1,True,0 days 01:02:53.835000,94.205,34.72,29.628,29.857,3773.835,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.36855793216920546,0.3145055994904729,0.31693646834032163,2,False,saudi_arabian_grand_prix,2024,98.75866666666667,6
LEC,Ferrari,2,0 days 00:01:34.179000,0 days 00:00:34.757000,0 days 00:00:29.603000,0 days 00:00:29.819000,Medium,2,1,,,1,True,0 days 01:02:54.985000,94.179,34.757,29.603,29.819,3774.985,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3690525488697055,0.31432697310440755,0.31662047802588683,2,False,saudi_arabian_grand_prix,2024,99.56633333333333,6
PER,Red Bull Racing,2,0 days 00:01:34.515000,0 days 00:00:35.070000,0 days 00:00:29.781000,0 days 00:00:29.664000,Medium,2,1,,,1,True,0 days 01:02:55.862000,94.515,35.07,29.781,29.664,3775.862,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.37105221393429616,0.3150928424059673,0.31385494365973654,3,False,saudi_arabian_grand_prix,2024,99.193,6
PIA,McLaren,2,0 days 00:01:35.082000,0 days 00:00:34.965000,0 days 00:00:29.949000,0 days 00:00:30.168000,Medium,2,1,,,1,True,0 days 01:02:57.912000,95.082,34.965,29.949,30.168,3777.912,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.36773521802233866,0.31498075345491267,0.3172840285227488,2,False,saudi_arabian_grand_prix,2024,99.956,6
ALO,Aston Martin,2,0 days 00:01:35.724000,0 days 00:00:35.945000,0 days 00:00:29.705000,0 days 00:00:30.074000,Medium,3,1,,,1,True,0 days 01:02:58.356000,95.724,35.945,29.705,30.074,3778.356,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.37550666499519453,0.31031925118047715,0.31417408382432827,2,False,saudi_arabian_grand_prix,2024,100.13066666666667,6
NOR,McLaren,2,0 days 00:01:35.246000,0 days 00:00:35.355000,0 days 00:00:29.959000,0 days 00:00:29.932000,Medium,2,1,,,1,True,0 days 01:02:59.297000,95.246,35.355,29.959,29.932,3779.297,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.371196690674674,0.31454339289838945,0.31425991642693657,3,False,saudi_arabian_grand_prix,2024,95.14867647058823,34
RUS,Mercedes,2,0 days 00:01:35.146000,0 days 00:00:35.762000,0 days 00:00:29.646000,0 days 00:00:29.738000,Medium,2,1,,,1,True,0 days 01:02:59.730000,95.146,35.762,29.646,29.738,3779.73,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3758644609337229,0.3115843020200534,0.3125512370462237,2,False,saudi_arabian_grand_prix,2024,100.74066666666666,6
HAM,Mercedes,2,0 days 00:01:35.541000,0 days 00:00:36.082000,0 days 00:00:29.801000,0 days 00:00:29.658000,Medium,2,1,,,1,True,0 days 01:03:00.566000,95.541,36.082,29.801,29.658,3780.566,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3776598528380486,0.31191844339079555,0.31042170377115585,3,False,saudi_arabian_grand_prix,2024,95.36757575757576,33
STR,Aston Martin,2,0 days 00:01:36.094000,0 days 00:00:35.771000,0 days 00:00:30.160000,0 days 00:00:30.163000,Medium,3,1,,,1,True,0 days 01:03:02.648000,96.094,35.771,30.16,30.163,3782.648,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3722500884550545,0.3138593460569859,0.31389056548795974,2,False,saudi_arabian_grand_prix,2024,95.79475,4
TSU,RB,2,0 days 00:01:36.873000,0 days 00:00:36.610000,0 days 00:00:30.236000,0 days 00:00:30.027000,Medium,2,1,,,1,True,0 days 01:03:03.529000,96.873,36.61,30.236,30.027,3783.529,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3779174795866753,0.31211999215467673,0.3099625282586479,3,False,saudi_arabian_grand_prix,2024,101.78866666666666,6
BEA,Ferrari,2,0 days 00:01:37.415000,0 days 00:00:37.634000,0 days 00:00:29.937000,0 days 00:00:29.844000,Soft,2,1,,,1,True,0 days 01:03:04.161000,97.415,37.634,29.937,29.844,3784.161,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.38632654108710157,0.30731406867525535,0.3063593902376431,3,False,saudi_arabian_grand_prix,2024,101.90966666666668,6
MAG,Haas F1 Team,2,0 days 00:01:37.522000,0 days 00:00:37.419000,0 days 00:00:30.138000,0 days 00:00:29.965000,Medium,2,1,,,1,True,0 days 01:03:04.806000,97.522,37.419,30.138,29.965,3784.806,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3836980373659276,0.30903796066528577,0.3072640019687865,3,False,saudi_arabian_grand_prix,2024,102.00233333333334,6
ALB,Williams,2,0 days 00:01:37.553000,0 days 00:00:37.270000,0 days 00:00:30.174000,0 days 00:00:30.109000,Medium,2,1,,,1,True,0 days 01:03:05.304000,97.553,37.27,30.174,30.109,3785.304,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3820487324838806,0.30930878599325495,0.3086424815228645,3,False,saudi_arabian_grand_prix,2024,102.04533333333332,6
HUL,Haas F1 Team,2,0 days 00:01:37.836000,0 days 00:00:37.559000,0 days 00:00:30.401000,0 days 00:00:29.876000,Medium,2,1,,,1,True,0 days 01:03:05.709000,97.836,37.559,30.401,29.876,3785.709,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3838975428267713,0.3107342900363874,0.3053681671368413,3,False,saudi_arabian_grand_prix,2024,96.5501,30
RIC,RB,2,0 days 00:01:38.035000,0 days 00:00:37.420000,0 days 00:00:30.467000,0 days 00:00:30.148000,Medium,2,1,,,1,True,0 days 01:03:06.489000,98.035,37.42,30.467,30.148,3786.489,3788.54,25.4,62.0,1012.6,False,31.7,172,1.0,False,True,,,0.3817004131177641,0.3107767634008262,0.3075228234814097,3,False,saudi_arabian_grand_prix,2024,102.51533333333333,6
