Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,SeasonYear,AvgLapTime,StintLength
RUS,Mercedes,2,0 days 00:01:19.857000,0 days 00:00:24.192000,0 days 00:00:32.070000,0 days 00:00:23.595000,Soft,5,1,,,1,True,0 days 00:59:39.746000,79.857,24.192,32.07,23.595,3579.746,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.3029415079454525,0.40159284721439575,0.29546564484015175,3,False,spanish_grand_prix,2024,81.40492857142858,14
VER,Red Bull Racing,2,0 days 00:01:19.871000,0 days 00:00:24.201000,0 days 00:00:31.900000,0 days 00:00:23.770000,Soft,5,1,,,1,True,0 days 00:59:40.378000,79.871,24.201,31.9,23.77,3580.378,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.303001089256426,0.39939402286186476,0.29760488788170925,3,False,spanish_grand_prix,2024,81.0645625,16
NOR,McLaren,2,0 days 00:01:20.215000,0 days 00:00:24.310000,0 days 00:00:32.014000,0 days 00:00:23.891000,Soft,2,1,,,1,True,0 days 00:59:41.489000,80.215,24.31,32.014,23.891,3581.489,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.3030605248394938,0.39910241226703236,0.2978370628934738,3,False,spanish_grand_prix,2024,81.18277272727272,22
HAM,Mercedes,2,0 days 00:01:20.594000,0 days 00:00:24.248000,0 days 00:00:32.276000,0 days 00:00:24.070000,Soft,5,1,,,1,True,0 days 00:59:42.356000,80.594,24.248,32.276,24.07,3582.356,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.30086606943444927,0.4004764622676627,0.2986574682978882,3,False,spanish_grand_prix,2024,81.45333333333333,15
LEC,Ferrari,2,0 days 00:01:20.842000,0 days 00:00:24.412000,0 days 00:00:32.367000,0 days 00:00:24.063000,Soft,2,1,,,1,True,0 days 00:59:43.586000,80.842,24.412,32.367,24.063,3583.586,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.301971747359046,0.40037356819475023,0.2976546844462037,3,False,spanish_grand_prix,2024,81.40839130434783,23
SAI,Ferrari,2,0 days 00:01:20.666000,0 days 00:00:24.509000,0 days 00:00:32.270000,0 days 00:00:23.887000,Soft,2,1,,,1,True,0 days 00:59:44.072000,80.666,24.509,32.27,23.887,3584.072,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.30383308952966553,0.4000446284680039,0.2961222820023306,3,False,spanish_grand_prix,2024,81.38557142857144,14
GAS,Alpine,2,0 days 00:01:21.157000,0 days 00:00:24.552000,0 days 00:00:32.497000,0 days 00:00:24.108000,Soft,5,1,,,1,True,0 days 00:59:45.062000,81.157,24.552,32.497,24.108,3585.062,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.30252473600552016,0.40042140542405463,0.29705385857042527,3,False,spanish_grand_prix,2024,81.66430769230769,13
PIA,McLaren,2,0 days 00:01:21.607000,0 days 00:00:24.832000,0 days 00:00:32.474000,0 days 00:00:24.301000,Soft,5,1,,,1,True,0 days 00:59:46.001000,81.607,24.832,32.474,24.301,3586.001,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.3042876223853346,0.3979315499895842,0.2977808276250812,3,False,spanish_grand_prix,2024,81.8197,20
OCO,Alpine,2,0 days 00:01:22.017000,0 days 00:00:24.836000,0 days 00:00:32.719000,0 days 00:00:24.462000,Soft,5,1,,,1,True,0 days 00:59:46.798000,82.017,24.836,32.719,24.462,3586.798,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.30281527000499897,0.39892949022763574,0.2982552397673653,3,False,spanish_grand_prix,2024,82.02475,12
HUL,Haas F1 Team,2,0 days 00:01:22.084000,0 days 00:00:24.709000,0 days 00:00:32.944000,0 days 00:00:24.431000,Soft,2,1,,,1,True,0 days 00:59:47.375000,82.084,24.709,32.944,24.431,3587.375,3560.868,24.2,67.0,1001.3,False,39.8,222,2.6,False,True,,,0.30102090541396614,0.40134496369572636,0.2976341308903075,3,False,spanish_grand_prix,2024,82.30090909090909,11
