Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,ULTRASOFT,27,5,27,109.80504347826087,106.459,McLaren,23
ALO,2,SUPERSOFT,27,28,54,105.61348148148147,102.393,McLaren,27
BOT,1,ULTRASOFT,19,5,16,109.58675,104.579,Mercedes,12
BOT,2,SUPERSOFT,24,17,40,105.00404166666668,102.975,Mercedes,24
BOT,3,ULTRASOFT,15,41,55,104.58753333333334,100.953,Mercedes,15
ERI,1,SUPERSOFT,24,5,24,109.8086,106.077,Sauber,20
GAS,1,SUPERSOFT,29,5,29,109.24968000000001,105.169,Toro Rosso,25
GAS,2,ULTRASOFT,17,30,46,106.32435294117647,103.988,Toro Rosso,17
GRO,1,HYPERSOFT,10,5,7,115.77266666666667,106.573,Haas F1 Team,3
GRO,2,SUPERSOFT,47,8,54,106.99955319148937,103.195,Haas F1 Team,47
HAM,1,ULTRASOFT,10,5,7,112.35066666666667,103.982,Mercedes,3
HAM,2,SUPERSOFT,48,8,55,104.58506249999999,101.357,Mercedes,48
HAR,2,SUPERSOFT,52,5,54,107.88276,104.174,Toro Rosso,50
LEC,1,HYPERSOFT,10,5,7,114.60133333333333,105.931,Sauber,3
LEC,2,SUPERSOFT,48,8,55,106.26608333333333,102.876,Sauber,48
MAG,1,SUPERSOFT,41,5,41,108.02602702702703,104.704,Haas F1 Team,37
MAG,2,ULTRASOFT,13,42,54,105.8876923076923,102.822,Haas F1 Team,13
OCO,1,HYPERSOFT,21,5,18,111.21364285714286,105.919,Racing Point,14
OCO,2,SUPERSOFT,26,19,44,106.17373076923076,103.591,Racing Point,26
PER,1,ULTRASOFT,26,5,26,109.16968181818183,105.853,Racing Point,22
PER,2,SUPERSOFT,29,27,55,104.85179310344827,102.816,Racing Point,29
RAI,1,ULTRASOFT,10,5,6,110.28999999999999,105.198,Ferrari,2
RIC,1,ULTRASOFT,37,5,33,106.52472413793103,103.202,Red Bull Racing,29
RIC,2,SUPERSOFT,22,34,55,103.60668181818183,101.249,Red Bull Racing,22
SAI,1,ULTRASOFT,37,5,37,107.48954545454545,103.54,Renault,33
SAI,2,SUPERSOFT,18,38,55,104.23116666666667,101.351,Renault,18
SIR,1,SUPERSOFT,35,5,35,109.44212903225807,106.155,Williams,31
SIR,2,ULTRASOFT,19,36,54,106.4148947368421,103.831,Williams,19
STR,1,SUPERSOFT,40,5,40,108.50458333333333,105.16,Williams,36
STR,2,ULTRASOFT,14,41,54,106.653,104.033,Williams,14
VAN,1,SUPERSOFT,35,5,35,109.2972258064516,106.293,McLaren,31
VAN,2,ULTRASOFT,19,36,54,105.83757894736841,103.249,McLaren,19
VER,1,HYPERSOFT,20,5,17,109.41238461538461,104.045,Red Bull Racing,13
VER,2,SUPERSOFT,38,18,55,103.73897368421053,101.909,Red Bull Racing,38
VET,1,ULTRASOFT,18,5,15,110.23,104.412,Ferrari,11
VET,2,SUPERSOFT,40,16,55,103.619425,100.867,Ferrari,40
