Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,SUPERSOFT,14,2,15,73.84592857142857,71.086,McLaren,14
ALO,2,Soft,55,16,70,70.00414545454545,68.661,McLaren,55
BOT,1,SUPERSOFT,15,2,13,69.45441666666666,69.044,Mercedes,12
ERI,1,Soft,44,2,45,71.32252272727273,69.17,Sauber,44
ERI,2,SUPERSOFT,25,46,70,70.08772,68.216,Sauber,25
GAS,1,SUPERSOFT,14,2,15,73.48821428571429,70.827,Toro Rosso,14
GAS,2,Soft,55,16,70,70.33321818181818,69.295,Toro Rosso,55
GRO,1,ULTRASOFT,17,2,15,72.0995,69.937,Haas F1 Team,14
GRO,2,Soft,55,16,70,70.02750909090909,69.071,Haas F1 Team,55
HAM,0,nan,0,2,2,69.252,69.252,Mercedes,1
HAM,1,SUPERSOFT,26,3,25,70.71265217391304,68.343,Mercedes,23
HAM,2,Soft,27,26,52,69.33644444444445,67.923,Mercedes,27
HAM,3,SUPERSOFT,10,53,62,69.4921,67.241,Mercedes,10
HAR,1,SUPERSOFT,53,2,54,71.54047169811321,69.171,Toro Rosso,53
HUL,1,ULTRASOFT,13,2,11,71.2002,70.38,Renault,10
LEC,1,SUPERSOFT,14,3,15,73.44791666666667,70.439,Sauber,13
LEC,2,Soft,55,16,70,70.15156363636363,69.006,Sauber,55
MAG,1,ULTRASOFT,30,2,28,71.61955555555556,69.274,Haas F1 Team,27
MAG,2,Soft,42,29,70,69.71811904761906,68.476,Haas F1 Team,42
OCO,1,SUPERSOFT,14,2,15,72.59814285714286,70.376,Force India,14
OCO,2,Soft,55,16,70,70.09550909090909,68.85,Force India,55
PER,1,SUPERSOFT,26,2,27,71.76407692307693,69.4,Force India,26
PER,2,Soft,43,28,70,69.91211627906976,68.504,Force India,43
RAI,1,ULTRASOFT,17,2,15,71.05378571428571,68.954,Ferrari,14
RAI,2,Soft,56,16,71,68.69710714285715,66.957,Ferrari,56
RIC,1,SUPERSOFT,17,2,15,71.12407142857143,69.135,Red Bull Racing,14
RIC,2,Soft,23,16,38,69.96230434782609,68.201,Red Bull Racing,23
RIC,3,SUPERSOFT,20,39,53,69.5392,67.591,Red Bull Racing,15
SAI,1,ULTRASOFT,17,2,15,72.72592857142857,70.216,Renault,14
SAI,2,Soft,19,16,34,71.43484210526316,69.189,Renault,19
SAI,3,SUPERSOFT,36,35,70,70.22297222222223,68.766,Renault,36
SIR,1,SUPERSOFT,23,2,24,72.72626086956521,70.136,Williams,23
SIR,2,Soft,36,25,60,70.86380555555556,69.102,Williams,36
SIR,3,ULTRASOFT,9,61,69,71.87533333333333,68.971,Williams,9
STR,1,ULTRASOFT,14,2,15,73.23514285714285,70.763,Williams,14
STR,2,Soft,50,16,65,70.86574,69.549,Williams,50
STR,3,SUPERSOFT,4,66,69,74.193,69.203,Williams,4
VAN,2,Soft,39,2,40,73.39723076923077,69.82,McLaren,39
VAN,3,Soft,25,41,65,70.91032,68.894,McLaren,25
VER,1,SUPERSOFT,17,2,15,70.80307142857143,69.133,Red Bull Racing,14
VER,2,Soft,56,16,71,68.742,67.442,Red Bull Racing,56
VET,1,ULTRASOFT,17,2,15,71.21892857142856,69.232,Ferrari,14
VET,2,Soft,56,16,71,68.65660714285714,67.082,Ferrari,56
