Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,2,Soft,38,3,39,110.6134857142857,107.449,McLaren,37
ALO,3,ULTRASOFT,15,42,51,110.83599999999998,108.006,McLaren,10
BOT,1,SUPERSOFT,43,6,40,107.38777142857143,105.149,Mercedes,35
BOT,2,ULTRASOFT,11,48,48,106.833,106.833,Mercedes,1
ERI,2,Soft,17,3,18,115.28264285714285,110.218,Sauber,16
ERI,3,ULTRASOFT,18,19,36,111.79961111111112,108.801,Sauber,18
ERI,4,ULTRASOFT,3,37,39,136.38333333333333,122.333,Sauber,3
ERI,5,ULTRASOFT,15,40,51,119.11489999999999,107.925,Sauber,12
GAS,1,ULTRASOFT,11,6,12,113.94442857142857,112.328,Toro Rosso,7
GAS,2,Soft,27,13,39,111.3222962962963,108.035,Toro Rosso,27
GAS,3,ULTRASOFT,12,41,51,117.38614285714286,111.493,Toro Rosso,11
GRO,2,SUPERSOFT,38,6,40,109.91254285714285,106.88,Haas F1 Team,35
GRO,3,ULTRASOFT,2,42,42,124.606,124.606,Haas F1 Team,1
HAM,1,SUPERSOFT,26,6,22,108.15288235294118,106.12,Mercedes,17
HAM,2,Soft,18,23,40,108.30572222222222,105.412,Mercedes,18
HAM,3,ULTRASOFT,11,48,51,107.09725,106.017,Mercedes,4
HAR,2,ULTRASOFT,21,6,22,112.4956875,110.758,Toro Rosso,17
HAR,3,SUPERSOFT,17,23,39,111.79976470588235,108.394,Toro Rosso,17
HAR,4,ULTRASOFT,12,41,51,114.80114285714285,108.288,Toro Rosso,11
HUL,1,ULTRASOFT,12,6,10,111.7814,108.867,Renault,5
LEC,1,SUPERSOFT,23,6,24,109.94505263157896,107.956,Sauber,19
LEC,2,Soft,16,25,40,111.25687500000001,107.403,Sauber,16
LEC,3,ULTRASOFT,11,42,51,112.62425,107.632,Sauber,10
MAG,2,Soft,38,3,39,112.15911764705882,108.155,Haas F1 Team,37
MAG,3,ULTRASOFT,12,41,51,118.77314285714286,110.34,Haas F1 Team,11
PER,2,Soft,38,6,40,109.75382857142857,106.927,Force India,35
PER,3,SUPERSOFT,11,42,51,111.2458,106.206,Force India,10
RAI,3,ULTRASOFT,49,6,51,109.98387499999998,106.523,Ferrari,46
RIC,1,SUPERSOFT,40,6,37,108.11315625,105.419,Red Bull Racing,32
RIC,2,ULTRASOFT,2,38,39,114.2235,105.602,Red Bull Racing,2
SAI,1,ULTRASOFT,17,6,15,111.1923,109.108,Renault,10
SAI,2,Soft,25,16,40,109.84567999999999,106.967,Renault,25
SAI,3,ULTRASOFT,14,42,51,111.1964,106.856,Renault,10
STR,1,SUPERSOFT,22,6,23,110.43022222222221,108.488,Williams,18
STR,2,Soft,17,24,40,110.8545294117647,107.003,Williams,17
STR,3,ULTRASOFT,11,42,51,112.474,106.815,Williams,10
VAN,1,SUPERSOFT,16,6,17,112.27866666666667,109.672,McLaren,12
VAN,2,Soft,8,18,25,112.808875,108.728,McLaren,8
VAN,3,ULTRASOFT,14,26,39,113.29114285714286,108.739,McLaren,14
VAN,4,ULTRASOFT,5,41,44,123.9585,114.094,McLaren,4
VAN,5,ULTRASOFT,8,48,51,109.42875,107.666,McLaren,4
VER,1,SUPERSOFT,41,6,38,108.065,105.771,Red Bull Racing,33
VER,2,ULTRASOFT,1,39,39,121.646,121.646,Red Bull Racing,1
VET,1,SUPERSOFT,32,6,30,107.38843999999999,106.198,Ferrari,25
VET,2,Soft,10,31,40,109.2382,105.53,Ferrari,10
VET,3,ULTRASOFT,11,48,51,108.458,106.344,Ferrari,4
