Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,13,2,14,103.36218181818181,97.609,McLaren,13
ALO,2,Medium,25,15,39,97.55632,96.351,McLaren,25
ALO,3,SUPERSOFT,17,40,56,97.02464705882353,94.168,McLaren,17
BOT,1,SUPERSOFT,22,2,20,100.47057894736842,95.692,Mercedes,19
BOT,2,Medium,36,21,56,95.02408333333334,93.74,Mercedes,36
ERI,1,Soft,22,2,23,101.24244999999999,97.824,Sauber,22
ERI,2,Medium,33,24,56,97.28615151515152,95.093,Sauber,33
GAS,1,SUPERSOFT,17,2,15,102.10307692307691,96.862,Toro Rosso,14
GAS,2,Soft,19,16,34,97.40357894736843,95.585,Toro Rosso,19
GAS,3,SUPERSOFT,26,35,57,96.03173913043479,94.863,Toro Rosso,23
GRO,1,SUPERSOFT,17,2,18,102.28713333333333,97.599,Haas F1 Team,17
GRO,2,Soft,12,19,30,98.63241666666666,95.492,Haas F1 Team,12
GRO,3,SUPERSOFT,15,31,45,98.03173333333332,94.578,Haas F1 Team,15
GRO,4,SUPERSOFT,11,46,56,97.11036363636363,94.053,Haas F1 Team,11
HAM,1,Soft,28,2,26,99.59728000000001,95.436,Mercedes,25
HAM,2,Medium,30,27,56,94.64026666666668,93.953,Mercedes,30
HAR,1,SUPERSOFT,19,2,20,101.63288235294118,97.895,Toro Rosso,19
HAR,2,Soft,22,21,42,98.37854545454546,95.894,Toro Rosso,22
HAR,3,SUPERSOFT,17,43,56,97.02685714285714,94.689,Toro Rosso,14
HUL,1,SUPERSOFT,17,2,15,102.76641666666667,97.317,Renault,14
HUL,2,Soft,24,16,39,97.550125,95.586,Renault,24
HUL,3,SUPERSOFT,21,40,57,97.17411111111112,94.667,Renault,18
LEC,1,Soft,2,2,3,121.41,114.239,Sauber,2
LEC,2,Medium,31,4,34,99.53486206896551,96.615,Sauber,31
LEC,3,SUPERSOFT,22,35,56,96.53859090909091,95.058,Sauber,22
MAG,1,SUPERSOFT,13,2,11,103.617,97.2,Haas F1 Team,10
MAG,2,SUPERSOFT,17,14,27,98.29771428571429,96.129,Haas F1 Team,14
MAG,3,Soft,30,28,57,96.21976666666666,94.327,Haas F1 Team,30
OCO,1,SUPERSOFT,17,2,15,103.25241666666666,97.666,Force India,14
OCO,2,Medium,20,16,35,98.47865,96.366,Force India,20
OCO,3,Soft,21,36,56,96.99590476190477,95.043,Force India,21
PER,1,Soft,8,2,9,105.76112499999999,97.067,Force India,8
PER,2,Medium,23,10,32,98.70877272727272,95.832,Force India,23
PER,3,SUPERSOFT,24,33,56,97.02475,95.075,Force India,24
RAI,1,SUPERSOFT,21,2,19,100.84666666666666,95.755,Ferrari,18
RAI,2,Soft,15,20,34,94.97753333333334,94.337,Ferrari,15
SAI,1,SUPERSOFT,18,2,16,102.77984615384615,97.921,Renault,15
SAI,2,SUPERSOFT,13,17,26,99.7572,95.939,Renault,10
SAI,3,Soft,40,27,56,97.1677,95.535,Renault,30
SIR,1,Soft,21,2,22,102.44605263157894,98.073,Williams,21
SIR,2,Medium,18,23,40,98.52933333333334,95.857,Williams,18
SIR,3,SUPERSOFT,16,41,56,97.2234375,94.563,Williams,16
STR,1,Soft,9,2,10,105.74122222222223,98.943,Williams,9
STR,2,SUPERSOFT,19,12,29,98.28616666666667,97.083,Williams,18
STR,3,Medium,26,30,55,97.29411538461538,95.266,Williams,26
VAN,1,SUPERSOFT,9,2,10,104.797,97.755,McLaren,9
VAN,2,Soft,18,11,28,98.64641176470589,96.219,McLaren,18
VAN,3,Medium,28,29,56,96.76375,95.131,McLaren,28
VER,2,SUPERSOFT,1,3,3,128.112,128.112,Red Bull Racing,1
VET,0,nan,0,2,2,100.505,100.505,Ferrari,1
VET,1,SUPERSOFT,19,3,18,100.810625,95.369,Ferrari,16
VET,2,Soft,38,19,56,95.18547368421054,94.453,Ferrari,38
