Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
BOT,3,SUPERSOFT,27,5,29,110.57884,108.253,Mercedes,25
BOT,4,Soft,20,30,44,108.32379999999999,106.286,Mercedes,15
ERI,2,Soft,26,5,26,111.77604545454545,110.757,Sauber,22
ERI,3,SUPERSOFT,17,27,43,110.24476470588236,108.694,Sauber,17
GAS,2,SUPERSOFT,25,5,25,111.78085714285714,110.672,Toro Rosso,21
GAS,3,Soft,19,26,44,109.86605263157894,108.588,Toro Rosso,19
GRO,2,SUPERSOFT,26,5,23,111.36631578947369,110.528,Haas F1 Team,19
GRO,3,Soft,21,24,44,109.51890476190476,108.283,Haas F1 Team,21
HAM,2,SUPERSOFT,24,5,21,109.14358823529412,108.208,Mercedes,17
HAM,3,Soft,23,22,44,108.14330434782607,106.721,Mercedes,23
HAR,2,Soft,31,5,31,112.28233333333334,110.476,Toro Rosso,27
HAR,3,SUPERSOFT,12,32,43,111.11766666666666,108.756,Toro Rosso,12
MAG,2,SUPERSOFT,29,5,26,111.56540909090909,110.403,Haas F1 Team,22
MAG,3,Soft,18,27,44,109.02966666666666,107.937,Haas F1 Team,18
OCO,2,SUPERSOFT,27,5,24,111.04,110.199,Racing Point,20
OCO,3,Soft,20,25,44,109.4721,108.078,Racing Point,20
PER,2,SUPERSOFT,28,5,25,110.73514285714286,109.729,Racing Point,21
PER,3,Soft,19,26,44,109.30315789473686,108.08,Racing Point,19
RAI,2,Medium,6,2,7,124.00775,114.32,Ferrari,6
RIC,3,Soft,27,3,28,111.0235,109.242,Red Bull Racing,26
SAI,2,Medium,22,5,22,112.61983333333333,111.537,Renault,18
SAI,3,SUPERSOFT,21,23,43,110.3412380952381,108.67,Renault,21
SIR,2,Soft,24,5,24,112.29825000000001,111.284,Williams,20
SIR,3,SUPERSOFT,19,25,43,110.6162105263158,109.113,Williams,19
STR,2,Soft,23,5,23,112.46426315789473,111.286,Williams,19
STR,3,SUPERSOFT,20,24,43,110.6421,109.287,Williams,20
VAN,3,Medium,26,5,28,112.94304166666666,111.752,McLaren,24
VAN,4,SUPERSOFT,15,29,43,110.63726666666666,108.956,McLaren,15
VER,2,SUPERSOFT,28,5,26,109.71718181818183,108.536,Red Bull Racing,22
VER,3,Soft,18,27,44,108.2123888888889,106.946,Red Bull Racing,18
VET,2,SUPERSOFT,24,5,22,108.94572222222222,108.399,Ferrari,18
VET,3,Soft,22,23,44,107.78509090909091,106.644,Ferrari,22
