Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,15,2,15,76.58157142857144,75.669,McLaren,14
ALO,2,Medium,39,16,54,75.95535897435897,74.269,McLaren,39
ALO,3,SUPERSOFT,15,55,69,74.8284,72.643,McLaren,15
BOT,1,SUPERSOFT,21,2,18,74.80435294117648,74.151,Mercedes,17
BOT,2,Medium,41,19,59,73.83500000000001,71.939,Mercedes,41
BOT,3,Soft,12,60,71,72.88441666666667,70.54,Mercedes,12
ERI,1,SUPERSOFT,23,2,18,76.76994117647058,75.281,Sauber,17
ERI,2,Medium,2,19,20,97.38550000000001,93.141,Sauber,2
GAS,1,SUPERSOFT,26,2,22,76.0247619047619,75.306,Toro Rosso,21
GAS,2,Medium,48,23,70,75.294375,73.822,Toro Rosso,48
GRO,1,SUPERSOFT,35,2,32,75.1094193548387,74.479,Haas F1 Team,31
GRO,2,Medium,39,33,71,73.59920512820513,72.362,Haas F1 Team,39
HAM,1,SUPERSOFT,22,2,19,74.40133333333333,73.786,Mercedes,18
HAM,2,Medium,52,20,71,73.30694230769231,71.795,Mercedes,52
HAR,1,Medium,49,2,49,75.53458333333333,74.48,Toro Rosso,48
HAR,2,SUPERSOFT,21,50,70,75.1027619047619,72.949,Toro Rosso,21
HUL,1,Soft,32,4,32,75.71644827586206,74.029,Renault,29
LEC,1,SUPERSOFT,40,2,35,74.79291176470588,73.937,Sauber,34
LEC,2,Medium,36,36,71,73.59588888888888,72.082,Sauber,36
MAG,1,Soft,41,2,41,74.887675,73.824,Haas F1 Team,40
MAG,2,SUPERSOFT,30,42,71,73.43033333333332,72.206,Haas F1 Team,30
OCO,1,Soft,40,2,40,75.48661538461539,74.317,Racing Point,39
OCO,2,SUPERSOFT,17,41,57,76.0454705882353,72.869,Racing Point,17
OCO,3,SUPERSOFT,30,58,70,74.79707692307693,72.352,Racing Point,13
PER,1,SUPERSOFT,39,2,39,75.28805263157895,74.367,Racing Point,38
PER,2,Soft,31,40,70,73.96535483870967,72.472,Racing Point,31
RAI,1,Soft,34,2,31,74.4445,73.546,Ferrari,30
RAI,2,Medium,40,32,71,73.023975,71.769,Ferrari,40
RIC,1,SUPERSOFT,42,2,39,74.16581578947368,72.919,Red Bull Racing,38
RIC,2,Soft,32,40,71,72.90553125,71.343,Red Bull Racing,32
SAI,1,Soft,25,2,25,75.906375,75.219,Renault,24
SAI,2,Medium,23,26,48,75.47795652173913,73.347,Renault,23
SAI,3,SUPERSOFT,22,49,70,74.86868181818183,72.169,Renault,22
SIR,1,Soft,16,2,16,76.6464,75.655,Williams,15
SIR,2,Medium,53,17,69,75.66369811320754,74.262,Williams,53
STR,1,Soft,17,2,17,76.6900625,75.868,Williams,16
STR,2,Medium,48,18,65,75.87,74.354,Williams,48
STR,3,SUPERSOFT,4,66,69,77.263,71.751,Williams,4
VAN,1,Soft,28,2,28,76.33740740740741,75.642,McLaren,27
VAN,2,Medium,42,29,70,74.90569047619047,72.968,McLaren,42
VER,1,SUPERSOFT,38,2,35,74.06332352941178,73.245,Red Bull Racing,34
VER,2,Soft,36,36,71,73.11652777777778,71.578,Red Bull Racing,36
VET,1,Soft,30,2,27,74.64661538461539,73.874,Ferrari,26
VET,2,Medium,26,28,53,74.13230769230769,72.577,Ferrari,26
VET,3,SUPERSOFT,21,54,71,72.70661111111112,70.831,Ferrari,18
