Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,12,2,13,96.05591666666668,95.481,McLaren,12
ALO,2,Medium,19,14,32,96.467,94.382,McLaren,19
ALO,3,Soft,22,33,52,109.48335,93.482,McLaren,20
BOT,1,Soft,23,2,21,93.73949999999999,93.22,Mercedes,20
BOT,2,Medium,31,22,52,104.5651,91.377,Mercedes,31
ERI,1,Soft,23,2,24,95.94208695652175,95.001,Sauber,23
ERI,2,Medium,7,25,31,97.17742857142856,93.675,Sauber,7
GAS,1,Soft,19,2,20,95.87947368421052,94.462,Toro Rosso,19
GAS,2,Medium,12,21,32,97.53566666666666,94.265,Toro Rosso,12
GAS,3,Soft,23,33,52,109.28215,93.465,Toro Rosso,20
GRO,1,Soft,28,2,26,95.78688,94.907,Haas F1 Team,25
GRO,2,Medium,11,27,37,110.54490909090909,94.391,Haas F1 Team,11
HAM,1,Soft,28,2,25,94.05266666666667,92.821,Mercedes,24
HAM,2,Medium,27,26,52,106.89574074074073,91.245,Mercedes,27
HUL,1,Medium,19,2,20,95.43405263157895,94.272,Renault,19
HUL,2,Hard,32,21,52,105.0924375,93.405,Renault,32
LEC,1,Soft,22,2,18,95.54323529411765,95.209,Sauber,17
MAG,1,Soft,27,2,25,95.50987500000001,93.964,Haas F1 Team,24
MAG,2,Medium,27,26,52,106.885,93.604,Haas F1 Team,27
OCO,1,Soft,21,2,19,95.58427777777779,94.382,Force India,18
OCO,2,Medium,33,20,52,104.72690909090909,93.606,Force India,33
PER,1,Soft,12,2,13,95.65724999999999,94.485,Force India,12
PER,2,Medium,19,14,32,96.6238947368421,94.175,Force India,19
PER,3,Soft,23,33,52,109.14685,93.472,Force India,20
RAI,1,Soft,15,2,13,94.03091666666667,93.684,Ferrari,12
RAI,2,Medium,20,14,33,95.96105,92.135,Ferrari,20
RAI,3,Soft,19,34,52,110.83289473684209,90.795,Ferrari,19
RIC,1,Soft,20,2,18,94.073,93.433,Red Bull Racing,17
RIC,2,Medium,12,19,30,94.82708333333333,92.64,Red Bull Racing,12
RIC,3,Soft,22,31,52,110.06068181818182,91.589,Red Bull Racing,22
SAI,1,Medium,16,2,17,95.85575,95.277,Renault,16
SAI,2,Hard,15,18,32,97.18373333333334,94.602,Renault,15
SAI,3,Soft,5,33,37,124.43319999999999,102.315,Renault,5
SIR,1,Soft,20,2,21,96.98655,95.879,Williams,20
SIR,2,Medium,31,22,52,104.84345161290322,94.62,Williams,31
STR,1,Medium,29,2,30,96.92024137931034,95.975,Williams,29
STR,2,Soft,22,31,52,107.64345454545455,93.869,Williams,22
VAN,1,Soft,20,2,21,96.1964,95.189,McLaren,20
VAN,2,Medium,12,22,33,100.96724999999999,94.606,McLaren,12
VAN,3,Soft,19,34,52,108.24772222222222,93.551,McLaren,19
VER,1,Soft,19,2,17,93.944125,93.468,Red Bull Racing,16
VER,2,Medium,16,18,33,96.3720625,93.084,Red Bull Racing,16
VER,3,Soft,13,34,46,121.28153846153847,92.007,Red Bull Racing,13
VET,0,nan,0,2,2,92.918,92.918,Ferrari,1
VET,1,Soft,21,3,20,93.65005555555555,92.723,Ferrari,18
VET,2,Medium,13,21,33,96.16938461538462,92.745,Ferrari,13
VET,3,Soft,19,36,52,104.43325,90.696,Ferrari,17
