Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,ULTRASOFT,17,2,18,86.58417647058823,77.105,McLaren,17
ALO,2,SUPERSOFT,22,19,40,76.8024090909091,76.18,McLaren,22
BOT,1,ULTRASOFT,38,2,36,80.65765714285715,75.258,Mercedes,35
BOT,2,SUPERSOFT,34,37,70,74.78055882352942,73.992,Mercedes,34
ERI,2,SUPERSOFT,67,2,68,79.53461194029852,76.403,Sauber,67
GAS,1,HYPERSOFT,22,2,23,84.2885,76.911,Toro Rosso,22
GAS,2,SUPERSOFT,46,24,69,76.6335,75.699,Toro Rosso,46
GRO,1,ULTRASOFT,47,2,48,80.40670212765959,76.305,Haas F1 Team,47
GRO,2,SUPERSOFT,21,49,69,76.19228571428572,75.47,Haas F1 Team,21
HAM,1,ULTRASOFT,18,2,16,87.58113333333334,76.226,Mercedes,15
HAM,2,SUPERSOFT,54,17,70,75.2345,74.183,Mercedes,54
HUL,1,HYPERSOFT,15,2,13,90.53399999999999,75.914,Renault,12
HUL,2,SUPERSOFT,56,14,69,76.57860714285714,75.488,Renault,56
LEC,1,ULTRASOFT,18,2,19,86.3675,77.094,Sauber,18
LEC,2,SUPERSOFT,50,20,69,76.61212,75.351,Sauber,50
MAG,1,ULTRASOFT,21,2,22,85.16561904761905,77.046,Haas F1 Team,21
MAG,2,SUPERSOFT,47,23,69,76.67653191489362,75.401,Haas F1 Team,47
OCO,1,HYPERSOFT,13,2,11,93.6174,76.86,Force India,10
OCO,2,SUPERSOFT,58,12,69,76.64603448275862,75.498,Force India,58
PER,1,HYPERSOFT,11,2,9,98.19075,77.419,Force India,8
PER,2,SUPERSOFT,35,10,44,77.53805714285714,76.243,Force India,35
PER,3,SUPERSOFT,25,45,69,75.80868000000001,75.1,Force India,25
RAI,1,ULTRASOFT,34,2,32,81.47754838709677,75.408,Ferrari,31
RAI,2,SUPERSOFT,38,33,70,75.10113157894736,74.075,Ferrari,38
RIC,1,HYPERSOFT,19,2,17,86.7635625,75.807,Red Bull Racing,16
RIC,2,SUPERSOFT,53,18,70,75.15845283018868,73.835,Red Bull Racing,53
SAI,1,HYPERSOFT,16,2,14,89.46453846153847,76.6,Renault,13
SAI,2,SUPERSOFT,55,15,69,76.61105454545455,75.666,Renault,55
SIR,1,SUPERSOFT,25,4,26,81.2575652173913,77.806,Williams,23
SIR,2,ULTRASOFT,42,27,68,77.56828571428571,75.924,Williams,42
VAN,2,SUPERSOFT,47,2,48,80.5781914893617,76.715,McLaren,47
VAN,3,HYPERSOFT,20,49,68,76.4884,75.765,McLaren,20
VER,1,HYPERSOFT,18,2,16,87.627,76.054,Red Bull Racing,15
VER,2,SUPERSOFT,54,17,70,74.98996296296296,73.864,Red Bull Racing,54
VET,0,nan,0,2,2,131.618,131.618,Ferrari,1
VET,1,ULTRASOFT,38,3,37,78.91402857142857,75.059,Ferrari,35
VET,2,SUPERSOFT,33,38,70,74.78515151515151,73.964,Ferrari,33
