Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,46,2,47,103.92247826086957,97.961,McLaren,46
ALO,2,Medium,9,48,56,97.6051111111111,97.234,McLaren,9
BOT,1,Soft,49,2,47,101.08895454545454,97.011,Mercedes,46
BOT,2,Medium,9,48,56,97.20244444444444,96.987,Mercedes,9
ERI,1,Soft,45,2,46,102.02637209302326,98.691,Sauber,45
ERI,2,Medium,10,47,56,98.6812,98.386,Sauber,10
GAS,1,Medium,45,2,46,102.94286363636364,98.521,Toro Rosso,45
GAS,2,Soft,1,47,47,99.215,99.215,Toro Rosso,1
GAS,3,ULTRASOFT,9,48,56,98.781,98.367,Toro Rosso,9
GRO,1,ULTRASOFT,48,2,46,104.38857777777777,98.699,Haas F1 Team,45
GRO,3,Medium,10,47,56,99.7508,97.41,Haas F1 Team,10
HAM,1,Soft,48,2,46,101.40695348837208,96.878,Mercedes,45
HAM,2,Medium,10,47,56,97.4734,96.978,Mercedes,10
HAR,1,ULTRASOFT,45,2,46,102.14634883720929,99.806,Toro Rosso,45
HAR,3,Soft,5,47,51,101.13759999999999,99.376,Toro Rosso,5
HUL,1,ULTRASOFT,48,2,46,102.89104545454546,97.729,Renault,45
HUL,2,Medium,1,47,47,97.432,97.432,Renault,1
HUL,3,Soft,9,48,56,97.30711111111111,96.881,Renault,9
LEC,1,Soft,45,2,46,102.08430232558139,98.808,Sauber,45
LEC,2,Medium,10,47,56,100.0233,99.628,Sauber,10
MAG,1,Soft,49,2,46,104.04457777777779,98.198,Haas F1 Team,45
MAG,2,Medium,10,47,56,98.66279999999999,98.152,Haas F1 Team,10
OCO,1,Soft,45,2,46,104.14320000000001,98.035,Force India,45
OCO,2,Soft,1,47,47,97.985,97.985,Force India,1
OCO,3,ULTRASOFT,9,48,56,98.47566666666665,98.015,Force India,9
PER,1,ULTRASOFT,48,2,46,104.14991111111111,97.882,Force India,45
PER,2,Soft,1,47,47,97.889,97.889,Force India,1
PER,3,Soft,9,48,56,98.48766666666667,97.673,Force India,9
RAI,1,Soft,49,2,47,102.48924444444444,96.673,Ferrari,46
RAI,2,Medium,9,48,56,97.03433333333334,96.456,Ferrari,9
RIC,1,ULTRASOFT,49,2,47,101.17729545454546,95.983,Red Bull Racing,46
RIC,3,Soft,9,48,56,96.68144444444445,95.785,Red Bull Racing,9
SAI,1,ULTRASOFT,48,2,46,103.05313636363636,98.161,Renault,45
SAI,2,Medium,1,47,47,98.233,98.233,Renault,1
SAI,3,Soft,9,48,56,98.05066666666667,97.754,Renault,9
SIR,1,Soft,45,2,46,104.34546666666667,99.005,Williams,45
SIR,2,Medium,1,47,47,98.624,98.624,Williams,1
SIR,3,Soft,10,48,56,98.85277777777777,98.632,Williams,9
STR,1,Soft,45,2,46,104.3311111111111,98.925,Williams,45
STR,2,Medium,10,47,56,98.7975,98.5,Williams,10
VAN,1,Soft,45,2,46,104.21526666666666,98.61,McLaren,45
VAN,2,Medium,10,47,56,98.5036,98.137,McLaren,10
VER,1,ULTRASOFT,48,2,46,101.39367441860465,96.671,Red Bull Racing,45
VER,2,Medium,1,47,47,96.678,96.678,Red Bull Racing,1
VER,3,Soft,9,48,56,96.72233333333332,96.206,Red Bull Racing,9
VET,0,nan,0,2,2,98.417,98.417,Ferrari,1
VET,1,Soft,47,3,46,101.62033333333333,97.479,Ferrari,44
VET,2,Medium,10,47,56,98.5296,97.841,Ferrari,10
