Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,30,2,31,80.6962,79.715,McLaren,30
ALO,2,Medium,12,32,43,81.29025,78.572,McLaren,12
ALO,3,Intermediate,4,44,47,92.673,87.445,McLaren,4
ALO,4,Soft,21,48,65,92.023,77.741,McLaren,18
BOT,1,ULTRASOFT,30,2,28,78.83281481481481,78.092,Mercedes,27
BOT,2,Soft,24,29,52,80.601375,76.956,Mercedes,24
BOT,3,ULTRASOFT,15,53,67,93.96593333333334,75.721,Mercedes,15
ERI,1,Soft,37,2,38,80.66486486486487,79.591,Sauber,37
ERI,2,ULTRASOFT,29,39,67,86.42044827586207,77.745,Sauber,29
GAS,1,Soft,42,2,43,80.92921428571428,79.176,Toro Rosso,42
GAS,2,Wet,3,44,46,102.17399999999999,94.544,Toro Rosso,3
GAS,3,ULTRASOFT,20,47,66,89.5139,77.762,Toro Rosso,20
GRO,1,ULTRASOFT,24,2,21,80.55545,79.737,Haas F1 Team,20
GRO,2,Medium,30,22,51,81.80273333333334,78.656,Haas F1 Team,30
GRO,3,Intermediate,4,52,55,116.1285,93.736,Haas F1 Team,4
GRO,4,ULTRASOFT,14,56,67,80.17266666666667,76.716,Haas F1 Team,12
HAM,1,Soft,41,2,42,78.69636585365853,77.523,Mercedes,41
HAM,2,ULTRASOFT,25,43,67,89.3294,75.545,Mercedes,25
HAR,1,Soft,27,2,28,81.20348148148149,80.053,Toro Rosso,27
HAR,2,Medium,24,29,52,84.798625,78.563,Toro Rosso,24
HAR,3,ULTRASOFT,15,53,67,84.27386666666666,77.681,Toro Rosso,15
HUL,1,ULTRASOFT,20,2,18,80.42035294117647,79.841,Renault,17
HUL,2,Medium,33,19,51,81.2699090909091,78.577,Renault,33
HUL,3,Intermediate,4,52,55,109.98725,92.913,Renault,4
HUL,4,ULTRASOFT,15,56,67,83.42583333333333,77.91,Renault,12
LEC,1,ULTRASOFT,22,2,20,80.78968421052632,80.117,Sauber,19
LEC,2,Soft,23,21,43,80.27586956521739,78.59,Sauber,23
LEC,3,Intermediate,3,44,46,95.234,90.735,Sauber,3
LEC,4,ULTRASOFT,27,47,66,91.14573684210526,77.852,Sauber,20
MAG,1,ULTRASOFT,23,2,20,80.21126315789475,79.746,Haas F1 Team,19
MAG,2,Medium,31,21,51,82.05629032258064,78.476,Haas F1 Team,31
MAG,3,Intermediate,4,52,55,116.38075,94.157,Haas F1 Team,4
MAG,4,ULTRASOFT,14,56,67,80.49808333333333,77.697,Haas F1 Team,12
OCO,1,ULTRASOFT,24,2,25,81.02958333333333,80.178,Force India,24
OCO,2,Soft,42,26,67,84.45119047619048,77.941,Force India,42
PER,1,ULTRASOFT,24,2,22,80.30766666666666,79.535,Force India,21
PER,2,Soft,45,23,67,84.588,77.867,Force India,45
RAI,1,ULTRASOFT,16,2,14,78.86800000000001,78.2,Ferrari,13
RAI,2,Soft,39,15,53,81.27702564102565,77.152,Ferrari,39
RAI,3,ULTRASOFT,14,54,67,91.298,75.99,Ferrari,14
RIC,1,Medium,26,2,27,79.76938461538461,78.262,Red Bull Racing,26
SAI,1,ULTRASOFT,22,2,20,80.62973684210526,79.812,Renault,19
SAI,2,Medium,30,21,50,81.37830000000001,78.8,Renault,30
SAI,3,Intermediate,6,51,56,106.93116666666667,89.321,Renault,6
SAI,4,ULTRASOFT,14,57,67,79.98009090909092,77.43,Renault,11
SIR,1,Soft,27,2,28,81.22129629629629,80.458,Williams,27
SIR,2,Medium,23,29,51,83.27091304347826,78.934,Williams,23
STR,1,Soft,26,2,27,81.30453846153847,80.472,Williams,26
STR,2,Medium,23,28,50,82.06673913043478,78.861,Williams,23
STR,3,Intermediate,3,51,53,121.08733333333333,115.402,Williams,3
VAN,1,Soft,28,2,29,81.27532142857142,80.526,McLaren,28
VAN,2,Medium,23,30,52,86.95478260869565,78.726,McLaren,23
VAN,3,ULTRASOFT,15,53,67,81.82946666666666,77.537,McLaren,15
VER,1,ULTRASOFT,31,2,29,78.97021428571429,78.43,Red Bull Racing,28
VER,2,Soft,17,30,46,78.99723529411764,77.057,Red Bull Racing,17
VER,3,Intermediate,4,47,50,93.31775,88.379,Red Bull Racing,4
VER,4,ULTRASOFT,20,51,67,90.94264705882354,75.852,Red Bull Racing,17
VET,0,nan,0,2,2,77.942,77.942,Ferrari,1
VET,1,ULTRASOFT,26,3,25,78.64008695652174,77.777,Ferrari,23
VET,2,Soft,26,26,51,79.4695,77.29,Ferrari,26
