Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,38,2,39,85.16784210526316,83.283,McLaren,38
ALO,2,Medium,30,40,69,84.87816666666666,82.09,McLaren,30
BOT,1,ULTRASOFT,14,2,15,84.90599999999999,83.149,Mercedes,14
BOT,2,Soft,55,16,70,83.81754545454545,81.736,Mercedes,55
ERI,1,ULTRASOFT,5,2,6,90.2752,86.975,Sauber,5
ERI,2,Medium,62,7,68,85.92243548387097,83.671,Sauber,62
GAS,1,ULTRASOFT,31,2,32,84.91796774193548,83.752,Toro Rosso,31
GAS,2,Soft,38,33,70,83.8286842105263,81.685,Toro Rosso,38
GRO,1,ULTRASOFT,28,2,29,85.53599999999999,83.188,Haas F1 Team,28
GRO,2,Soft,40,30,69,85.002275,82.606,Haas F1 Team,40
HAM,0,nan,0,2,2,83.184,83.184,Mercedes,1
HAM,1,ULTRASOFT,23,3,25,83.83373913043478,82.317,Mercedes,23
HAM,2,Soft,45,26,70,83.07471111111111,81.107,Mercedes,45
HAR,1,ULTRASOFT,23,2,24,85.96913043478261,84.389,Toro Rosso,23
HAR,2,Medium,45,25,69,84.91093333333333,82.612,Toro Rosso,45
HUL,1,Soft,22,2,23,86.09963636363636,84.282,Renault,22
HUL,2,Medium,27,24,50,85.96077777777776,83.741,Renault,27
HUL,3,ULTRASOFT,19,51,69,83.62505263157895,81.261,Renault,19
MAG,1,ULTRASOFT,30,2,31,85.26219999999999,83.694,Haas F1 Team,30
MAG,2,Soft,38,32,69,83.97534210526317,81.302,Haas F1 Team,38
OCO,1,Soft,38,2,39,85.80907894736842,84.264,Force India,38
OCO,2,ULTRASOFT,30,40,69,84.9768,82.876,Force India,30
PER,1,ULTRASOFT,21,2,22,86.65804761904762,84.613,Force India,21
PER,2,Soft,47,23,69,85.09468085106383,83.263,Force India,47
RAI,1,ULTRASOFT,13,2,14,85.21723076923078,83.161,Ferrari,13
RAI,2,Soft,24,15,38,83.72095833333334,82.046,Ferrari,24
RAI,3,Soft,32,39,70,82.8001875,80.292,Ferrari,32
RIC,1,Soft,43,2,44,84.00120930232559,81.977,Red Bull Racing,43
RIC,2,ULTRASOFT,26,45,70,83.56246153846153,80.012,Red Bull Racing,26
SAI,1,Soft,24,2,25,85.78754166666666,84.066,Renault,24
SAI,2,Medium,44,26,69,84.9614090909091,82.774,Renault,44
SIR,1,Soft,30,2,31,86.54426666666667,84.901,Williams,30
SIR,2,Medium,37,32,68,86.27975675675675,83.708,Williams,37
STR,1,Medium,46,2,47,86.48747826086957,85.108,Williams,46
STR,2,ULTRASOFT,21,48,68,86.1595238095238,82.66,Williams,21
VAN,1,Soft,39,2,40,85.19161538461539,83.369,McLaren,39
VAN,2,Medium,9,41,49,86.10222222222222,83.077,McLaren,9
VER,1,ULTRASOFT,4,2,5,84.3125,83.985,Red Bull Racing,4
VET,1,Soft,38,2,39,83.62286842105263,82.276,Ferrari,38
VET,2,ULTRASOFT,31,40,70,83.45496774193548,80.056,Ferrari,31
