Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,SUPERSOFT,8,2,9,100.420125,87.009,McLaren,8
BOT,1,SUPERSOFT,38,2,36,87.78528571428572,83.847,Mercedes,35
BOT,2,Soft,17,37,53,84.93088235294118,82.907,Mercedes,17
ERI,2,SUPERSOFT,41,2,42,88.66785365853659,86.143,Sauber,41
ERI,3,SUPERSOFT,10,43,52,86.47999999999999,83.768,Sauber,10
GAS,1,SUPERSOFT,36,2,34,89.6320909090909,85.976,Toro Rosso,33
GAS,2,Soft,18,35,52,86.80477777777779,84.767,Toro Rosso,18
GRO,1,SUPERSOFT,25,2,23,90.36118181818182,85.604,Haas F1 Team,22
GRO,2,Soft,30,24,53,85.64883333333334,84.243,Haas F1 Team,30
HAM,1,SUPERSOFT,30,2,28,88.27151851851852,83.611,Mercedes,27
HAM,2,Soft,25,29,53,84.82700000000001,82.497,Mercedes,25
HUL,2,Soft,40,2,41,88.9436,86.147,Renault,40
HUL,3,SUPERSOFT,11,42,52,86.58863636363637,84.059,Renault,11
LEC,1,Soft,33,2,34,89.57251515151515,86.215,Sauber,33
LEC,2,SUPERSOFT,18,35,52,85.89488888888889,84.504,Sauber,18
MAG,1,Soft,3,2,4,118.37433333333333,96.469,Haas F1 Team,3
MAG,2,Medium,49,5,52,87.94925,85.692,Haas F1 Team,48
OCO,1,SUPERSOFT,40,2,38,88.36554054054054,85.125,Racing Point,37
OCO,2,Soft,15,39,53,85.7996,84.179,Racing Point,15
PER,1,SUPERSOFT,38,2,39,88.21968421052631,84.875,Racing Point,38
PER,2,Soft,14,40,53,85.60442857142857,83.529,Racing Point,14
RAI,0,nan,0,2,2,137.567,137.567,Ferrari,1
RAI,1,SUPERSOFT,21,3,20,87.46927777777778,84.5,Ferrari,18
RAI,2,Soft,33,21,53,84.97424242424243,83.515,Ferrari,33
RIC,4,SUPERSOFT,22,2,23,90.0095909090909,85.229,Red Bull Racing,22
SAI,1,SUPERSOFT,41,2,39,88.72036842105263,85.612,Renault,38
SAI,2,Soft,14,40,53,86.18714285714285,84.056,Renault,14
SIR,1,SUPERSOFT,36,2,37,89.06008333333334,85.803,Williams,36
SIR,2,Soft,15,38,52,86.46926666666667,83.768,Williams,15
STR,1,SUPERSOFT,37,2,35,89.1695,85.713,Williams,34
STR,2,Soft,17,36,52,86.29100000000001,84.58,Williams,17
VAN,1,SUPERSOFT,23,2,24,90.91834782608694,86.586,McLaren,23
VAN,2,Soft,28,25,52,86.40453571428573,84.772,McLaren,28
VER,1,SUPERSOFT,28,2,26,89.15451999999999,84.904,Red Bull Racing,25
VER,2,Soft,27,27,53,84.7328888888889,83.609,Red Bull Racing,27
VET,2,Soft,28,2,29,88.63092857142858,84.47,Ferrari,28
VET,3,SUPERSOFT,27,30,53,84.10004166666667,82.505,Ferrari,24
