Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,Soft,25,2,26,104.87276,97.293,McLaren,25
ALO,2,Medium,26,27,52,98.23603846153847,93.943,McLaren,26
BOT,1,Soft,25,2,23,103.915,94.32,Mercedes,22
BOT,2,Medium,30,24,53,95.5993,93.11,Mercedes,30
ERI,1,Soft,4,2,5,118.30575,98.659,Sauber,4
ERI,2,Medium,47,7,52,98.81828260869564,96.294,Sauber,46
GAS,1,SUPERSOFT,31,2,29,103.81035714285714,96.843,Toro Rosso,28
GAS,2,Soft,23,30,52,97.88647826086957,94.133,Toro Rosso,23
GRO,1,Soft,31,2,29,103.54650000000001,96.333,Haas F1 Team,28
GRO,2,Medium,24,30,53,96.88091666666666,94.786,Haas F1 Team,24
HAM,0,nan,0,2,2,94.467,94.467,Mercedes,1
HAM,1,Soft,25,3,24,103.71631818181818,94.013,Mercedes,22
HAM,2,Medium,29,25,53,95.38982758620689,92.785,Mercedes,29
HAR,1,SUPERSOFT,30,2,28,104.28374074074074,97.131,Toro Rosso,27
HAR,2,Soft,24,29,52,98.43775,94.857,Toro Rosso,24
HUL,1,Medium,29,2,30,104.04220689655173,97.307,Renault,29
HUL,2,Soft,7,31,37,100.29585714285714,94.934,Renault,7
LEC,1,Soft,3,2,4,110.20333333333333,98.366,Sauber,3
LEC,2,Medium,31,6,35,100.60793333333332,96.44,Sauber,30
LEC,3,Soft,7,36,38,102.85433333333333,94.515,Sauber,3
MAG,2,Medium,6,4,8,118.9182,99.908,Haas F1 Team,5
OCO,1,SUPERSOFT,28,2,26,104.52807999999999,96.574,Racing Point,25
OCO,2,Medium,27,27,53,96.66451851851852,94.67,Racing Point,27
PER,1,SUPERSOFT,26,2,24,105.15404347826087,96.48,Racing Point,23
PER,2,Soft,29,25,53,96.43148275862069,94.073,Racing Point,29
RAI,1,SUPERSOFT,19,2,17,107.704125,95.475,Ferrari,16
RAI,2,Medium,36,18,53,96.2568611111111,94.223,Ferrari,36
RIC,1,Soft,22,2,23,104.07522727272728,94.448,Red Bull Racing,22
RIC,2,Medium,30,24,53,95.42473333333334,93.187,Red Bull Racing,30
SAI,1,Soft,31,2,32,103.1368387096774,96.335,Renault,31
SAI,2,Medium,20,33,52,97.29735,94.197,Renault,20
SIR,1,Soft,3,2,4,111.63966666666666,99.124,Williams,3
SIR,2,Medium,34,5,38,100.64236363636363,97.178,Williams,34
SIR,3,SUPERSOFT,14,39,52,97.92728571428572,93.985,Williams,14
STR,1,Soft,13,2,14,111.83130769230769,98.185,Williams,13
STR,2,Medium,25,15,39,98.17664,95.82,Williams,25
STR,3,SUPERSOFT,13,40,52,98.0326923076923,93.354,Williams,13
VAN,1,Soft,22,2,23,106.21077272727274,97.314,McLaren,22
VAN,2,Medium,29,24,52,97.85772413793103,95.023,McLaren,29
VER,1,SUPERSOFT,23,2,21,104.9653,95.093,Red Bull Racing,20
VER,2,Soft,32,22,53,95.4254375,93.367,Red Bull Racing,32
VET,1,SUPERSOFT,28,2,26,104.7858,95.284,Ferrari,25
VET,2,Soft,27,27,53,95.86337037037038,92.318,Ferrari,27
