Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,ULTRASOFT,3,2,3,84.62049999999999,84.197,McLaren,2
BOT,1,ULTRASOFT,16,2,11,84.71090000000001,81.987,Mercedes,10
BOT,2,SUPERSOFT,37,12,48,83.95683783783784,81.236,Mercedes,37
BOT,3,ULTRASOFT,19,49,62,86.84814285714286,81.669,Mercedes,14
BOT,4,HYPERSOFT,11,63,70,83.02612500000001,78.741,Mercedes,8
ERI,1,HYPERSOFT,19,2,16,86.7144,83.708,Sauber,15
ERI,2,SUPERSOFT,53,17,69,86.36956603773585,82.44,Sauber,53
GAS,1,HYPERSOFT,5,2,5,90.88925,84.876,Toro Rosso,4
GAS,2,SUPERSOFT,21,6,26,85.40338095238096,82.896,Toro Rosso,21
GAS,3,SUPERSOFT,43,27,69,86.50088372093023,82.755,Toro Rosso,43
GRO,1,SUPERSOFT,44,2,44,86.8473023255814,83.701,Haas F1 Team,43
GRO,2,ULTRASOFT,16,45,60,87.0895625,81.37,Haas F1 Team,16
GRO,3,HYPERSOFT,8,61,68,85.795625,81.438,Haas F1 Team,8
HAM,1,ULTRASOFT,14,2,11,84.1188,80.995,Mercedes,10
HAM,2,SUPERSOFT,36,12,47,83.92330555555556,81.032,Mercedes,36
HAM,3,ULTRASOFT,29,48,71,85.041375,80.728,Mercedes,24
HAR,2,ULTRASOFT,23,2,24,86.11813043478261,82.528,Toro Rosso,23
HAR,3,SUPERSOFT,45,25,69,86.65553333333332,82.438,Toro Rosso,45
HUL,1,HYPERSOFT,15,2,12,85.7020909090909,82.839,Renault,11
HUL,2,SUPERSOFT,57,13,69,85.90256140350877,80.637,Renault,57
LEC,1,HYPERSOFT,16,2,13,86.04041666666666,83.341,Sauber,12
LEC,2,SUPERSOFT,56,14,69,86.00835714285714,80.537,Sauber,56
MAG,1,SUPERSOFT,43,2,43,86.74778571428571,83.303,Haas F1 Team,42
MAG,2,ULTRASOFT,26,44,69,86.64761538461539,81.874,Haas F1 Team,26
OCO,2,SUPERSOFT,34,2,30,86.938,82.629,Racing Point,29
OCO,3,ULTRASOFT,42,31,69,86.15769230769232,83.358,Racing Point,39
PER,1,SUPERSOFT,30,2,30,86.0111724137931,83.545,Racing Point,29
PER,2,ULTRASOFT,11,31,38,92.567125,84.174,Racing Point,8
RAI,1,ULTRASOFT,21,2,17,84.5148125,81.727,Ferrari,16
RAI,2,SUPERSOFT,54,18,71,83.65525925925925,80.334,Ferrari,54
RIC,1,ULTRASOFT,15,2,12,83.86954545454546,81.322,Red Bull Racing,11
RIC,2,SUPERSOFT,49,13,61,82.95444897959183,79.462,Red Bull Racing,49
SAI,1,HYPERSOFT,14,2,11,85.59639999999999,82.386,Renault,10
SAI,2,SUPERSOFT,17,12,28,85.5685294117647,83.75,Renault,17
SIR,1,ULTRASOFT,11,2,11,87.3177,84.033,Williams,10
SIR,2,SUPERSOFT,58,12,69,86.42512068965517,82.64,Williams,58
STR,1,ULTRASOFT,10,2,10,86.98366666666666,83.29,Williams,9
STR,2,ULTRASOFT,13,11,23,86.18692307692308,83.573,Williams,13
STR,3,SUPERSOFT,46,24,69,86.57532608695652,82.983,Williams,46
VAN,1,ULTRASOFT,12,2,12,86.52518181818182,83.545,McLaren,11
VAN,2,SUPERSOFT,57,13,69,86.17480701754386,81.921,McLaren,57
VER,1,ULTRASOFT,16,2,13,83.42066666666666,80.923,Red Bull Racing,12
VER,2,SUPERSOFT,35,14,48,83.29748571428573,80.299,Red Bull Racing,35
VER,3,SUPERSOFT,23,49,71,83.01508695652174,79.186,Red Bull Racing,23
VET,1,ULTRASOFT,20,2,17,83.469,81.799,Ferrari,16
VET,2,SUPERSOFT,30,18,47,83.56760000000001,80.112,Ferrari,30
VET,3,ULTRASOFT,24,48,71,83.2135,79.522,Ferrari,24
