Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,HYPERSOFT,23,2,19,80.13272222222223,78.687,McLaren,18
ALO,2,SUPERSOFT,33,20,52,79.17363636363636,77.018,McLaren,33
BOT,1,HYPERSOFT,20,2,17,79.495,77.559,Mercedes,16
BOT,2,SUPERSOFT,61,18,78,79.27308196721312,76.312,Mercedes,61
ERI,1,ULTRASOFT,16,2,17,81.03450000000001,78.066,Sauber,16
ERI,2,SUPERSOFT,61,18,78,79.55683606557376,76.936,Sauber,61
GAS,1,HYPERSOFT,41,2,37,79.59791666666666,78.09,Toro Rosso,36
GAS,2,SUPERSOFT,41,38,78,79.07314634146343,77.099,Toro Rosso,41
GRO,1,ULTRASOFT,14,2,15,81.7615,79.187,Haas F1 Team,14
GRO,2,SUPERSOFT,54,16,68,79.60741509433963,77.523,Haas F1 Team,53
GRO,3,HYPERSOFT,9,69,77,82.68111111111111,74.822,Haas F1 Team,9
HAM,1,HYPERSOFT,14,2,12,79.15618181818182,76.988,Mercedes,11
HAM,2,ULTRASOFT,71,13,78,79.34525757575759,76.27,Mercedes,66
HAR,1,HYPERSOFT,12,2,13,81.4015,78.636,Toro Rosso,12
HAR,2,ULTRASOFT,57,14,70,79.00982456140352,77.172,Toro Rosso,57
HUL,1,ULTRASOFT,49,2,50,79.57665306122449,78.229,Renault,49
HUL,2,HYPERSOFT,30,51,78,78.87807142857142,76.061,Renault,28
LEC,1,ULTRASOFT,13,2,14,81.15530769230769,78.534,Sauber,13
LEC,2,SUPERSOFT,56,15,70,79.06442857142858,77.71,Sauber,56
MAG,1,ULTRASOFT,16,2,17,80.9743125,78.571,Haas F1 Team,16
MAG,2,SUPERSOFT,62,18,78,79.6285737704918,77.476,Haas F1 Team,61
OCO,1,HYPERSOFT,27,2,23,79.83945454545454,78.499,Force India,22
OCO,2,SUPERSOFT,55,24,78,79.18007272727272,77.027,Force India,55
PER,1,HYPERSOFT,23,2,21,80.54555,78.379,Force India,20
PER,2,SUPERSOFT,57,22,78,79.71078947368422,77.546,Force India,57
RAI,1,HYPERSOFT,19,2,17,78.66493750000001,76.392,Ferrari,16
RAI,2,ULTRASOFT,61,18,78,79.49275409836065,77.06,Ferrari,61
RIC,0,nan,0,2,2,78.135,78.135,Red Bull Racing,1
RIC,1,HYPERSOFT,18,3,17,77.90786666666666,75.562,Red Bull Racing,15
RIC,2,ULTRASOFT,61,18,78,79.44024590163934,76.801,Red Bull Racing,61
SAI,1,HYPERSOFT,18,2,16,80.78753333333334,78.854,Renault,15
SAI,2,ULTRASOFT,62,17,78,79.71864516129031,77.491,Renault,62
SIR,1,HYPERSOFT,6,2,7,84.19566666666667,79.792,Williams,6
SIR,2,HYPERSOFT,19,8,19,81.78916666666667,78.819,Williams,12
SIR,3,ULTRASOFT,30,20,49,80.27936666666666,77.701,Williams,30
SIR,4,SUPERSOFT,29,50,77,79.96235714285714,75.325,Williams,28
STR,1,ULTRASOFT,8,2,9,88.857375,79.754,Williams,8
STR,2,SUPERSOFT,26,10,34,82.13744000000001,77.654,Williams,25
STR,3,HYPERSOFT,25,35,59,79.85652,75.322,Williams,25
STR,4,HYPERSOFT,17,60,76,79.53935294117647,74.944,Williams,17
VAN,1,ULTRASOFT,19,2,20,81.13542105263159,78.073,McLaren,19
VAN,2,SUPERSOFT,52,21,72,79.72378846153846,77.151,McLaren,52
VAN,3,HYPERSOFT,5,73,77,78.9506,76.864,McLaren,5
VER,1,ULTRASOFT,46,2,47,79.70434782608696,77.788,Red Bull Racing,46
VER,2,HYPERSOFT,31,48,78,78.64625806451613,74.26,Red Bull Racing,31
VET,1,HYPERSOFT,18,2,16,78.2554,76.065,Ferrari,15
VET,2,ULTRASOFT,62,17,78,79.43512903225806,77.229,Ferrari,62
