Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,ULTRASOFT,4,2,5,105.97025,104.369,McLaren,4
ALO,2,Soft,47,6,52,101.83625531914893,99.59,McLaren,47
BOT,0,nan,0,2,2,100.109,100.109,Mercedes,1
BOT,1,ULTRASOFT,13,3,12,100.4733,99.517,Mercedes,10
BOT,2,Soft,41,13,53,98.59875609756098,95.861,Mercedes,41
ERI,1,HYPERSOFT,13,2,11,103.977,102.653,Sauber,10
ERI,2,Soft,26,12,37,101.63334615384616,99.225,Sauber,26
ERI,3,ULTRASOFT,15,38,52,100.8796,97.931,Sauber,15
GAS,1,Soft,3,2,4,115.14533333333333,104.071,Toro Rosso,3
GRO,1,HYPERSOFT,10,2,8,104.73685714285715,102.659,Haas F1 Team,7
GRO,2,Soft,44,9,52,100.93172727272727,98.244,Haas F1 Team,44
HAM,1,ULTRASOFT,16,2,14,100.32476923076923,99.553,Mercedes,13
HAM,2,Soft,39,15,53,98.4422564102564,95.916,Mercedes,39
HAR,1,HYPERSOFT,2,2,3,107.07300000000001,105.852,Toro Rosso,2
HUL,1,Soft,34,2,35,101.51391176470588,100.033,Renault,34
HUL,2,ULTRASOFT,17,36,52,101.44805882352941,99.108,Renault,17
LEC,1,HYPERSOFT,12,2,10,102.63633333333333,101.502,Sauber,9
LEC,2,Soft,43,11,53,100.30686046511627,98.107,Sauber,43
MAG,1,HYPERSOFT,11,2,9,103.505875,101.658,Haas F1 Team,8
MAG,2,Soft,43,10,52,100.577,98.015,Haas F1 Team,43
OCO,1,HYPERSOFT,12,2,10,103.11022222222222,102.179,Racing Point,9
OCO,2,Soft,42,11,52,100.65459523809525,98.366,Racing Point,42
PER,1,HYPERSOFT,14,2,12,102.87281818181819,101.143,Racing Point,11
PER,2,Soft,40,13,52,100.684525,98.3,Racing Point,40
RAI,1,ULTRASOFT,20,2,18,100.64211764705883,100.009,Ferrari,17
RAI,2,Soft,35,19,53,98.47754285714285,96.611,Ferrari,35
RIC,1,Soft,38,2,39,100.22986842105263,98.21,Red Bull Racing,38
RIC,2,ULTRASOFT,14,40,53,100.14328571428572,96.345,Red Bull Racing,14
SAI,1,Soft,31,2,32,103.01270967741935,101.126,Renault,31
SAI,2,ULTRASOFT,19,33,51,102.72905263157895,99.731,Renault,19
SIR,1,ULTRASOFT,9,2,10,106.61311111111111,104.247,Williams,9
SIR,2,Soft,41,11,51,102.03873170731707,99.838,Williams,41
STR,1,ULTRASOFT,6,2,7,106.19733333333333,104.323,Williams,6
STR,2,Soft,45,8,52,101.67471111111111,99.435,Williams,45
VAN,1,ULTRASOFT,10,2,11,105.61179999999999,104.493,McLaren,10
VAN,2,Soft,40,12,51,102.0175,99.922,McLaren,40
VER,1,Soft,42,3,43,99.23343902439024,97.561,Red Bull Racing,41
VER,2,ULTRASOFT,10,44,53,99.36659999999999,96.283,Red Bull Racing,10
VET,1,ULTRASOFT,15,2,13,100.41333333333334,99.546,Ferrari,12
VET,2,Soft,40,14,53,98.62072500000001,95.99,Ferrari,40
