Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,ULTRASOFT,37,5,38,108.25994117647059,106.699,McLaren,34
ALO,2,Soft,23,39,61,106.63356521739131,103.164,McLaren,23
BOT,1,HYPERSOFT,18,5,16,107.92908333333332,105.839,Mercedes,12
BOT,2,Soft,45,17,61,106.48251111111111,104.72,Mercedes,45
ERI,1,ULTRASOFT,55,5,56,108.86398076923076,105.169,Sauber,52
ERI,2,HYPERSOFT,4,57,60,107.43,107.228,Sauber,4
GAS,1,HYPERSOFT,25,5,26,109.91236363636364,108.363,Toro Rosso,22
GAS,2,ULTRASOFT,34,27,60,108.3225,106.063,Toro Rosso,34
GRO,1,HYPERSOFT,18,5,16,110.38074999999999,108.623,Haas F1 Team,12
GRO,2,Soft,44,17,60,108.57104545454546,105.904,Haas F1 Team,44
HAM,1,HYPERSOFT,16,5,15,107.30300000000001,104.403,Mercedes,11
HAM,2,Soft,46,16,61,105.58410869565216,102.913,Mercedes,46
HAR,1,HYPERSOFT,13,5,14,110.6854,109.054,Toro Rosso,10
HAR,2,ULTRASOFT,22,15,36,109.971,106.657,Toro Rosso,22
HAR,3,HYPERSOFT,24,37,60,108.82470833333333,104.889,Toro Rosso,24
HUL,1,HYPERSOFT,17,5,15,110.2968181818182,108.749,Renault,11
HUL,2,ULTRASOFT,45,16,60,108.11284444444445,106.093,Renault,45
LEC,1,ULTRASOFT,37,5,38,108.80261764705882,106.438,Sauber,34
LEC,2,HYPERSOFT,22,39,60,107.47363636363637,105.203,Sauber,22
MAG,1,ULTRASOFT,25,5,26,109.93304545454545,108.568,Haas F1 Team,22
MAG,2,Soft,10,27,36,111.10060000000001,106.309,Haas F1 Team,10
MAG,3,HYPERSOFT,23,37,59,109.33530434782608,101.905,Haas F1 Team,23
PER,1,HYPERSOFT,19,5,17,109.54607692307692,107.968,Racing Point,13
PER,2,ULTRASOFT,16,18,33,111.13325,107.508,Racing Point,16
PER,3,Soft,6,34,39,111.96216666666668,105.602,Racing Point,6
PER,4,Soft,27,40,60,107.4,105.389,Racing Point,21
RAI,1,HYPERSOFT,24,5,22,107.54861111111111,105.547,Ferrari,18
RAI,2,Soft,39,23,61,106.44676923076923,104.715,Ferrari,39
RIC,1,HYPERSOFT,29,5,27,107.33721739130434,105.688,Red Bull Racing,23
RIC,2,ULTRASOFT,34,28,61,106.43117647058823,103.12,Red Bull Racing,34
SAI,1,ULTRASOFT,36,5,37,108.39342424242425,106.667,Renault,33
SAI,2,Soft,23,38,60,107.56630434782609,105.211,Renault,23
SIR,2,Soft,55,4,58,111.47479999999999,105.902,Williams,55
SIR,3,HYPERSOFT,1,59,59,116.698,116.698,Williams,1
STR,1,Soft,39,4,40,110.69816216216216,108.581,Williams,37
STR,2,ULTRASOFT,20,41,60,107.60679999999999,106.033,Williams,20
VAN,1,ULTRASOFT,57,4,58,109.53478181818181,105.555,McLaren,55
VAN,2,Soft,2,59,60,107.2565,106.793,McLaren,2
VER,1,HYPERSOFT,19,5,17,107.384,105.216,Red Bull Racing,13
VER,2,Soft,44,18,61,105.64827272727274,103.345,Red Bull Racing,44
VET,1,HYPERSOFT,16,5,14,107.8631,105.352,Ferrari,10
VET,2,ULTRASOFT,47,15,61,106.33314893617022,104.669,Ferrari,47
