Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALO,1,SUPERSOFT,23,3,21,94.12294736842105,83.553,McLaren,19
ALO,2,Medium,44,22,65,84.58622727272727,80.727,McLaren,44
BOT,1,Soft,21,3,19,93.97835294117647,81.485,Mercedes,17
BOT,2,Medium,47,20,66,82.67597872340426,79.478,Mercedes,47
ERI,1,Medium,34,3,35,89.98984848484848,83.027,Sauber,33
ERI,2,Soft,29,36,64,86.27541379310345,82.487,Sauber,29
HAM,1,Soft,26,3,25,90.39265217391304,80.849,Mercedes,23
HAM,2,Medium,41,26,66,82.60973170731707,79.133,Mercedes,41
HAR,1,Soft,3,3,4,134.4565,133.809,Toro Rosso,2
HAR,2,Medium,29,5,33,87.58896551724138,83.475,Toro Rosso,29
HAR,3,Medium,31,34,64,85.74016129032259,81.439,Toro Rosso,31
LEC,1,Soft,19,3,20,94.73611111111111,83.736,Sauber,18
LEC,2,Medium,44,21,64,85.34295454545455,82.122,Sauber,44
MAG,1,Soft,35,3,32,89.8359,82.505,Haas F1 Team,30
MAG,2,Medium,33,33,65,84.27854545454545,80.246,Haas F1 Team,33
OCO,1,Soft,28,3,29,91.1211111111111,83.34,Force India,27
OCO,2,Medium,9,30,38,88.03777777777778,82.117,Force India,9
PER,1,Soft,25,3,26,92.40583333333332,83.727,Force India,24
PER,2,Medium,14,27,40,86.47342857142857,81.406,Force India,14
PER,3,Soft,30,41,64,84.27862499999999,81.128,Force India,24
RAI,1,Soft,27,3,25,93.1474347826087,81.531,Ferrari,23
RIC,1,Soft,35,3,33,88.70964516129031,81.285,Red Bull Racing,31
RIC,2,Medium,33,34,66,83.62275757575757,78.441,Red Bull Racing,33
SAI,1,Soft,28,3,25,92.25721739130435,83.464,Renault,23
SAI,2,Medium,40,26,65,84.74282500000001,81.324,Renault,40
SIR,1,Soft,3,2,4,139.23,133.632,Williams,3
SIR,2,Medium,20,5,24,89.04655,83.907,Williams,20
SIR,3,Medium,19,25,41,90.21682352941176,82.756,Williams,17
SIR,4,SUPERSOFT,22,42,63,84.97245454545454,82.68,Williams,22
STR,1,Soft,19,3,20,95.07488888888889,84.245,Williams,18
STR,2,Medium,44,21,64,85.24370454545455,82.095,Williams,44
VAN,1,Soft,36,3,34,90.1404375,83.269,McLaren,32
VAN,2,Medium,11,35,45,91.868,82.594,McLaren,11
VER,1,Soft,36,3,34,88.26484375,80.603,Red Bull Racing,32
VER,2,Medium,32,35,66,83.22075,79.422,Red Bull Racing,32
VET,1,Soft,19,3,17,95.73679999999999,82.043,Ferrari,15
VET,2,Medium,24,18,41,83.45070833333334,80.716,Ferrari,24
VET,3,Medium,25,42,66,82.14452,79.128,Ferrari,25
