Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
BOT,1,SUPERSOFT,26,2,23,103.07522727272728,100.057,Mercedes,22
BOT,2,Soft,33,24,56,100.39981818181818,98.47,Mercedes,33
ERI,1,Soft,30,2,30,104.71155172413793,101.625,Sauber,29
ERI,2,SUPERSOFT,25,31,55,101.62068,100.098,Sauber,25
GAS,1,SUPERSOFT,10,2,10,105.5611111111111,103.648,Toro Rosso,9
GAS,2,Soft,26,11,36,104.37115384615385,100.754,Toro Rosso,26
GAS,3,ULTRASOFT,19,37,55,102.06684210526316,99.646,Toro Rosso,19
GRO,1,ULTRASOFT,5,2,2,149.206,149.206,Haas F1 Team,1
HAM,1,SUPERSOFT,16,2,11,104.0664,100.302,Mercedes,10
HAM,2,Soft,26,12,37,101.10573076923076,98.86,Mercedes,26
HAM,3,Soft,19,38,56,99.48815789473684,97.392,Mercedes,19
HAR,1,SUPERSOFT,27,2,27,104.81596153846155,101.505,Toro Rosso,26
HAR,2,Soft,28,28,55,101.90103571428571,99.915,Toro Rosso,28
HUL,1,ULTRASOFT,26,2,23,104.45331818181818,101.331,Renault,22
HUL,2,Soft,33,24,56,101.28918181818182,99.548,Renault,33
LEC,1,ULTRASOFT,5,2,2,133.101,133.101,Sauber,1
LEC,2,Soft,2,3,4,102.6825,102.504,Sauber,2
LEC,3,Soft,27,5,31,105.09255555555555,101.982,Sauber,27
MAG,1,SUPERSOFT,30,2,30,104.20420689655172,101.371,Haas F1 Team,29
MAG,2,Soft,26,31,56,101.05888461538461,98.963,Haas F1 Team,26
OCO,1,ULTRASOFT,25,2,22,104.93580952380952,101.718,Racing Point,21
OCO,2,Soft,34,23,56,101.38317647058823,99.992,Racing Point,34
PER,1,ULTRASOFT,28,2,25,104.7195,101.656,Racing Point,24
PER,2,Soft,31,26,56,101.27626666666667,99.569,Racing Point,31
RAI,1,ULTRASOFT,24,2,21,103.40395000000001,99.716,Ferrari,20
RAI,2,Soft,35,22,56,99.74785714285714,98.482,Ferrari,35
RIC,1,SUPERSOFT,11,2,8,101.31371428571428,100.933,Red Bull Racing,7
SAI,1,SUPERSOFT,24,2,24,104.45373913043478,101.658,Renault,23
SAI,2,Soft,32,25,56,101.40834375,99.858,Renault,32
SIR,1,SUPERSOFT,10,2,10,104.899,103.25,Williams,9
SIR,2,Soft,19,11,29,104.97742105263157,100.522,Williams,19
SIR,3,SUPERSOFT,26,30,55,103.025,100.816,Williams,26
STR,1,SUPERSOFT,2,2,2,138.96,138.96,Williams,1
STR,2,Soft,1,3,3,102.382,102.382,Williams,1
STR,3,Soft,39,4,38,104.67241176470588,101.752,Williams,35
STR,4,ULTRASOFT,16,39,54,102.7911875,100.433,Williams,16
VAN,1,SUPERSOFT,10,2,10,105.22722222222222,103.545,McLaren,9
VAN,2,Soft,30,11,40,103.7611,101.058,McLaren,30
VAN,3,Soft,15,41,55,101.37273333333333,99.24,McLaren,15
VER,1,Soft,22,2,22,102.96095238095238,100.076,Red Bull Racing,21
VER,2,SUPERSOFT,34,23,56,99.64891176470589,98.246,Red Bull Racing,34
VET,1,SUPERSOFT,29,2,26,102.99404,99.649,Ferrari,25
VET,2,Soft,30,27,56,99.6239,98.28,Ferrari,30
