Driver,Stint,Compound,MaxTyreLife,StintStartLap,StintEndLap,AvgLapTime,BestLapTime,Team,StintLength
ALB,1,Soft,14,2,14,92.46446153846153,90.782,Toro Rosso,13
ALB,2,Medium,43,15,57,90.06279069767442,88.188,Toro Rosso,43
BOT,1,Soft,26,2,23,89.36868181818183,87.815,Mercedes,22
BOT,2,Medium,35,24,58,87.64002857142857,85.58,Mercedes,35
GAS,1,Medium,37,2,37,90.43269444444445,88.412,Red Bull Racing,36
GAS,2,Soft,20,38,57,88.7455,87.229,Red Bull Racing,20
GIO,1,Medium,27,2,27,92.50688461538462,90.559,Alfa Romeo Racing,26
GIO,2,Soft,30,28,57,89.60026666666666,88.479,Alfa Romeo Racing,30
GRO,1,Soft,18,2,15,92.47349999999999,90.07,Haas F1 Team,14
GRO,2,Medium,14,16,29,90.43978571428572,88.462,Haas F1 Team,14
HAM,1,Soft,18,2,15,90.27571428571427,88.495,Mercedes,14
HAM,2,Medium,43,16,58,88.12706976744185,86.057,Mercedes,43
HUL,1,Soft,13,2,13,92.12591666666667,90.441,Renault,12
HUL,2,Hard,44,14,57,89.25729545454546,88.444,Renault,44
KUB,2,Medium,27,2,28,94.478,91.779,Williams,27
KUB,3,Soft,16,29,44,92.0076875,89.284,Williams,16
KUB,4,Soft,13,45,55,91.82309090909091,89.503,Williams,11
KVY,1,Medium,26,2,26,91.09216,89.167,Toro Rosso,25
KVY,2,Hard,32,27,57,88.83751612903227,87.448,Toro Rosso,31
LEC,1,Soft,31,2,28,90.24288461538461,88.733,Ferrari,27
LEC,2,Hard,30,29,58,88.40976666666667,86.926,Ferrari,30
MAG,1,Soft,17,2,14,91.98176923076923,90.166,Haas F1 Team,13
MAG,2,Medium,44,15,58,89.10170454545454,88.182,Haas F1 Team,44
NOR,1,Soft,18,2,15,92.151,90.359,McLaren,14
NOR,2,Hard,42,16,57,90.09590476190476,88.555,McLaren,42
PER,1,Soft,16,2,13,92.82341666666667,90.85,Racing Point,12
PER,2,Hard,44,14,57,89.99118181818181,88.485,Racing Point,44
RAI,1,Soft,15,2,12,92.53718181818182,90.586,Alfa Romeo Racing,11
RAI,2,Medium,45,13,57,89.22873333333334,88.27,Alfa Romeo Racing,45
RIC,2,Hard,27,2,28,90.78181481481481,89.848,Renault,27
RUS,1,Medium,26,2,26,93.05768,91.605,Williams,25
RUS,2,Soft,16,27,42,91.984375,89.491,Williams,16
RUS,3,Hard,14,43,56,90.91285714285713,88.713,Williams,14
SAI,1,Soft,9,2,9,91.46625,90.899,McLaren,8
STR,1,Medium,27,2,27,91.00161538461538,89.13,Racing Point,26
STR,2,Hard,30,28,57,88.85473333333333,87.568,Racing Point,30
VER,1,Soft,28,2,25,89.88670833333333,88.55,Red Bull Racing,24
VER,2,Medium,33,26,58,87.76584848484849,86.256,Red Bull Racing,33
VET,1,Soft,17,2,14,90.69084615384615,88.789,Ferrari,13
VET,2,Medium,44,15,58,88.85970454545455,87.954,Ferrari,44
