Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,5,103.982,ULTRASOFT,8,1,1,32.6,37.7,False,True,17.898,44.206,41.878,3.114999999999995,True,1.0,105.04186274509804,7.049728335246993,101.357,147.462,4.174862745098035,47,0.9371074291362865,Normal
BOT,Mercedes,5,104.776,ULTRASOFT,8,1,1,32.6,37.7,False,True,17.995,44.293,42.488,3.908999999999992,True,5.0,105.95982352941176,6.642180165294775,100.953,135.002,5.092823529411761,43,0.9410118830273797,Normal
VET,Ferrari,5,104.87,ULTRASOFT,8,1,1,32.6,37.7,False,True,18.162,43.896,42.812,4.003,True,2.0,105.04523529411765,6.479699784984586,100.867,135.199,4.178235294117644,45,0.9418990938628328,Normal
RAI,Ferrari,5,105.198,ULTRASOFT,9,1,1,32.6,37.7,False,True,18.328,43.798,43.072,4.330999999999989,True,19.0,110.28999999999999,7.201175459603813,105.198,115.382,9.422999999999995,1,0.9387087972229902,Peak
LEC,Sauber,5,105.931,HYPERSOFT,8,1,1,32.7,37.5,False,True,18.556,43.885,43.49,5.063999999999993,True,7.0,106.75639215686274,6.868031144595755,102.876,146.003,5.8893921568627405,47,0.9395549746697144,Normal
RIC,Red Bull Racing,5,106.167,ULTRASOFT,9,1,1,32.7,37.5,False,True,18.593,44.539,43.035,5.299999999999997,True,4.0,105.26596078431373,6.160212330628822,101.249,132.377,4.398960784313722,45,0.9447148532663487,Normal
GRO,Haas F1 Team,5,106.573,HYPERSOFT,8,1,1,32.7,37.5,False,True,18.588,44.576,43.409,5.705999999999989,True,9.0,107.52594,6.815334682395368,103.195,144.915,6.658939999999996,46,0.940394798804489,Normal
OCO,Racing Point,5,107.301,HYPERSOFT,8,1,1,32.7,37.5,False,True,18.78,45.343,43.178,6.4339999999999975,True,17.0,107.93769999999999,6.68095999243468,103.591,133.5,7.070699999999993,36,0.9417114107521789,Normal
VER,Red Bull Racing,5,107.363,HYPERSOFT,8,1,1,32.7,37.5,False,True,18.705,45.33,43.328,6.495999999999995,True,3.0,105.18513725490196,6.146654524274504,101.909,132.348,4.318137254901957,45,0.9447897637678713,Normal
PER,Racing Point,5,108.054,ULTRASOFT,5,1,1,32.7,37.5,False,True,18.879,44.564,44.611,7.186999999999998,True,8.0,106.71441176470589,6.172215874955995,102.816,133.849,5.847411764705878,45,0.9453237641693227,Normal
SAI,Renault,5,108.431,ULTRASOFT,5,1,1,32.7,37.5,False,True,18.866,44.854,44.711,7.563999999999993,True,6.0,106.3395294117647,6.372837020834414,101.351,136.712,5.472529411764701,45,0.9434592918014431,Normal
ERI,Sauber,5,108.535,SUPERSOFT,5,1,1,32.7,37.5,False,True,19.021,44.639,44.875,7.667999999999992,True,18.0,109.8086,7.867764053401701,106.077,135.068,8.941599999999998,18,0.9331406598369125,Normal
GAS,Toro Rosso,5,108.638,SUPERSOFT,5,1,1,32.7,37.5,False,True,19.046,44.972,44.62,7.771000000000001,True,16.0,108.06561904761905,6.622106837954742,103.988,135.913,7.198619047619045,38,0.9422596726299922,Normal
ALO,McLaren,5,108.819,ULTRASOFT,5,1,1,32.7,37.5,False,True,19.106,45.021,44.692,7.951999999999998,True,11.0,107.5416,6.07745241336653,102.393,135.505,6.674599999999995,44,0.9465102702031375,Normal
MAG,Haas F1 Team,5,108.778,SUPERSOFT,5,1,1,32.7,37.5,False,True,18.942,45.133,44.703,7.911000000000001,True,10.0,107.47005999999999,5.999974627191253,102.822,135.634,6.603059999999996,44,0.9471228272124501,Normal
