Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,2,90.265,nan,0,0,,24.1,36.6,False,True,30.261,24.081,35.923,4.320000000000007,False,2.0,92.70326315789474,13.122744552502176,86.444,137.887,6.758263157894743,40,0.8759969799823326,Outlier
RAI,Ferrari,2,90.266,ULTRASOFT,4,1,,24.1,36.6,False,True,29.958,24.047,36.261,4.321000000000012,False,3.0,92.70382456140352,12.821936391427565,86.373,137.278,6.758824561403515,39,0.87849472701591,Outlier
VET,Ferrari,2,90.562,ULTRASOFT,4,1,,24.1,36.6,False,True,30.174,23.995,36.393,4.617000000000004,False,1.0,91.99966071428571,12.858218939688893,86.469,138.857,6.054660714285722,42,0.8773747954648679,Outlier
MAG,Haas F1 Team,2,90.83,ULTRASOFT,4,1,,24.1,36.6,False,True,30.35,24.353,36.127,4.885000000000005,False,17.0,91.16,3.740230327132275,89.534,107.39,5.215000000000005,13,0.9605877634412554,Outlier
VER,Red Bull Racing,2,90.942,SUPERSOFT,4,1,,24.1,36.6,False,True,30.368,24.093,36.481,4.997,False,6.0,93.06217543859648,10.727422024424142,86.88,134.396,7.117175438596497,39,0.8966426088294038,Outlier
GRO,Haas F1 Team,2,91.033,ULTRASOFT,4,1,,24.1,36.6,False,True,30.519,24.231,36.283,5.088000000000008,False,16.0,91.06208695652174,3.9688390438176286,88.805,109.039,5.117086956521747,14,0.9582363425165039,Outlier
HUL,Renault,2,91.31,ULTRASOFT,4,1,,24.1,36.6,False,True,30.586,24.299,36.425,5.365000000000009,False,7.0,93.1031052631579,10.488344676837723,87.081,130.75,7.158105263157902,41,0.8987527958831254,Outlier
RIC,Red Bull Racing,2,91.264,SUPERSOFT,4,1,,24.1,36.6,False,True,30.571,24.323,36.37,5.319000000000003,False,4.0,92.64477192982457,12.231115122648625,85.945,137.173,6.699771929824569,41,0.8833753356810327,Outlier
SAI,Renault,2,91.322,ULTRASOFT,4,1,,24.1,36.6,False,True,30.437,24.592,36.293,5.3770000000000095,False,10.0,93.3059649122807,10.223710674849546,87.944,126.289,7.360964912280709,40,0.9012485008103275,Outlier
ALO,McLaren,2,91.565,ULTRASOFT,1,1,,24.1,36.6,False,True,30.482,24.593,36.49,5.6200000000000045,False,5.0,92.97615789473683,11.817716571181045,86.978,140.53,7.031157894736849,41,0.8872289374602279,Outlier
