Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,2,69.252,nan,0,0,21,22.7,37.4,False,True,17.351,30.869,21.032,2.2950000000000017,False,16.0,69.87947540983606,4.293702802192054,67.241,87.525,2.9224754098360712,47,0.9421124602491985,Outlier
BOT,Mercedes,2,69.833,SUPERSOFT,4,1,21,22.7,37.4,False,True,17.378,30.992,21.463,2.8760000000000048,False,19.0,69.45441666666666,0.32401135174652046,69.044,69.906,2.497416666666672,9,0.9953565684847325,Outlier
VER,Red Bull Racing,2,69.911,SUPERSOFT,4,1,21,22.7,37.4,False,True,17.499,30.922,21.49,2.9540000000000077,False,1.0,69.15421428571429,3.809326951441864,67.442,93.857,2.1972142857142924,56,0.9477913641957116,Outlier
RAI,Ferrari,2,70.489,ULTRASOFT,4,1,21,22.7,37.4,False,True,17.602,31.273,21.614,3.5320000000000107,False,2.0,69.16844285714286,3.88184988261783,66.957,93.64,2.2114428571428633,57,0.9468605841670369,Outlier
RIC,Red Bull Racing,2,70.661,SUPERSOFT,4,1,21,22.7,37.4,False,True,17.644,31.201,21.816,3.7040000000000077,False,18.0,70.15303846153846,4.945327899918001,67.591,93.13,3.196038461538467,44,0.9341486620878593,Outlier
GRO,Haas F1 Team,2,71.32,ULTRASOFT,4,1,21,22.7,37.4,False,True,17.787,31.613,21.92,4.3629999999999995,False,4.0,70.44791304347827,3.956190854921268,69.071,93.593,3.4909130434782667,55,0.9468283246805373,Outlier
VET,Ferrari,2,71.07,ULTRASOFT,4,1,21,22.7,37.4,False,True,17.708,31.38,21.982,4.1129999999999995,False,3.0,69.16907142857143,4.180349636308014,67.082,96.112,2.212071428571434,57,0.9430077350902282,Outlier
MAG,Haas F1 Team,2,72.319,ULTRASOFT,4,1,21,22.7,37.4,False,True,18.022,32.143,22.154,5.362000000000009,False,5.0,70.46215942028985,3.9063215118091867,68.476,94.479,3.5051594202898624,55,0.9474734260690925,Outlier
HUL,Renault,2,72.267,ULTRASOFT,4,1,21,22.7,37.4,False,True,17.685,32.217,22.365,5.310000000000002,False,20.0,71.2002,1.1720455812145034,70.38,74.107,4.243200000000003,9,0.9838053169167004,Outlier
OCO,Force India,2,72.462,SUPERSOFT,1,1,21,22.7,37.4,False,True,17.694,32.353,22.415,5.50500000000001,False,6.0,70.60328985507248,3.8355242033845207,68.85,95.36,3.64628985507247,57,0.9484741360821188,Outlier
SAI,Renault,2,72.497,ULTRASOFT,4,1,21,22.7,37.4,False,True,17.772,32.005,22.72,5.540000000000006,False,12.0,71.06452173913044,4.636717571885547,68.766,95.806,4.1075217391304415,56,0.9387497798703697,Outlier
STR,Williams,2,73.397,ULTRASOFT,1,1,21,22.7,37.4,False,True,18.217,32.517,22.663,6.440000000000012,False,14.0,71.5492794117647,4.516556705389922,69.203,98.829,4.592279411764713,55,0.9406230584459279,Outlier
PER,Force India,2,73.062,SUPERSOFT,1,1,21,22.7,37.4,False,True,17.904,32.492,22.666,6.105000000000004,False,7.0,70.60995652173914,4.168098432402896,68.504,97.598,3.6529565217391373,54,0.9442604058776469,Outlier
GAS,Toro Rosso,2,73.059,SUPERSOFT,1,1,21,22.7,37.4,False,True,17.521,33.053,22.485,6.102000000000004,False,11.0,70.97336231884059,3.74627633151756,69.295,94.972,4.016362318840587,58,0.9498622263278357,Outlier
SIR,Williams,2,72.629,SUPERSOFT,1,1,21,22.7,37.4,False,True,17.918,32.24,22.471,5.672000000000011,False,13.0,71.62763235294118,4.614235293136902,68.971,95.433,4.670632352941182,53,0.939478983980867,Outlier
ERI,Sauber,2,74.012,Soft,1,1,21,22.7,37.4,False,True,17.864,33.056,23.092,7.055000000000007,False,10.0,70.8751304347826,3.731059815975028,68.216,93.576,3.9181304347826154,56,0.9499899431476849,Outlier
HAR,Toro Rosso,2,73.47,SUPERSOFT,1,1,21,22.7,37.4,False,True,18.106,32.298,23.066,6.513000000000005,False,17.0,71.54047169811321,4.4407460288168705,69.171,93.824,4.583471698113214,46,0.9415546873073747,Outlier
ALO,McLaren,2,73.383,SUPERSOFT,1,1,21,22.7,37.4,False,True,18.205,32.557,22.621,6.426000000000002,False,8.0,70.78363768115942,3.7589555298803483,68.661,93.71,3.826637681159427,58,0.9495730512186737,Outlier
VAN,McLaren,2,113.141,Soft,1,2,21,22.7,37.4,False,True,60.106,31.379,21.656,46.18400000000001,False,15.0,72.42578125,6.886707173782013,68.894,113.141,5.468781250000006,49,0.9131699520385111,Outlier
HAM,Mercedes,3,69.633,SUPERSOFT,4,1,1,22.7,37.4,False,True,17.442,30.987,21.204,2.676000000000002,True,16.0,69.87947540983606,4.293702802192054,67.241,87.525,2.9224754098360712,47,0.9421124602491985,Normal
BOT,Mercedes,3,69.74,SUPERSOFT,5,1,1,22.7,37.4,False,True,17.349,30.983,21.408,2.7830000000000013,True,19.0,69.45441666666666,0.32401135174652046,69.044,69.906,2.497416666666672,9,0.9953565684847325,Normal
VER,Red Bull Racing,3,69.816,SUPERSOFT,5,1,1,22.7,37.4,False,True,17.626,30.762,21.428,2.859000000000009,True,1.0,69.15421428571429,3.809326951441864,67.442,93.857,2.1972142857142924,56,0.9477913641957116,Normal
RAI,Ferrari,3,69.891,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.571,30.925,21.395,2.9340000000000117,True,2.0,69.16844285714286,3.88184988261783,66.957,93.64,2.2114428571428633,57,0.9468605841670369,Normal
RIC,Red Bull Racing,3,70.348,SUPERSOFT,5,1,1,22.7,37.4,False,True,17.604,30.956,21.788,3.3910000000000053,True,18.0,70.15303846153846,4.945327899918001,67.591,93.13,3.196038461538467,44,0.9341486620878593,Normal
VET,Ferrari,3,70.885,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.655,31.482,21.748,3.9280000000000115,True,3.0,69.16907142857143,4.180349636308014,67.082,96.112,2.212071428571434,57,0.9430077350902282,Normal
GRO,Haas F1 Team,3,72.422,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.708,32.687,22.027,5.465000000000003,True,4.0,70.44791304347827,3.956190854921268,69.071,93.593,3.4909130434782667,55,0.9468283246805373,Normal
MAG,Haas F1 Team,3,71.488,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.715,31.366,22.407,4.531000000000006,True,5.0,70.46215942028985,3.9063215118091867,68.476,94.479,3.5051594202898624,55,0.9474734260690925,Normal
HUL,Renault,3,71.46,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.723,31.445,22.292,4.503,True,20.0,71.2002,1.1720455812145034,70.38,74.107,4.243200000000003,9,0.9838053169167004,Normal
OCO,Force India,3,71.44,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.466,31.529,22.445,4.483000000000004,True,6.0,70.60328985507248,3.8355242033845207,68.85,95.36,3.64628985507247,57,0.9484741360821188,Normal
SAI,Renault,3,71.435,ULTRASOFT,5,1,1,22.7,37.4,False,True,17.481,31.616,22.338,4.478000000000009,True,12.0,71.06452173913044,4.636717571885547,68.766,95.806,4.1075217391304415,56,0.9387497798703697,Normal
STR,Williams,3,71.657,ULTRASOFT,2,1,1,22.7,37.4,False,True,17.579,31.789,22.289,4.700000000000003,True,14.0,71.5492794117647,4.516556705389922,69.203,98.829,4.592279411764713,55,0.9406230584459279,Normal
PER,Force India,3,71.715,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.31,32.083,22.322,4.75800000000001,True,7.0,70.60995652173914,4.168098432402896,68.504,97.598,3.6529565217391373,54,0.9442604058776469,Normal
GAS,Toro Rosso,3,71.444,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.443,31.545,22.456,4.487000000000009,True,11.0,70.97336231884059,3.74627633151756,69.295,94.972,4.016362318840587,58,0.9498622263278357,Normal
SIR,Williams,3,71.145,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.532,31.433,22.18,4.188000000000002,True,13.0,71.62763235294118,4.614235293136902,68.971,95.433,4.670632352941182,53,0.939478983980867,Normal
ERI,Sauber,3,71.412,Soft,2,1,1,22.7,37.4,False,True,17.6,31.536,22.276,4.4550000000000125,True,10.0,70.8751304347826,3.731059815975028,68.216,93.576,3.9181304347826154,56,0.9499899431476849,Normal
HAR,Toro Rosso,3,71.721,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.639,31.645,22.437,4.76400000000001,True,17.0,71.54047169811321,4.4407460288168705,69.171,93.824,4.583471698113214,46,0.9415546873073747,Normal
ALO,McLaren,3,71.95,SUPERSOFT,2,1,1,22.7,37.4,False,True,17.589,31.924,22.437,4.993000000000009,True,8.0,70.78363768115942,3.7589555298803483,68.661,93.71,3.826637681159427,58,0.9495730512186737,Normal
