Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
MAG,Haas F1 Team,3,143.3,Soft,2,2,4,16.7,47.8,False,True,46.7,60.306,36.294,38.15100000000001,False,13.0,113.28834146341464,8.025150657806234,108.155,144.036,8.139341463414635,27,0.9338478307937322,Outlier
ALO,McLaren,3,139.843,Soft,2,2,4,16.7,47.8,False,True,44.058,58.942,36.843,34.69399999999999,False,7.0,110.6413,5.476323739751334,107.449,139.843,5.492299999999998,30,0.9528381346140431,Outlier
ERI,Sauber,3,129.002,Soft,2,2,4,16.7,47.8,False,True,43.138,49.055,36.809,23.85300000000001,False,11.0,116.14775555555556,9.87584292870868,107.925,148.577,10.998755555555555,25,0.9216349711681832,Outlier
VET,Ferrari,6,111.316,SUPERSOFT,8,1,1,16.9,46.7,False,True,39.676,44.596,27.044,6.167000000000002,True,4.0,107.9724358974359,3.5837135752182796,105.53,122.645,2.823435897435896,29,0.9678752485438129,Normal
HAM,Mercedes,6,113.461,SUPERSOFT,10,1,1,16.9,46.7,False,True,41.255,45.554,26.652,8.311999999999998,True,1.0,108.11515384615385,4.409356168173963,105.412,125.747,2.9661538461538446,29,0.9608142602210619,Normal
BOT,Mercedes,6,114.555,SUPERSOFT,9,1,1,16.9,46.7,False,True,42.178,45.904,26.473,9.406000000000006,True,14.0,107.37236111111112,2.313711466796873,105.149,116.537,2.22336111111111,30,0.9789060596991156,Normal
SAI,Renault,6,116.553,ULTRASOFT,8,1,1,16.9,46.7,False,True,43.437,46.799,26.317,11.403999999999996,False,5.0,110.35117499999998,6.581444206280611,106.856,142.488,5.202174999999999,28,0.9437159258814659,Outlier
VER,Red Bull Racing,6,116.751,SUPERSOFT,9,1,1,16.9,46.7,False,True,43.117,46.921,26.713,11.602000000000004,False,16.0,108.46444117647059,3.2722081154749914,105.771,121.646,3.315441176470588,25,0.9707149969485359,Outlier
RIC,Red Bull Racing,6,117.893,SUPERSOFT,9,1,1,16.9,46.7,False,True,44.034,47.388,26.471,12.744,False,17.0,108.47258823529413,3.572366358741715,105.419,122.845,3.323588235294117,26,0.9681166691379794,Outlier
GAS,Toro Rosso,6,117.629,ULTRASOFT,5,1,1,16.9,46.7,False,True,43.117,47.916,26.596,12.480000000000004,False,12.0,112.80526829268291,6.491302053611391,108.035,141.291,7.656268292682927,27,0.9455868510321092,Outlier
HUL,Renault,6,117.744,ULTRASOFT,8,1,1,16.9,46.7,False,True,43.736,47.811,26.197,12.594999999999999,False,18.0,111.7814,3.6666554651344003,108.867,117.744,6.632399999999999,3,0.9682397815159239,Outlier
STR,Williams,6,119.204,SUPERSOFT,5,1,1,16.9,46.7,False,True,44.176,48.069,26.959,14.054999999999993,False,8.0,110.866025,7.297395030428887,106.815,148.672,5.717024999999998,28,0.9382431971878463,Outlier
LEC,Sauber,6,118.924,SUPERSOFT,5,1,1,16.9,46.7,False,True,44.109,48.306,26.509,13.775000000000006,False,6.0,110.75802564102564,7.1195055878280415,107.403,146.86,5.60902564102564,27,0.9396025220955311,Outlier
RAI,Ferrari,6,120.197,ULTRASOFT,4,3,1,16.9,46.7,False,True,44.987,48.832,26.378,15.048000000000002,False,2.0,109.98387499999998,6.895162894591308,106.523,138.482,4.834874999999998,30,0.9410059920170648,Outlier
VAN,McLaren,6,120.462,SUPERSOFT,5,1,1,16.9,46.7,False,True,44.682,48.836,26.944,15.313000000000002,False,9.0,113.55809523809523,7.2854462434581295,107.666,139.187,8.409095238095237,25,0.9397117450040121,Outlier
