Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VET,Ferrari,2,100.505,nan,0,0,126,28.1,45.7,False,True,30.485,41.467,28.553,6.765000000000001,False,1.0,96.9186,6.08425066629986,94.453,130.679,3.1786000000000056,44,0.9409312399905212,Outlier
BOT,Mercedes,2,101.541,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.287,41.638,29.616,7.801000000000002,False,2.0,96.9056,6.0962790612465,93.74,129.303,3.1656000000000044,44,0.9408139043985638,Outlier
RAI,Ferrari,2,103.586,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.493,42.097,30.996,9.846000000000004,False,18.0,98.17887878787879,7.4989047106793185,94.337,128.006,4.438878787878792,23,0.9290399130032696,Outlier
GAS,Toro Rosso,2,104.485,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.942,41.954,31.589,10.745000000000005,False,4.0,97.94069090909092,6.591774562602629,94.863,129.434,4.200690909090914,42,0.9369404085816035,Outlier
MAG,Haas F1 Team,2,105.054,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.92,42.329,31.805,11.314000000000007,False,5.0,98.12835185185185,6.581526341744135,94.327,129.387,4.388351851851858,43,0.9371451246502677,Outlier
OCO,Force India,2,106.582,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.857,42.274,33.451,12.841999999999999,False,10.0,98.972,6.358850591589158,95.043,129.505,5.232000000000006,40,0.9396297423226456,Outlier
HUL,Renault,2,107.648,SUPERSOFT,4,1,126,28.1,45.7,False,True,30.86,42.448,34.34,13.908000000000001,False,6.0,98.58396296296296,6.607595240821496,94.667,128.657,4.843962962962968,41,0.9371851187143668,Outlier
ALO,McLaren,2,108.812,Soft,1,1,126,28.1,45.7,False,True,31.333,42.354,35.125,15.072000000000003,False,7.0,98.59077358490565,6.631613600606595,94.168,128.668,4.850773584905665,40,0.9369752599424043,Outlier
HAM,Mercedes,2,109.218,Soft,4,1,126,28.1,45.7,False,True,31.826,42.091,35.301,15.478000000000009,False,3.0,96.89345454545455,5.980021332856106,93.953,128.522,3.1534545454545517,45,0.9418701343392937,Outlier
HAR,Toro Rosso,2,111.224,SUPERSOFT,1,1,126,28.1,45.7,False,True,31.459,43.142,36.623,17.48400000000001,False,17.0,99.0653396226415,7.277120314708707,94.689,130.979,5.325339622641515,39,0.9315690052778928,Outlier
SAI,Renault,2,111.638,SUPERSOFT,4,1,126,28.1,45.7,False,True,31.476,42.969,37.193,17.89800000000001,False,11.0,99.03284905660378,6.259112936032452,95.535,127.23,5.292849056603778,41,0.9405546936577154,Outlier
ERI,Sauber,2,112.17,Soft,1,1,126,28.1,45.7,False,True,31.689,42.713,37.768,18.430000000000007,False,9.0,98.77909433962265,5.755290152627308,95.093,126.985,5.039094339622646,41,0.9449435687541261,Outlier
STR,Williams,2,112.892,Soft,1,1,126,28.1,45.7,False,True,31.611,43.37,37.911,19.152,False,14.0,99.06545283018868,5.737350666955684,95.266,127.78,5.325452830188684,43,0.9452557519884284,Outlier
GRO,Haas F1 Team,2,113.053,SUPERSOFT,1,1,126,28.1,45.7,False,True,31.621,43.08,38.352,19.313000000000002,False,13.0,99.1808679245283,6.868569944200498,94.053,127.783,5.440867924528306,36,0.9352323776321887,Outlier
LEC,Sauber,2,114.239,Soft,1,1,126,28.1,45.7,False,True,31.665,43.351,39.223,20.49900000000001,False,12.0,99.11660377358491,6.842146970572067,95.058,128.581,5.376603773584911,43,0.9354263152168263,Outlier
VAN,McLaren,2,115.069,SUPERSOFT,1,1,126,28.2,45.3,False,True,31.674,43.438,39.957,21.329000000000008,False,8.0,98.69531481481481,6.233486864021406,95.131,127.012,4.955314814814819,42,0.9405931759032118,Outlier
SIR,Williams,2,114.985,Soft,1,1,126,28.2,45.3,False,True,31.358,43.749,39.878,21.245000000000005,False,15.0,99.53920754716982,6.373817656145188,94.563,127.036,5.799207547169817,41,0.9398202662617771,Outlier
PER,Force India,2,114.751,Soft,1,1,126,28.2,45.3,False,True,30.999,43.643,40.109,21.01100000000001,False,16.0,99.0051111111111,6.172101879429971,95.075,127.478,5.265111111111116,42,0.9413171189468098,Outlier
VET,Ferrari,3,130.679,SUPERSOFT,4,1,6,28.2,45.3,False,True,40.345,55.927,34.407,36.93900000000001,False,1.0,96.9186,6.08425066629986,94.453,130.679,3.1786000000000056,44,0.9409312399905212,Outlier
BOT,Mercedes,3,129.303,SUPERSOFT,5,1,6,28.2,45.3,False,True,39.842,55.469,33.992,35.563,False,2.0,96.9056,6.0962790612465,93.74,129.303,3.1656000000000044,44,0.9408139043985638,Outlier
RAI,Ferrari,3,128.006,SUPERSOFT,5,1,6,28.2,45.3,False,True,38.114,56.235,33.657,34.266000000000005,False,18.0,98.17887878787879,7.4989047106793185,94.337,128.006,4.438878787878792,23,0.9290399130032696,Outlier
GAS,Toro Rosso,3,129.434,SUPERSOFT,5,1,6,28.2,45.3,False,True,38.716,57.624,33.094,35.694,False,4.0,97.94069090909092,6.591774562602629,94.863,129.434,4.200690909090914,42,0.9369404085816035,Outlier
MAG,Haas F1 Team,3,129.387,SUPERSOFT,5,1,6,28.2,45.3,False,True,38.387,58.262,32.738,35.647000000000006,False,5.0,98.12835185185185,6.581526341744135,94.327,129.387,4.388351851851858,43,0.9371451246502677,Outlier
OCO,Force India,3,129.505,SUPERSOFT,5,1,6,28.2,45.3,False,True,39.227,56.833,33.445,35.765,False,10.0,98.972,6.358850591589158,95.043,129.505,5.232000000000006,40,0.9396297423226456,Outlier
HUL,Renault,3,128.657,SUPERSOFT,5,1,6,28.2,45.3,False,True,39.396,55.732,33.529,34.917000000000016,False,6.0,98.58396296296296,6.607595240821496,94.667,128.657,4.843962962962968,41,0.9371851187143668,Outlier
ALO,McLaren,3,128.668,Soft,2,1,6,28.2,45.3,False,True,41.025,53.726,33.917,34.92800000000001,False,7.0,98.59077358490565,6.631613600606595,94.168,128.668,4.850773584905665,40,0.9369752599424043,Outlier
HAM,Mercedes,3,128.522,Soft,5,1,6,28.2,45.3,False,True,40.777,53.391,34.354,34.782,False,3.0,96.89345454545455,5.980021332856106,93.953,128.522,3.1534545454545517,45,0.9418701343392937,Outlier
HAR,Toro Rosso,3,126.814,SUPERSOFT,2,1,6,28.3,45.1,False,True,39.609,53.472,33.733,33.074,False,17.0,99.0653396226415,7.277120314708707,94.689,130.979,5.325339622641515,39,0.9315690052778928,Outlier
SAI,Renault,3,127.23,SUPERSOFT,5,1,6,28.3,45.1,False,True,40.04,53.073,34.117,33.49000000000001,False,11.0,99.03284905660378,6.259112936032452,95.535,127.23,5.292849056603778,41,0.9405546936577154,Outlier
ERI,Sauber,3,126.985,Soft,2,1,6,28.3,45.1,False,True,40.119,52.576,34.29,33.245000000000005,False,9.0,98.77909433962265,5.755290152627308,95.093,126.985,5.039094339622646,41,0.9449435687541261,Outlier
STR,Williams,3,127.78,Soft,2,1,6,28.3,45.1,False,True,39.903,53.24,34.637,34.040000000000006,False,14.0,99.06545283018868,5.737350666955684,95.266,127.78,5.325452830188684,43,0.9452557519884284,Outlier
GRO,Haas F1 Team,3,127.783,SUPERSOFT,2,1,6,28.3,45.1,False,True,39.606,53.224,34.953,34.043000000000006,False,13.0,99.1808679245283,6.868569944200498,94.053,127.783,5.440867924528306,36,0.9352323776321887,Outlier
VAN,McLaren,3,127.012,SUPERSOFT,2,1,6,28.3,45.1,False,True,39.632,52.753,34.627,33.272000000000006,False,8.0,98.69531481481481,6.233486864021406,95.131,127.012,4.955314814814819,42,0.9405931759032118,Outlier
LEC,Sauber,3,128.581,Soft,2,1,6,28.3,45.1,False,True,39.21,53.089,36.282,34.840999999999994,False,12.0,99.11660377358491,6.842146970572067,95.058,128.581,5.376603773584911,43,0.9354263152168263,Outlier
SIR,Williams,3,127.036,Soft,2,1,6,28.3,45.1,False,True,39.976,52.688,34.372,33.29600000000001,False,15.0,99.53920754716982,6.373817656145188,94.563,127.036,5.799207547169817,41,0.9398202662617771,Outlier
