Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
RAI,Ferrari,2,144.008,Medium,1,2,4,17.7,38.1,False,True,56.975,52.698,34.335,37.72200000000001,False,17.0,124.00775,13.798484563530884,114.32,144.008,17.72175,2,0.8998703897016389,Outlier
VET,Ferrari,5,108.656,SUPERSOFT,7,2,1,17.6,35.3,False,True,31.56,47.948,29.148,2.3700000000000045,True,1.0,108.30737500000001,2.194849199743663,106.644,119.728,2.0213749999999986,38,0.9801375111167331,Normal
HAM,Mercedes,5,109.718,SUPERSOFT,8,2,1,17.6,35.3,False,True,31.378,48.89,29.45,3.432000000000002,True,2.0,108.568425,2.189732297038223,106.721,119.902,2.282424999999999,37,0.9802296070061398,Normal
PER,Racing Point,5,111.257,SUPERSOFT,8,2,1,17.6,35.3,False,True,31.335,50.473,29.449,4.971000000000004,True,5.0,110.05495,2.5308470554240747,108.08,123.182,3.7689499999999994,37,0.9775207253346692,Normal
OCO,Racing Point,5,111.951,SUPERSOFT,8,2,1,17.6,35.3,False,True,31.252,51.072,29.627,5.664999999999992,True,6.0,110.25605,2.5881761913432224,108.078,123.773,3.9700499999999983,37,0.9770641682016181,Normal
VER,Red Bull Racing,5,112.189,SUPERSOFT,7,2,1,17.6,35.3,False,True,31.772,50.661,29.756,5.902999999999992,True,3.0,109.04002499999999,2.3743360258104818,106.946,120.763,2.754024999999999,37,0.9786891384203116,Normal
GRO,Haas F1 Team,5,113.036,SUPERSOFT,8,2,1,17.6,35.3,False,True,31.708,51.312,30.016,6.75,True,7.0,110.396425,2.5440920287287225,108.283,123.178,4.110424999999998,37,0.977474053637619,Normal
MAG,Haas F1 Team,5,113.366,SUPERSOFT,8,2,1,17.6,35.3,False,True,31.624,51.681,30.061,7.079999999999998,True,8.0,110.424325,2.8472742015559644,107.937,123.618,4.138324999999999,37,0.974863300053798,Normal
GAS,Toro Rosso,5,113.513,SUPERSOFT,5,2,1,17.6,35.3,False,True,32.046,51.437,30.03,7.227000000000004,True,9.0,110.871325,2.5910549419453663,108.588,123.514,4.585324999999999,37,0.9771637529261143,Normal
SIR,Williams,5,113.109,Soft,5,2,1,17.6,35.3,False,True,31.727,51.297,30.085,6.822999999999993,True,12.0,111.47879487179486,2.466076482993384,109.113,123.55,5.19279487179487,36,0.9783572840648983,Normal
ERI,Sauber,5,113.96,Soft,5,2,1,17.6,35.3,False,True,32.303,51.635,30.022,7.673999999999992,True,10.0,111.10856410256412,2.685190445023566,108.694,124.533,4.822564102564101,37,0.9764030068636091,Normal
STR,Williams,5,114.092,Soft,5,2,1,17.6,35.3,False,True,32.038,52.023,30.031,7.805999999999997,True,13.0,111.5298205128205,2.6483396772098473,109.287,124.658,5.243820512820511,36,0.9768051992359823,Normal
HAR,Toro Rosso,5,114.076,Soft,5,2,1,17.6,35.3,False,True,31.774,52.139,30.163,7.789999999999992,True,14.0,111.92397435897435,3.4671083544404113,108.756,130.13,5.637974358974357,36,0.9699534117116198,Normal
SAI,Renault,5,114.514,Medium,5,2,1,17.6,35.3,False,True,31.925,52.696,29.893,8.227999999999994,True,11.0,111.39289743589744,2.693904218151086,108.67,123.971,5.1068974358974355,36,0.9763872404248833,Normal
BOT,Mercedes,5,113.789,SUPERSOFT,3,3,1,17.6,35.3,False,True,30.956,52.758,30.075,7.503,True,4.0,109.73320000000001,2.758060617395991,106.286,121.139,3.4471999999999996,37,0.9754820009815991,Normal
RIC,Red Bull Racing,3,113.818,Soft,2,3,1,17.6,35.3,False,True,31.425,52.825,29.568,7.5319999999999965,True,16.0,111.0235,1.601751172935423,109.242,115.261,4.737499999999998,25,0.9857780457201739,Normal
