Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,2,74.771,SUPERSOFT,5,1,1,24.6,71.4,False,True,19.357,38.576,16.838,4.2309999999999945,True,1.0,73.58835714285715,2.1379454720864417,71.795,89.165,3.048357142857137,66,0.9717674652233114,Normal
BOT,Mercedes,2,75.046,SUPERSOFT,5,1,1,24.6,71.4,False,True,19.261,38.873,16.912,4.506,True,5.0,73.90745714285714,3.038607345411042,70.54,89.713,3.3674571428571367,64,0.9605099056641898,Normal
VET,Ferrari,2,75.054,Soft,5,1,1,24.6,71.4,False,True,19.298,38.759,16.997,4.513999999999996,True,6.0,73.95672857142857,3.0502570427273983,70.831,89.943,3.416728571428565,64,0.9603898656933446,Normal
RAI,Ferrari,2,75.045,Soft,5,1,1,24.6,71.4,False,True,19.26,38.862,16.923,4.5049999999999955,True,3.0,73.63277142857143,2.286014975615213,71.769,89.986,3.0927714285714223,66,0.9698886786276506,Normal
VER,Red Bull Racing,2,74.517,SUPERSOFT,5,1,1,24.6,71.4,False,True,19.279,38.574,16.664,3.9769999999999897,True,2.0,73.57639999999999,2.554904799270087,71.578,90.774,3.0363999999999938,66,0.9664408116213635,Normal
LEC,Sauber,2,75.204,SUPERSOFT,7,1,1,24.6,71.4,False,True,19.258,38.824,17.122,4.663999999999987,True,7.0,74.1773,2.40767229792655,72.082,92.03,3.637299999999993,65,0.9685620791431463,Normal
GRO,Haas F1 Team,2,75.305,SUPERSOFT,5,1,1,24.6,71.4,False,True,19.428,38.766,17.111,4.765000000000001,True,8.0,74.26801428571427,2.27509619795248,72.362,90.493,3.7280142857142784,66,0.9702769304307542,Normal
GAS,Toro Rosso,2,75.926,SUPERSOFT,6,1,1,24.6,71.4,False,True,19.55,39.26,17.116,5.385999999999996,True,13.0,75.51666666666667,2.380023477804774,73.822,93.499,4.9766666666666595,64,0.9694464107089704,Normal
RIC,Red Bull Racing,2,75.149,SUPERSOFT,5,1,1,24.6,71.4,False,True,19.096,39.199,16.854,4.608999999999995,True,4.0,73.58968571428572,2.4054311948435156,71.343,90.744,3.049685714285708,66,0.9683475558341492,Normal
ERI,Sauber,2,76.762,SUPERSOFT,7,1,1,24.6,71.4,False,True,20.017,39.745,17.0,6.221999999999994,True,20.0,78.94000000000001,6.813862389765931,75.281,101.63,8.399999999999995,16,0.9205416269322569,Normal
MAG,Haas F1 Team,2,76.693,Soft,2,1,1,24.6,71.4,False,True,19.341,40.382,16.97,6.152999999999992,True,9.0,74.26310000000001,2.3129755548624567,72.206,90.408,3.723099999999993,66,0.9697950627777295,Normal
PER,Racing Point,2,76.998,SUPERSOFT,2,1,1,24.6,71.4,False,True,19.32,40.568,17.11,6.457999999999998,True,10.0,74.69379710144928,2.4049690139847493,72.472,91.208,4.1537971014492685,65,0.968806647172745,Normal
SAI,Renault,2,77.068,Soft,2,1,1,24.6,71.4,False,True,19.482,40.254,17.332,6.527999999999992,True,12.0,75.43271014492754,3.1216272580623574,72.169,92.234,4.8927101449275305,62,0.9602615544696385,Normal
ALO,McLaren,2,76.616,Soft,2,1,1,24.6,71.4,False,True,19.728,39.744,17.144,6.075999999999993,True,17.0,75.83569117647059,3.9271328505148206,72.643,102.275,5.295691176470582,61,0.9507648720011945,Normal
HAR,Toro Rosso,2,77.188,Medium,2,1,1,24.6,71.4,False,True,20.148,39.848,17.192,6.647999999999996,True,11.0,75.40315942028985,2.287314194467263,72.949,91.765,4.863159420289849,65,0.9705586272287469,Normal
SIR,Williams,2,77.226,Soft,2,1,1,24.6,71.4,False,True,19.959,40.277,16.99,6.685999999999993,True,16.0,75.8804705882353,2.4448417308026857,74.262,93.57,5.340470588235288,64,0.9687860583198921,Normal
STR,Williams,2,77.638,Soft,2,1,1,24.6,71.4,False,True,20.166,40.327,17.145,7.097999999999999,True,18.0,76.14489705882353,3.3278625166228637,71.751,93.402,5.604897058823523,62,0.958125746049329,Normal
OCO,Racing Point,2,77.591,Soft,2,1,1,24.6,71.4,False,True,20.048,40.657,16.886,7.050999999999988,True,15.0,75.49439130434783,4.531175867441913,72.352,98.574,4.95439130434782,62,0.9433783973350055,Normal
VAN,McLaren,2,77.923,Soft,2,1,1,24.6,71.4,False,True,19.792,40.732,17.399,7.382999999999996,True,14.0,75.46592753623189,2.3545500839041287,72.968,91.527,4.925927536231877,64,0.9697438237863644,Normal
HAM,Mercedes,3,73.987,SUPERSOFT,6,1,1,24.4,72.2,False,True,19.319,37.823,16.845,3.4469999999999885,True,1.0,73.58835714285715,2.1379454720864417,71.795,89.165,3.048357142857137,66,0.9717674652233114,Normal
BOT,Mercedes,3,74.482,SUPERSOFT,6,1,1,24.4,72.2,False,True,19.077,38.501,16.904,3.941999999999993,True,5.0,73.90745714285714,3.038607345411042,70.54,89.713,3.3674571428571367,64,0.9605099056641898,Normal
VET,Ferrari,3,74.321,Soft,6,1,1,24.4,72.2,False,True,19.161,38.386,16.774,3.7809999999999917,True,6.0,73.95672857142857,3.0502570427273983,70.831,89.943,3.416728571428565,64,0.9603898656933446,Normal
VER,Red Bull Racing,3,74.036,SUPERSOFT,6,1,1,24.4,72.2,False,True,18.886,38.547,16.603,3.495999999999995,True,2.0,73.57639999999999,2.554904799270087,71.578,90.774,3.0363999999999938,66,0.9664408116213635,Normal
RAI,Ferrari,3,75.16,Soft,6,1,1,24.4,72.2,False,True,19.466,38.794,16.9,4.61999999999999,True,3.0,73.63277142857143,2.286014975615213,71.769,89.986,3.0927714285714223,66,0.9698886786276506,Normal
LEC,Sauber,3,75.055,SUPERSOFT,8,1,1,24.4,72.2,False,True,19.113,38.943,16.999,4.515000000000001,True,7.0,74.1773,2.40767229792655,72.082,92.03,3.637299999999993,65,0.9685620791431463,Normal
GRO,Haas F1 Team,3,74.792,SUPERSOFT,6,1,1,24.4,72.2,False,True,19.154,38.746,16.892,4.251999999999995,True,8.0,74.26801428571427,2.27509619795248,72.362,90.493,3.7280142857142784,66,0.9702769304307542,Normal
RIC,Red Bull Racing,3,73.784,SUPERSOFT,6,1,1,24.4,72.2,False,True,18.987,38.242,16.555,3.2439999999999998,True,4.0,73.58968571428572,2.4054311948435156,71.343,90.744,3.049685714285708,66,0.9683475558341492,Normal
GAS,Toro Rosso,3,75.796,SUPERSOFT,7,1,1,24.4,72.2,False,True,19.598,39.103,17.095,5.256,True,13.0,75.51666666666667,2.380023477804774,73.822,93.499,4.9766666666666595,64,0.9694464107089704,Normal
ERI,Sauber,3,75.281,SUPERSOFT,8,1,1,24.4,72.2,False,True,19.185,39.196,16.9,4.741,True,20.0,78.94000000000001,6.813862389765931,75.281,101.63,8.399999999999995,16,0.9205416269322569,Peak
MAG,Haas F1 Team,3,74.939,Soft,3,1,1,24.4,72.2,False,True,19.159,39.11,16.67,4.398999999999987,True,9.0,74.26310000000001,2.3129755548624567,72.206,90.408,3.723099999999993,66,0.9697950627777295,Normal
PER,Racing Point,3,75.216,SUPERSOFT,3,1,1,24.4,72.2,False,True,19.208,39.167,16.841,4.675999999999988,True,10.0,74.69379710144928,2.4049690139847493,72.472,91.208,4.1537971014492685,65,0.968806647172745,Normal
SAI,Renault,3,75.643,Soft,3,1,1,24.4,72.2,False,True,19.442,39.102,17.099,5.102999999999994,True,12.0,75.43271014492754,3.1216272580623574,72.169,92.234,4.8927101449275305,62,0.9602615544696385,Normal
ALO,McLaren,3,76.399,Soft,3,1,1,24.4,72.2,False,True,19.584,39.75,17.065,5.858999999999995,True,17.0,75.83569117647059,3.9271328505148206,72.643,102.275,5.295691176470582,61,0.9507648720011945,Normal
HAR,Toro Rosso,3,76.572,Medium,3,1,1,24.4,72.2,False,True,19.465,40.107,17.0,6.0319999999999965,True,11.0,75.40315942028985,2.287314194467263,72.949,91.765,4.863159420289849,65,0.9705586272287469,Normal
