Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VET,Ferrari,2,92.918,nan,0,0,21,27.1,39.1,False,True,29.696,37.802,25.42,2.2220000000000084,False,1.0,97.91152083333333,14.276188084090325,90.696,144.933,7.215520833333336,33,0.8727473069746136,Outlier
BOT,Mercedes,2,94.46,Soft,4,1,12,27.1,39.1,False,True,30.073,38.731,25.656,3.763999999999996,False,4.0,100.23486000000001,17.18801327338685,91.377,149.372,9.538860000000003,32,0.8536229544190315,Outlier
VER,Red Bull Racing,2,94.366,Soft,4,1,12,27.1,39.1,False,True,30.411,38.236,25.719,3.6700000000000017,False,15.0,102.70486666666667,18.490602318966836,92.007,148.379,12.00886666666667,27,0.8474315708852226,Outlier
RAI,Ferrari,2,94.29,Soft,4,1,12,27.1,39.1,False,True,29.613,38.892,25.785,3.5940000000000083,False,3.0,101.04739215686276,17.836858082160585,90.795,148.092,10.35139215686275,31,0.8499644986926478,Outlier
RIC,Red Bull Racing,2,94.422,Soft,4,1,12,27.1,39.1,False,True,30.099,38.581,25.742,3.725999999999999,False,5.0,101.14707843137255,16.73653049451186,91.589,146.903,10.45107843137255,30,0.8580249565905771,Outlier
HUL,Renault,2,95.432,Medium,1,1,12,27.1,39.1,False,True,30.323,38.99,26.119,4.736000000000004,False,6.0,101.49421568627452,14.759173612792457,93.405,144.483,10.798215686274514,33,0.8730430682341327,Outlier
LEC,Sauber,2,95.725,Soft,6,1,12,27.1,39.1,False,True,30.106,39.338,26.281,5.028999999999996,False,19.0,95.54323529411765,0.30863682731726966,95.209,96.218,4.84723529411765,14,0.9967800646926722,Outlier
OCO,Force India,2,96.41,Soft,4,1,12,27.1,39.1,False,True,30.584,39.451,26.375,5.713999999999999,False,7.0,101.50009803921569,14.66922954112437,93.606,144.982,10.804098039215688,34,0.8737254501970027,Outlier
SAI,Renault,2,96.714,Medium,1,1,12,27.1,39.1,False,True,30.683,39.55,26.481,6.018000000000001,False,17.0,100.37816666666667,12.363304899118663,94.602,144.822,9.682166666666669,24,0.8903393336328362,Outlier
MAG,Haas F1 Team,2,96.991,Soft,4,1,12,27.1,39.1,False,True,30.48,40.189,26.322,6.295000000000002,False,9.0,101.532,14.625675794300927,93.604,145.385,10.836000000000002,32,0.8740877372563741,Outlier
ALO,McLaren,2,96.9,Soft,1,1,12,27.1,39.1,False,True,30.128,40.14,26.632,6.204000000000008,False,8.0,101.47472549019608,14.737875256736892,93.482,144.432,10.77872549019608,32,0.8731817792389794,Outlier
GAS,Toro Rosso,2,97.156,Soft,1,1,12,27.1,39.1,False,True,30.678,39.77,26.708,6.460000000000008,False,13.0,101.52511764705882,14.80515428443359,93.465,146.732,10.829117647058824,33,0.8727317142940023,Outlier
GRO,Haas F1 Team,2,97.831,Soft,4,1,12,27.1,39.1,False,True,30.898,39.849,27.084,7.135000000000005,False,16.0,100.29627777777779,11.230553996285849,94.391,136.146,9.600277777777778,24,0.8993017750290151,Outlier
ERI,Sauber,2,97.975,Soft,1,1,12,27.1,39.1,False,True,30.577,40.834,26.564,7.278999999999996,False,18.0,96.23033333333333,3.2370367711027432,93.675,112.796,5.534333333333336,24,0.967456294785878,Outlier
HAM,Mercedes,2,96.761,Soft,5,1,12,27.1,39.1,False,True,30.512,40.434,25.815,6.064999999999998,False,2.0,100.85194117647058,17.482483985305713,91.245,149.101,10.155941176470591,31,0.8522620618522022,Outlier
VAN,McLaren,2,98.833,Soft,1,1,12,27.1,39.1,False,True,30.974,40.721,27.138,8.137,False,11.0,101.67988,13.624035144477542,93.551,145.081,10.98388,32,0.8818423890688671,Outlier
SIR,Williams,2,99.349,Soft,1,1,12,27.1,39.1,False,True,30.968,41.385,26.996,8.653000000000006,False,14.0,101.76231372549019,12.331094396670878,94.62,142.673,11.066313725490199,32,0.8919210618770557,Outlier
STR,Williams,2,99.343,Medium,1,1,12,27.1,39.1,False,True,30.791,41.17,27.382,8.647000000000006,False,12.0,101.54594117647059,12.344893903815885,93.869,142.232,10.84994117647059,32,0.8916076618885669,Outlier
PER,Force India,2,95.283,Soft,1,1,12,27.1,39.1,False,True,30.034,38.817,26.432,4.587000000000003,False,10.0,101.30741176470588,14.570774950120489,93.472,145.282,10.611411764705885,32,0.8742578274375415,Outlier
VET,Ferrari,3,92.723,Soft,4,1,12,27.4,38.7,False,True,29.537,37.802,25.384,2.027000000000001,False,1.0,97.91152083333333,14.276188084090325,90.696,144.933,7.215520833333336,33,0.8727473069746136,Outlier
BOT,Mercedes,3,93.267,Soft,5,1,12,27.4,38.7,False,True,29.715,37.98,25.572,2.570999999999998,False,4.0,100.23486000000001,17.18801327338685,91.377,149.372,9.538860000000003,32,0.8536229544190315,Outlier
VER,Red Bull Racing,3,93.951,Soft,5,1,12,27.4,38.7,False,True,29.957,38.141,25.853,3.2549999999999955,False,15.0,102.70486666666667,18.490602318966836,92.007,148.379,12.00886666666667,27,0.8474315708852226,Outlier
RAI,Ferrari,3,93.735,Soft,5,1,12,27.4,38.7,False,True,29.427,38.374,25.934,3.0390000000000015,False,3.0,101.04739215686276,17.836858082160585,90.795,148.092,10.35139215686275,31,0.8499644986926478,Outlier
RIC,Red Bull Racing,3,93.976,Soft,5,1,12,27.4,38.7,False,True,29.983,38.371,25.622,3.280000000000001,False,5.0,101.14707843137255,16.73653049451186,91.589,146.903,10.45107843137255,30,0.8580249565905771,Outlier
HUL,Renault,3,94.933,Medium,2,1,12,27.4,38.7,False,True,30.123,38.677,26.133,4.237000000000009,False,6.0,101.49421568627452,14.759173612792457,93.405,144.483,10.798215686274514,33,0.8730430682341327,Outlier
LEC,Sauber,3,95.209,Soft,7,1,12,27.4,38.7,False,True,30.037,38.999,26.173,4.513000000000005,False,19.0,95.54323529411765,0.30863682731726966,95.209,96.218,4.84723529411765,14,0.9967800646926722,Outlier
OCO,Force India,3,95.408,Soft,5,1,12,27.4,38.7,False,True,30.349,38.926,26.133,4.712000000000003,False,7.0,101.50009803921569,14.66922954112437,93.606,144.982,10.804098039215688,34,0.8737254501970027,Outlier
SAI,Renault,3,95.366,Medium,2,1,12,27.4,38.7,False,True,30.247,39.15,25.969,4.670000000000002,False,17.0,100.37816666666667,12.363304899118663,94.602,144.822,9.682166666666669,24,0.8903393336328362,Outlier
MAG,Haas F1 Team,3,95.82,Soft,5,1,12,27.4,38.7,False,True,30.365,39.224,26.231,5.123999999999995,False,9.0,101.532,14.625675794300927,93.604,145.385,10.836000000000002,32,0.8740877372563741,Outlier
ALO,McLaren,3,95.875,Soft,2,1,12,27.4,38.7,False,True,30.228,39.17,26.477,5.179000000000002,False,8.0,101.47472549019608,14.737875256736892,93.482,144.432,10.77872549019608,32,0.8731817792389794,Outlier
GAS,Toro Rosso,3,96.052,Soft,2,1,12,27.4,38.7,False,True,30.272,39.437,26.343,5.356000000000009,False,13.0,101.52511764705882,14.80515428443359,93.465,146.732,10.829117647058824,33,0.8727317142940023,Outlier
GRO,Haas F1 Team,3,96.056,Soft,5,1,12,27.4,38.7,False,True,30.381,39.277,26.398,5.359999999999999,False,16.0,100.29627777777779,11.230553996285849,94.391,136.146,9.600277777777778,24,0.8993017750290151,Outlier
HAM,Mercedes,3,95.486,Soft,6,1,12,27.4,38.7,False,True,29.991,39.057,26.438,4.790000000000006,False,2.0,100.85194117647058,17.482483985305713,91.245,149.101,10.155941176470591,31,0.8522620618522022,Outlier
ERI,Sauber,3,96.953,Soft,2,1,12,27.4,38.7,False,True,30.35,40.243,26.36,6.257000000000005,False,18.0,96.23033333333333,3.2370367711027432,93.675,112.796,5.534333333333336,24,0.967456294785878,Outlier
VAN,McLaren,3,96.697,Soft,2,1,12,27.4,38.7,False,True,30.586,39.747,26.364,6.001000000000005,False,11.0,101.67988,13.624035144477542,93.551,145.081,10.98388,32,0.8818423890688671,Outlier
SIR,Williams,3,97.56,Soft,2,1,12,27.2,39.4,False,True,30.383,40.253,26.924,6.864000000000004,False,14.0,101.76231372549019,12.331094396670878,94.62,142.673,11.066313725490199,32,0.8919210618770557,Outlier
STR,Williams,3,97.575,Medium,2,1,12,27.2,39.4,False,True,30.689,40.032,26.854,6.879000000000005,False,12.0,101.54594117647059,12.344893903815885,93.869,142.232,10.84994117647059,32,0.8916076618885669,Outlier
PER,Force India,3,94.485,Soft,2,1,12,27.2,39.4,False,True,29.858,38.582,26.045,3.7890000000000015,False,10.0,101.30741176470588,14.570774950120489,93.472,145.282,10.611411764705885,32,0.8742578274375415,Outlier
VET,Ferrari,4,93.108,Soft,5,1,1,27.2,39.4,False,True,29.773,37.917,25.418,2.412000000000006,True,1.0,97.91152083333333,14.276188084090325,90.696,144.933,7.215520833333336,33,0.8727473069746136,Normal
BOT,Mercedes,4,93.616,Soft,6,1,1,27.2,39.4,False,True,29.854,38.142,25.62,2.9200000000000017,True,4.0,100.23486000000001,17.18801327338685,91.377,149.372,9.538860000000003,32,0.8536229544190315,Normal
VER,Red Bull Racing,4,94.033,Soft,6,1,1,27.2,39.4,False,True,30.121,38.195,25.717,3.3370000000000033,True,15.0,102.70486666666667,18.490602318966836,92.007,148.379,12.00886666666667,27,0.8474315708852226,Normal
RAI,Ferrari,4,94.025,Soft,6,1,1,27.2,39.4,False,True,29.503,38.936,25.586,3.3290000000000077,True,3.0,101.04739215686276,17.836858082160585,90.795,148.092,10.35139215686275,31,0.8499644986926478,Normal
