Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VET,Ferrari,2,131.618,nan,0,0,4,20.0,27.0,False,True,34.873,49.848,46.897,57.783,False,1.0,77.70317391304349,10.92543717251104,73.964,131.618,3.868173913043483,64,0.8767278755845045,Outlier
BOT,Mercedes,2,130.792,ULTRASOFT,4,1,4,20.0,27.0,False,True,34.457,49.588,46.747,56.95700000000001,False,2.0,77.76169565217391,10.854508560832528,73.992,130.792,3.92669565217392,64,0.8775110189244668,Outlier
VER,Red Bull Racing,2,129.653,HYPERSOFT,4,1,4,20.1,27.7,False,True,34.755,49.153,45.745,55.818,False,3.0,77.73714492753624,10.764142068863983,73.864,129.653,3.9021449275362383,64,0.8783730447976219,Outlier
HAM,Mercedes,2,128.904,ULTRASOFT,4,1,4,20.1,27.7,False,True,34.875,47.313,46.716,55.069,False,5.0,77.91855072463768,10.547416557867765,74.183,128.904,4.083550724637687,64,0.8807743035896973,Outlier
RIC,Red Bull Racing,2,128.844,HYPERSOFT,4,1,4,20.1,27.7,False,True,35.219,47.649,45.976,55.009,False,4.0,77.84949275362318,10.503146158376142,73.835,128.844,4.014492753623194,64,0.8811224397175341,Outlier
RAI,Ferrari,2,129.069,ULTRASOFT,4,1,4,20.1,27.7,False,True,34.945,48.61,45.514,55.233999999999995,False,6.0,77.96589855072463,10.410185005906651,74.075,129.069,4.130898550724644,64,0.8822058572075576,Outlier
OCO,Force India,2,128.981,HYPERSOFT,4,1,4,20.1,27.7,False,True,35.341,48.148,45.492,55.146,False,9.0,79.14182352941177,10.243000752521429,75.498,128.981,5.30682352941177,63,0.8854055950234521,Outlier
HUL,Renault,2,129.285,HYPERSOFT,4,1,4,20.1,27.7,False,True,35.097,48.497,45.691,55.45,False,7.0,79.04132352941177,10.156852702443786,75.488,129.285,5.206323529411771,63,0.8861316101795313,Outlier
SAI,Renault,2,128.343,HYPERSOFT,4,1,4,20.1,27.7,False,True,34.332,48.668,45.343,54.507999999999996,False,8.0,79.06833823529412,10.06189523201315,75.666,128.343,5.233338235294124,63,0.8871101887587467,Outlier
PER,Force India,2,129.605,HYPERSOFT,4,1,4,20.1,27.7,False,True,35.01,48.263,46.332,55.769999999999996,False,14.0,79.33198529411764,10.256491794232268,75.1,129.605,5.496985294117653,61,0.88551550235509,Outlier
LEC,Sauber,2,128.743,ULTRASOFT,1,1,4,20.1,27.7,False,True,34.419,47.987,46.337,54.908,False,10.0,79.19442647058823,9.896275425280981,75.351,128.743,5.359426470588241,63,0.8889190991350824,Outlier
MAG,Haas F1 Team,2,127.568,ULTRASOFT,1,1,4,20.1,27.7,False,True,34.063,47.422,46.083,53.733000000000004,False,13.0,79.29816176470588,9.78722933612568,75.401,127.568,5.463161764705889,63,0.890136539614582,Outlier
ALO,McLaren,2,128.423,ULTRASOFT,1,1,4,20.1,27.7,False,True,33.702,47.255,47.466,54.58800000000001,False,18.0,81.0662564102564,12.345030972905551,76.18,128.423,7.2312564102564165,34,0.8678421921082439,Outlier
GAS,Toro Rosso,2,125.067,HYPERSOFT,1,1,4,20.1,27.7,False,True,32.207,46.572,46.288,51.232,False,11.0,79.11011764705883,9.26709048598884,75.699,125.067,5.275117647058829,63,0.8951416243876172,Outlier
