Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VET,Ferrari,2,98.417,nan,0,0,,19.8,23.4,False,True,26.169,29.468,42.78,2.632000000000005,False,8.0,100.9767358490566,9.697514733466795,97.479,148.497,5.191735849056609,20,0.9123778595072941,Outlier
BOT,Mercedes,2,99.357,Soft,4,1,,19.8,23.4,False,True,26.323,29.919,43.115,3.5720000000000027,False,2.0,100.42898113207546,9.721421842212818,96.987,147.778,4.643981132075474,20,0.911744110055757,Outlier
VER,Red Bull Racing,2,99.367,ULTRASOFT,4,1,,19.8,23.4,False,True,26.431,29.77,43.166,3.582000000000008,False,5.0,100.51145283018867,9.495297671369999,96.206,145.615,4.726452830188682,20,0.9136844091105532,Outlier
RAI,Ferrari,2,99.58,Soft,4,1,,19.8,23.4,False,True,26.522,30.003,43.055,3.7950000000000017,False,3.0,101.58009259259259,10.690701391234718,96.456,145.212,5.795092592592596,20,0.9047775382012999,Outlier
HAM,Mercedes,2,99.66,Soft,4,1,,19.8,23.4,False,True,26.39,30.157,43.113,3.875,False,4.0,100.66477358490566,9.380564325408944,96.878,145.813,4.879773584905664,20,0.9147572763777239,Outlier
RIC,Red Bull Racing,2,100.48,ULTRASOFT,4,1,,19.8,23.4,False,True,26.789,30.247,43.444,4.695000000000007,False,1.0,100.41384905660378,9.532520143407526,95.785,145.287,4.6288490566037765,20,0.9132984543940124,Outlier
HUL,Renault,2,100.964,ULTRASOFT,4,1,,19.8,23.4,False,True,26.914,30.533,43.517,5.179000000000002,False,6.0,101.85929629629629,9.582288848230858,96.881,144.987,6.074296296296301,20,0.9140151422307597,Outlier
SAI,Renault,2,101.594,ULTRASOFT,4,1,,19.6,23.5,False,True,27.102,30.876,43.616,5.8089999999999975,False,9.0,102.13012962962964,8.9029760999179,97.754,142.335,6.345129629629633,20,0.9198169226968792,Outlier
GRO,Haas F1 Team,2,102.127,ULTRASOFT,4,1,,19.6,23.5,False,True,27.081,30.928,44.118,6.341999999999999,False,17.0,103.54534545454545,10.534685110550347,97.41,145.15,7.760345454545458,18,0.9076553095369387,Outlier
MAG,Haas F1 Team,2,102.22,Soft,5,1,,19.6,23.5,False,True,27.151,31.108,43.961,6.435000000000002,False,10.0,103.06607272727273,10.63989685597205,98.152,146.169,7.28107272727273,20,0.906426224630339,Outlier
ALO,McLaren,2,102.614,Soft,1,1,,19.6,23.5,False,True,27.255,31.066,44.293,6.829000000000008,False,7.0,102.88872727272728,9.986523093565472,97.234,143.51,7.1037272727272756,20,0.911526016011853,Outlier
STR,Williams,2,102.471,Soft,1,1,,19.6,23.5,False,True,27.272,30.956,44.243,6.686000000000007,False,14.0,103.325,9.367862037207217,98.5,140.312,7.540000000000003,20,0.9168726229163097,Outlier
OCO,Force India,2,102.285,Soft,1,1,,19.6,23.5,False,True,27.023,31.193,44.069,6.5,False,11.0,103.10381818181818,10.57801647564053,97.985,149.617,7.318818181818186,20,0.906950688229885,Outlier
PER,Force India,2,102.503,ULTRASOFT,4,1,,19.6,23.5,False,True,27.098,31.503,43.902,6.7180000000000035,False,12.0,103.10952727272728,9.894097632304618,97.673,139.734,7.324527272727275,20,0.9124444225517578,Outlier
SIR,Williams,2,102.776,Soft,1,1,,19.6,23.5,False,True,27.208,31.14,44.428,6.991,False,15.0,103.34263636363637,8.620276562469904,98.624,135.653,7.557636363636367,21,0.9230077501809983,Outlier
VAN,McLaren,2,102.97,Soft,1,1,,19.6,23.5,False,True,27.385,31.263,44.322,7.185000000000002,False,13.0,103.17678181818182,9.526864514100831,98.137,141.609,7.391781818181823,20,0.9154697756094519,Outlier
LEC,Sauber,2,103.172,Soft,1,1,,19.6,23.5,False,True,27.124,31.578,44.47,7.3870000000000005,False,19.0,101.69543396226416,3.325600018212064,98.808,118.719,5.910433962264156,20,0.9683339623295816,Outlier
HAR,Toro Rosso,2,103.976,ULTRASOFT,1,1,,19.6,23.5,False,True,27.67,31.854,44.452,8.191000000000003,False,20.0,102.04127083333333,4.155939736726387,99.376,118.627,6.256270833333336,14,0.9608658295785966,Outlier
GAS,Toro Rosso,2,103.991,Medium,1,1,,19.6,23.5,False,True,27.89,31.55,44.551,8.206000000000003,False,18.0,102.18018518518518,7.495041397481746,98.367,137.386,6.395185185185188,21,0.9316614915599704,Outlier
ERI,Sauber,2,103.963,Soft,1,1,,19.6,23.5,False,True,27.364,31.816,44.783,8.177999999999997,False,16.0,101.3952075471698,4.031599064116877,98.386,125.988,5.610207547169814,20,0.9617592603465497,Outlier
VET,Ferrari,3,98.472,Soft,4,1,,19.7,23.1,False,True,26.272,29.507,42.693,2.6869999999999976,False,8.0,100.9767358490566,9.697514733466795,97.479,148.497,5.191735849056609,20,0.9123778595072941,Outlier
BOT,Mercedes,3,99.074,Soft,5,1,,19.7,23.1,False,True,26.438,29.795,42.841,3.2890000000000015,False,2.0,100.42898113207546,9.721421842212818,96.987,147.778,4.643981132075474,20,0.911744110055757,Outlier
VER,Red Bull Racing,3,99.319,ULTRASOFT,5,1,,19.7,23.1,False,True,26.578,29.795,42.946,3.534000000000006,False,5.0,100.51145283018867,9.495297671369999,96.206,145.615,4.726452830188682,20,0.9136844091105532,Outlier
RAI,Ferrari,3,99.219,Soft,5,1,,19.7,23.1,False,True,26.341,29.964,42.914,3.4339999999999975,False,3.0,101.58009259259259,10.690701391234718,96.456,145.212,5.795092592592596,20,0.9047775382012999,Outlier
HAM,Mercedes,3,99.553,Soft,5,1,,19.7,23.1,False,True,26.397,30.136,43.02,3.7680000000000007,False,4.0,100.66477358490566,9.380564325408944,96.878,145.813,4.879773584905664,20,0.9147572763777239,Outlier
RIC,Red Bull Racing,3,100.059,ULTRASOFT,5,1,,19.7,23.1,False,True,26.645,30.241,43.173,4.274000000000001,False,1.0,100.41384905660378,9.532520143407526,95.785,145.287,4.6288490566037765,20,0.9132984543940124,Outlier
HUL,Renault,3,100.611,ULTRASOFT,5,1,,19.7,23.1,False,True,26.945,30.356,43.31,4.826000000000008,False,6.0,101.85929629629629,9.582288848230858,96.881,144.987,6.074296296296301,20,0.9140151422307597,Outlier
SAI,Renault,3,100.866,ULTRASOFT,5,1,,19.7,23.1,False,True,26.934,30.439,43.493,5.081000000000003,False,9.0,102.13012962962964,8.9029760999179,97.754,142.335,6.345129629629633,20,0.9198169226968792,Outlier
GRO,Haas F1 Team,3,100.893,ULTRASOFT,5,1,,19.7,23.1,False,True,27.012,30.333,43.548,5.108000000000004,False,17.0,103.54534545454545,10.534685110550347,97.41,145.15,7.760345454545458,18,0.9076553095369387,Outlier
MAG,Haas F1 Team,3,101.199,Soft,6,1,,19.7,23.1,False,True,26.801,30.78,43.618,5.4140000000000015,False,10.0,103.06607272727273,10.63989685597205,98.152,146.169,7.28107272727273,20,0.906426224630339,Outlier
ALO,McLaren,3,100.881,Soft,2,1,,19.7,23.1,False,True,27.032,30.332,43.517,5.096000000000004,False,7.0,102.88872727272728,9.986523093565472,97.234,143.51,7.1037272727272756,20,0.911526016011853,Outlier
STR,Williams,3,101.216,Soft,2,1,,19.7,23.1,False,True,27.184,30.502,43.53,5.430999999999997,False,14.0,103.325,9.367862037207217,98.5,140.312,7.540000000000003,20,0.9168726229163097,Outlier
OCO,Force India,3,101.553,Soft,2,1,,19.7,23.1,False,True,26.909,30.977,43.667,5.768000000000001,False,11.0,103.10381818181818,10.57801647564053,97.985,149.617,7.318818181818186,20,0.906950688229885,Outlier
PER,Force India,3,101.96,ULTRASOFT,5,1,,19.7,23.1,False,True,27.434,30.961,43.565,6.174999999999997,False,12.0,103.10952727272728,9.894097632304618,97.673,139.734,7.324527272727275,20,0.9124444225517578,Outlier
SIR,Williams,3,102.127,Soft,2,1,,19.7,23.1,False,True,27.11,31.029,43.988,6.341999999999999,False,15.0,103.34263636363637,8.620276562469904,98.624,135.653,7.557636363636367,21,0.9230077501809983,Outlier
VAN,McLaren,3,102.165,Soft,2,1,,19.7,23.1,False,True,27.217,31.1,43.848,6.38000000000001,False,13.0,103.17678181818182,9.526864514100831,98.137,141.609,7.391781818181823,20,0.9154697756094519,Outlier
LEC,Sauber,3,102.543,Soft,2,1,,19.7,23.1,False,True,27.263,31.115,44.165,6.75800000000001,False,19.0,101.69543396226416,3.325600018212064,98.808,118.719,5.910433962264156,20,0.9683339623295816,Outlier
