Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
STR,Williams,2,141.266,Soft,1,2,4,24.5,49.9,False,True,34.42,39.454,67.392,47.041,False,17.0,102.4190652173913,10.279387630706355,98.319,148.91,8.19406521739131,42,0.9087885647856978,Outlier
SIR,Williams,2,134.396,Soft,1,2,4,24.5,49.9,False,True,33.193,34.909,66.294,40.17099999999999,False,15.0,102.90366,9.918600608195598,98.3,148.796,8.678660000000002,42,0.9120864929072775,Outlier
ALO,McLaren,2,135.08,Soft,1,2,4,24.5,49.9,False,True,34.993,38.163,61.924,40.85500000000002,False,16.0,102.82635416666666,10.246668892012446,95.133,147.928,8.601354166666672,40,0.9093800747973727,Outlier
VET,Ferrari,2,129.901,Soft,1,2,4,24.5,49.9,False,True,32.051,35.733,62.117,35.676000000000016,False,5.0,100.75927450980392,10.667213745075953,94.485,148.587,6.534274509803927,41,0.9042668048491711,Outlier
BOT,Mercedes,2,112.453,Soft,1,2,4,24.5,49.9,False,True,35.656,31.43,45.367,18.22800000000001,False,7.0,100.37966666666667,8.105496092569945,94.225,129.285,6.154666666666673,41,0.9252847496707118,Outlier
HAM,Mercedes,3,149.156,SUPERSOFT,4,1,4,24.2,49.8,False,True,41.667,41.991,65.498,54.93100000000001,False,1.0,100.45100000000001,13.179013131490535,94.509,149.223,6.226000000000006,42,0.8840182028647657,Outlier
VER,Red Bull Racing,3,148.906,SUPERSOFT,5,1,4,24.2,49.8,False,True,41.813,41.485,65.608,54.68100000000001,False,2.0,100.56378431372548,13.210659905263972,94.275,149.073,6.338784313725495,42,0.8838872824565372,Outlier
SAI,Renault,3,149.14,ULTRASOFT,5,1,4,24.2,49.8,False,True,41.945,41.7,65.495,54.91499999999999,False,8.0,102.1115294117647,12.609756835645866,95.638,149.14,7.886529411764711,41,0.8900835472812658,Outlier
RIC,Red Bull Racing,3,148.927,SUPERSOFT,7,1,4,24.2,49.8,False,True,42.521,41.01,65.396,54.702,False,4.0,101.05958823529411,12.776249154077219,95.382,148.945,6.834588235294124,41,0.8877660194972123,Outlier
MAG,Haas F1 Team,3,148.69,ULTRASOFT,5,1,4,24.2,49.8,False,True,43.14,41.38,64.17,54.465,False,6.0,101.91360784313726,12.52136614124582,95.425,149.407,7.688607843137261,41,0.8905809499903884,Outlier
LEC,Sauber,3,149.252,ULTRASOFT,5,1,4,24.2,49.8,False,True,42.641,42.941,63.67,55.027000000000015,False,10.0,102.16982352941177,12.482612671561792,95.977,149.252,7.944823529411771,41,0.891126494253632,Outlier
RAI,Ferrari,3,148.323,ULTRASOFT,5,1,4,24.2,49.8,False,True,42.195,43.214,62.914,54.09800000000001,False,3.0,100.80821568627451,12.86223306010854,94.398,149.266,6.583215686274515,41,0.886846289409781,Outlier
GRO,Haas F1 Team,3,148.655,ULTRASOFT,5,1,4,24.2,49.8,False,True,42.069,42.804,63.782,54.43000000000001,False,11.0,102.49414,12.754030304998352,95.695,149.133,8.269140000000007,41,0.8893342057297269,Outlier
PER,Force India,3,147.577,Soft,2,1,4,24.2,49.8,False,True,41.122,43.237,63.218,53.352000000000004,False,18.0,104.93812,15.282387287113659,98.319,149.42,10.713120000000004,21,0.8728803626604579,Outlier
HUL,Renault,3,148.462,Soft,2,1,4,24.2,49.8,False,True,40.738,43.492,64.232,54.236999999999995,False,9.0,102.00505882352941,12.176087692541913,95.873,148.992,7.780058823529418,41,0.8933616620251041,Outlier
ERI,Sauber,3,148.42,SUPERSOFT,2,1,4,24.2,49.8,False,True,40.202,45.089,63.129,54.19499999999999,False,13.0,103.11273999999999,11.772163757919156,96.494,149.532,8.887740000000006,40,0.8975308036752593,Outlier
VAN,McLaren,3,148.221,SUPERSOFT,2,1,4,24.2,49.8,False,True,40.379,44.888,62.954,53.99600000000001,False,12.0,101.70051020408162,9.934514124007373,96.675,148.221,7.475510204081639,40,0.9110089850044695,Outlier
HAR,Toro Rosso,3,149.064,ULTRASOFT,2,1,4,24.2,49.8,False,True,40.038,44.913,64.113,54.839,False,14.0,102.09834693877552,9.532472588366522,96.839,149.064,7.873346938775516,40,0.914607161098116,Outlier
