Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VET,Ferrari,2,77.942,nan,0,0,,26.7,50.6,False,True,17.062,36.981,23.899,2.3969999999999914,False,18.0,79.05742000000001,2.6627003869403385,77.29,92.038,3.5124199999999983,18,0.9674168323011201,Outlier
BOT,Mercedes,2,78.355,ULTRASOFT,4,1,,26.7,50.6,False,True,17.304,37.01,24.041,2.8100000000000023,False,2.0,82.91527272727274,14.179361806779331,75.721,145.527,7.3702727272727255,28,0.8539634875312653,Outlier
RAI,Ferrari,2,78.311,ULTRASOFT,4,1,,26.7,50.6,False,True,17.096,37.081,24.134,2.7660000000000053,False,3.0,82.92818181818183,14.051537290011634,75.99,138.425,7.383181818181817,28,0.8551084967122319,Outlier
VER,Red Bull Racing,2,78.816,ULTRASOFT,4,1,,26.7,50.6,False,True,17.239,37.36,24.217,3.271000000000001,False,4.0,82.93053030303031,11.713492592495733,75.852,129.66,7.385530303030302,25,0.8762363196942102,Outlier
MAG,Haas F1 Team,2,80.464,ULTRASOFT,5,1,,26.7,50.6,False,True,17.48,37.717,25.267,4.918999999999997,False,11.0,83.32210606060606,11.228210639180618,77.697,145.657,7.777106060606059,28,0.8812461868865855,Outlier
HUL,Renault,2,80.742,ULTRASOFT,4,1,,26.7,50.6,False,True,17.529,37.833,25.38,5.197000000000003,False,5.0,83.18351515151515,9.999365406391352,77.91,133.756,7.63851515151515,28,0.8926909605442228,Outlier
GRO,Haas F1 Team,2,80.914,ULTRASOFT,5,1,,26.7,50.6,False,True,17.71,37.783,25.421,5.369,False,6.0,83.20874242424243,10.770138255395162,76.716,133.227,7.663742424242423,28,0.8853983131368713,Outlier
PER,Force India,2,81.113,ULTRASOFT,4,1,,26.7,50.6,False,True,17.765,37.857,25.491,5.567999999999998,False,7.0,83.22607575757576,10.32636510522847,77.867,129.004,7.681075757575755,28,0.8896195009986729,Outlier
SAI,Renault,2,81.074,ULTRASOFT,4,1,,26.7,50.6,False,True,17.747,37.833,25.494,5.528999999999996,False,12.0,83.25275757575757,9.36847086128723,77.43,120.854,7.707757575757575,27,0.8988517965116923,Outlier
LEC,Sauber,2,81.183,ULTRASOFT,4,1,,26.7,50.6,False,True,17.764,37.877,25.542,5.638000000000005,False,15.0,84.3565625,10.727649549326943,77.852,129.832,8.811562499999999,22,0.8871773839408613,Outlier
ALO,McLaren,2,81.211,Soft,1,1,,26.7,50.6,False,True,17.728,38.12,25.363,5.665999999999997,False,16.0,84.741796875,10.157434137599546,77.741,128.538,9.196796874999999,19,0.8929661070040603,Outlier
HAM,Mercedes,2,81.034,Soft,1,1,,26.7,50.6,False,True,17.963,37.716,25.355,5.489000000000004,False,1.0,82.7240303030303,13.827674381437665,75.545,137.019,7.179030303030301,26,0.8567847721940626,Outlier
OCO,Force India,2,81.919,ULTRASOFT,1,1,,26.7,50.6,False,True,18.544,37.907,25.468,6.373999999999995,False,8.0,83.2069696969697,9.377503451542045,77.941,129.098,7.661969696969696,28,0.8987140809615032,Outlier
SIR,Williams,2,82.124,Soft,1,1,,26.7,50.6,False,True,18.135,38.076,25.913,6.5789999999999935,False,19.0,82.16412,5.592526261476661,78.934,111.495,6.619119999999998,17,0.936272333780699,Outlier
ERI,Sauber,2,82.237,Soft,1,1,,26.7,50.6,False,True,18.366,38.205,25.666,6.691999999999993,False,9.0,83.19383333333333,9.035637168088,77.745,129.08,7.648833333333332,26,0.9020309113891231,Outlier
STR,Williams,2,82.72,Soft,1,1,,26.7,50.6,False,True,18.365,38.743,25.612,7.174999999999997,False,17.0,83.93682692307692,10.267056218840407,78.861,131.411,8.391826923076922,17,0.8910123884874982,Outlier
HAR,Toro Rosso,2,83.088,Soft,1,1,,26.7,50.6,False,True,18.251,38.864,25.973,7.542999999999992,False,10.0,83.20862121212122,8.151515877459008,77.681,122.783,7.663621212121212,27,0.9107760108824453,Outlier
