Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,2,83.184,nan,0,0,,32.7,36.1,False,True,29.843,30.135,23.206,3.171999999999997,False,1.0,83.32930434782608,3.405719934706504,81.107,100.241,3.317304347826086,59,0.9607342020956535,Outlier
BOT,Mercedes,2,83.788,ULTRASOFT,1,1,,32.7,36.1,False,True,29.681,30.555,23.552,3.7759999999999962,False,5.0,84.03839130434783,3.221909454935942,81.736,99.52,4.026391304347825,59,0.9630770301396978,Outlier
VET,Ferrari,2,84.222,Soft,1,1,,32.7,36.1,False,True,29.813,30.817,23.592,4.209999999999994,False,2.0,83.5474347826087,3.340483284330281,80.056,100.573,3.5354347826086947,59,0.9615541106445116,Outlier
RAI,Ferrari,2,84.055,ULTRASOFT,1,1,,32.7,36.1,False,True,29.758,30.593,23.704,4.043000000000006,False,3.0,83.57584057971015,4.273565316960659,80.292,102.489,3.5638405797101447,57,0.9513535091860809,Outlier
VER,Red Bull Racing,2,84.621,ULTRASOFT,1,1,,32.7,36.1,False,True,30.075,30.74,23.806,4.608999999999995,False,19.0,84.3125,0.2919743139387409,83.985,84.621,4.3004999999999995,0,0.9965489494934354,Outlier
GAS,Toro Rosso,2,85.662,ULTRASOFT,1,1,,32.7,36.1,False,True,30.4,31.095,24.167,5.650000000000006,False,6.0,84.31807246376812,3.8881694933963002,81.685,106.181,4.306072463768116,59,0.9559195652470432,Outlier
MAG,Haas F1 Team,2,86.151,ULTRASOFT,1,1,,32.7,36.1,False,True,30.165,31.775,24.211,6.138999999999996,False,7.0,84.54307352941177,3.6848675316564643,81.302,103.966,4.531073529411764,58,0.9582346874772252,Outlier
SAI,Renault,2,86.48,Soft,1,1,,32.7,36.1,False,True,30.614,31.486,24.38,6.4680000000000035,False,9.0,85.25298529411765,3.465102800450653,82.774,102.309,5.240985294117646,58,0.9609425442446747,Outlier
HAR,Toro Rosso,2,86.597,ULTRASOFT,1,1,,32.7,36.1,False,True,30.589,31.757,24.251,6.584999999999994,False,11.0,85.26885294117648,3.528761413354446,82.612,102.118,5.2568529411764695,58,0.9602606281823562,Outlier
HUL,Renault,2,86.727,Soft,1,1,,32.7,36.1,False,True,30.665,31.852,24.21,6.715000000000003,False,12.0,85.35307352941176,4.1363565491837635,81.261,102.149,5.341073529411765,58,0.9537782669355371,Outlier
ALO,McLaren,2,87.359,Soft,1,1,,32.7,36.1,False,True,30.79,32.188,24.381,7.346999999999994,False,8.0,85.04004411764706,3.5128813807243047,82.09,102.197,5.02804411764706,58,0.9603301487674859,Outlier
GRO,Haas F1 Team,2,87.447,ULTRASOFT,1,1,,32.7,36.1,False,True,30.735,32.352,24.36,7.435000000000002,False,10.0,85.22204411764706,3.5897657406370467,82.606,101.609,5.210044117647058,58,0.9595800857299813,Outlier
VAN,McLaren,2,87.599,Soft,1,1,,32.7,36.1,False,True,30.813,32.19,24.596,7.587000000000003,False,18.0,85.36235416666666,3.4340507096070145,83.077,101.517,5.350354166666666,40,0.9613266920615544,Outlier
OCO,Force India,2,87.796,Soft,1,1,,32.7,36.1,False,True,30.691,32.433,24.672,7.784000000000006,False,13.0,85.44189705882353,4.067255134919429,82.876,106.822,5.42989705882353,58,0.9545604551575259,Outlier
PER,Force India,2,87.807,ULTRASOFT,1,1,,32.7,36.1,False,True,30.618,32.495,24.694,7.795000000000002,False,14.0,85.57748529411765,4.040040063687292,83.263,106.036,5.565485294117646,59,0.9549190847710075,Outlier
RIC,Red Bull Racing,2,87.65,Soft,1,1,,32.7,36.1,False,True,30.46,32.761,24.429,7.638000000000005,False,4.0,83.83588405797101,4.178241086222172,80.012,104.904,3.823884057971014,59,0.9525276075927929,Outlier
SIR,Williams,2,88.016,Soft,1,1,,32.7,36.1,False,True,30.891,32.448,24.677,8.004000000000005,False,16.0,86.39819402985074,3.390948867110466,83.708,103.23,6.386194029850746,57,0.9622343107673742,Outlier
ERI,Sauber,2,88.068,ULTRASOFT,1,1,,32.7,36.1,False,True,30.8,32.572,24.696,8.055999999999997,False,15.0,86.24726865671641,3.6217662591366757,83.671,104.012,6.235268656716419,59,0.9596995087069997,Outlier
STR,Williams,2,88.049,Medium,1,1,,32.7,36.1,False,True,31.054,32.154,24.841,8.037000000000006,False,17.0,86.38468656716418,3.440610288574851,82.66,102.679,6.372686567164179,57,0.9616966443862632,Outlier
HAM,Mercedes,3,82.893,ULTRASOFT,1,1,,32.9,35.7,False,True,29.583,29.993,23.317,2.8810000000000002,False,1.0,83.32930434782608,3.405719934706504,81.107,100.241,3.317304347826086,59,0.9607342020956535,Outlier
BOT,Mercedes,3,83.455,ULTRASOFT,2,1,,32.9,35.7,False,True,29.628,30.305,23.522,3.442999999999998,False,5.0,84.03839130434783,3.221909454935942,81.736,99.52,4.026391304347825,59,0.9630770301396978,Outlier
VET,Ferrari,3,83.482,Soft,2,1,,32.9,35.7,False,True,29.609,30.376,23.497,3.469999999999999,False,2.0,83.5474347826087,3.340483284330281,80.056,100.573,3.5354347826086947,59,0.9615541106445116,Outlier
RAI,Ferrari,3,84.161,ULTRASOFT,2,1,,32.9,35.7,False,True,29.987,30.5,23.674,4.149000000000001,False,3.0,83.57584057971015,4.273565316960659,80.292,102.489,3.5638405797101447,57,0.9513535091860809,Outlier
VER,Red Bull Racing,3,84.485,ULTRASOFT,2,1,,32.9,35.7,False,True,29.974,30.544,23.967,4.472999999999999,False,19.0,84.3125,0.2919743139387409,83.985,84.621,4.3004999999999995,0,0.9965489494934354,Outlier
