Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
RAI,Ferrari,2,137.567,nan,0,0,67,21.8,66.2,False,True,46.742,44.879,45.946,55.07000000000001,False,2.0,86.84930769230769,9.802424197042454,83.515,137.567,4.3523076923076935,45,0.8985799425894968,Outlier
HAM,Mercedes,2,135.751,SUPERSOFT,4,1,67,21.8,66.2,False,True,44.461,44.951,46.339,53.254000000000005,False,1.0,86.61550000000001,9.549104387734124,82.497,135.751,4.118500000000001,46,0.9007004245633633,Outlier
VER,Red Bull Racing,2,136.204,SUPERSOFT,4,1,674,21.8,66.2,False,True,44.392,46.029,45.783,53.70700000000001,False,5.0,86.85867307692307,9.555185954052172,83.609,136.204,4.361673076923077,46,0.9008940618072102,Outlier
BOT,Mercedes,2,137.044,SUPERSOFT,4,1,674,21.8,66.2,False,True,44.87,45.55,46.624,54.54700000000001,False,3.0,86.85211538461539,9.515427849702606,82.907,137.044,4.3551153846153845,45,0.9012589972687609,Outlier
GRO,Haas F1 Team,2,137.281,SUPERSOFT,4,1,674,21.8,66.2,False,True,45.778,45.391,46.112,54.784000000000006,False,20.0,87.64251923076924,9.416344352263632,84.243,137.281,5.145519230769231,46,0.9029831588311555,Outlier
SAI,Renault,2,137.249,SUPERSOFT,4,1,674,21.8,66.2,False,True,46.118,45.533,45.598,54.751999999999995,False,8.0,88.03834615384615,9.242685888141372,84.056,137.249,5.5413461538461535,45,0.9049898454597796,Outlier
OCO,Racing Point,2,137.3,SUPERSOFT,4,1,674,21.8,66.2,False,True,45.976,46.006,45.318,54.80300000000001,False,6.0,87.62536538461539,9.236103324919124,84.179,137.3,5.1283653846153845,45,0.9046462597772899,Outlier
STR,Williams,2,138.021,SUPERSOFT,4,1,674,21.8,66.2,False,True,46.273,45.857,45.891,55.52399999999999,False,9.0,88.21,9.265285731157999,84.58,138.021,5.713000000000001,44,0.9049473344790991,Outlier
SIR,Williams,2,137.479,SUPERSOFT,1,1,674,21.8,66.2,False,True,46.079,46.175,45.225,54.98200000000001,False,10.0,88.29807843137256,9.161326556439604,83.768,137.479,5.8010784313725505,44,0.9059985379801438,Outlier
ALO,McLaren,2,137.507,SUPERSOFT,1,1,674,21.8,66.2,False,True,45.79,46.072,45.645,55.010000000000005,False,18.0,100.420125,19.49130916542403,87.009,137.507,17.923125,5,0.8374524556304216,Outlier
