Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAM,Mercedes,2,94.467,nan,0,0,1,28.7,49.3,False,True,33.75,42.325,18.392,2.149000000000001,True,1.0,98.89482692307692,13.634967301845592,92.785,149.544,6.576826923076926,42,0.8788323803863688,Normal
BOT,Mercedes,2,95.443,Soft,4,1,1,28.7,49.3,False,True,34.362,42.762,18.319,3.125,True,2.0,99.11748076923078,13.409926580036739,93.11,148.871,6.799480769230771,42,0.8808296849991893,Normal
VER,Red Bull Racing,2,95.111,SUPERSOFT,4,1,1,28.7,49.3,False,True,34.302,42.501,18.308,2.7930000000000064,True,3.0,99.09461538461538,13.476437508763276,93.367,148.237,6.776615384615386,42,0.8802850540846638,Normal
VET,Ferrari,2,95.751,SUPERSOFT,4,1,1,28.7,49.3,False,True,34.734,42.625,18.392,3.433000000000007,True,6.0,100.153,13.101179872027394,92.318,147.986,7.835000000000003,42,0.8843205620593324,Normal
RAI,Ferrari,2,96.5,SUPERSOFT,4,1,1,28.7,49.3,False,True,35.333,42.921,18.246,4.182000000000002,True,5.0,99.77909615384615,12.989555238894773,94.223,148.347,7.461096153846156,43,0.884812356284586,Normal
GRO,Haas F1 Team,2,98.144,Soft,4,1,1,28.7,49.3,False,True,36.051,43.419,18.674,5.826000000000008,True,8.0,100.47007692307693,12.642209686548968,94.786,148.693,8.152076923076926,42,0.8882330994670821,Normal
GAS,Toro Rosso,2,97.953,SUPERSOFT,4,1,1,28.7,49.3,False,True,35.755,43.569,18.629,5.635000000000005,True,11.0,101.13880392156862,12.435384037527117,94.133,148.291,8.82080392156863,41,0.8905087127542943,Normal
PER,Racing Point,2,98.207,SUPERSOFT,4,1,1,28.7,49.3,False,True,35.797,43.793,18.617,5.888999999999996,True,7.0,100.28953846153846,12.504979220783099,94.073,148.037,7.971538461538463,42,0.8891348668558293,Normal
OCO,Racing Point,2,98.35,SUPERSOFT,4,1,1,28.7,49.3,False,True,35.895,43.691,18.764,6.0319999999999965,True,9.0,100.44507692307693,12.401440654524473,94.67,148.601,8.127076923076924,42,0.8901034704416435,Normal
HAR,Toro Rosso,2,98.547,SUPERSOFT,4,1,1,28.7,49.3,False,True,35.954,43.858,18.735,6.228999999999999,True,13.0,101.53268627450981,12.097603464306793,94.857,149.148,9.214686274509807,41,0.8935353989494035,Normal
