Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VER,Red Bull Racing,2,80.959,ULTRASOFT,5,1,1,19.4,53.2,False,True,29.192,31.076,20.691,2.2180000000000035,True,1.0,83.22581428571428,6.6869143060177505,79.186,111.497,4.484814285714287,58,0.9256288357527096,Normal
HAM,Mercedes,2,81.225,ULTRASOFT,5,1,1,19.4,53.2,False,True,28.746,31.534,20.945,2.4839999999999947,True,4.0,84.33457142857144,6.665875089754932,80.728,113.241,5.59357142857143,59,0.9267489848150084,Normal
RIC,Red Bull Racing,2,81.553,ULTRASOFT,5,1,1,19.4,53.2,False,True,28.871,31.711,20.971,2.8119999999999976,True,17.0,83.12221666666666,5.751920357560379,79.462,112.689,4.381216666666668,54,0.9352801551705373,Normal
VET,Ferrari,2,81.799,ULTRASOFT,5,1,1,19.4,53.2,False,True,28.503,32.156,21.14,3.058000000000007,True,2.0,83.42365714285714,6.829141338190127,79.522,112.589,4.682657142857144,59,0.9243331901821946,Normal
BOT,Mercedes,2,82.541,ULTRASOFT,7,1,1,19.4,53.2,False,True,28.892,32.201,21.448,3.799999999999997,True,5.0,84.54485507246378,7.051499841033741,78.741,113.517,5.803855072463768,57,0.9230154972029935,Normal
RAI,Ferrari,2,82.058,ULTRASOFT,6,1,1,19.4,53.2,False,True,28.505,32.287,21.266,3.3170000000000073,True,3.0,83.85172857142857,6.192950218072134,80.334,109.7,5.110728571428573,61,0.9312235847656304,Normal
SAI,Renault,2,83.83,HYPERSOFT,5,1,1,19.4,53.2,False,True,29.75,32.937,21.143,5.088999999999999,True,19.0,85.57885185185185,4.796859154325749,82.386,102.416,6.837851851851853,23,0.9469231378550608,Normal
HUL,Renault,2,83.422,HYPERSOFT,5,1,1,19.4,53.2,False,True,29.041,33.166,21.215,4.680999999999997,True,6.0,85.87013235294117,6.09555273387697,80.637,111.281,7.129132352941177,58,0.9337192700938116,Normal
LEC,Sauber,2,83.965,HYPERSOFT,5,1,1,19.4,53.2,False,True,29.146,32.923,21.896,5.224000000000004,True,7.0,86.01401470588236,6.021097221109221,80.537,108.788,7.273014705882353,59,0.9345782593725147,Normal
ERI,Sauber,2,84.159,HYPERSOFT,5,1,1,19.4,53.2,False,True,29.159,33.349,21.651,5.418000000000006,True,9.0,86.44563235294117,6.091562047311928,82.44,109.978,7.704632352941178,59,0.934171744812535,Normal
PER,Racing Point,2,84.416,SUPERSOFT,2,1,1,19.4,53.2,False,True,29.423,33.116,21.877,5.674999999999997,True,18.0,87.42867567567568,8.355914279565544,83.545,123.872,8.687675675675676,31,0.9127634801853811,Normal
ALO,McLaren,2,85.044,ULTRASOFT,2,1,1,19.4,53.2,False,True,29.837,33.476,21.731,6.302999999999997,True,20.0,84.62049999999999,0.5989194436649966,84.197,85.044,5.8795,2,0.9929720309340887,Normal
STR,Williams,2,85.715,ULTRASOFT,2,1,1,19.4,53.2,False,True,29.773,33.925,22.017,6.974000000000004,True,12.0,86.55511764705882,6.042951086737245,82.983,109.564,7.814117647058824,56,0.9347399878920831,Normal
MAG,Haas F1 Team,2,86.054,SUPERSOFT,2,1,1,19.4,53.2,False,True,29.832,34.235,21.987,7.313000000000002,True,15.0,86.70948529411764,5.930551119573126,81.874,111.782,7.968485294117647,58,0.9359828498653668,Normal
SIR,Williams,2,86.893,ULTRASOFT,2,1,1,19.4,53.2,False,True,29.887,34.678,22.328,8.152000000000001,True,13.0,86.55638235294117,5.777768690909501,82.64,110.352,7.815382352941177,58,0.9374254419887874,Normal
GAS,Toro Rosso,2,86.566,HYPERSOFT,2,1,1,19.4,53.2,False,True,29.676,34.372,22.518,7.825000000000003,True,10.0,86.42008823529412,6.245133933139031,82.755,110.969,7.679088235294118,58,0.9326054177932305,Normal
VAN,McLaren,2,86.274,ULTRASOFT,2,1,1,19.4,53.2,False,True,29.597,34.419,22.258,7.533000000000001,True,8.0,86.23148529411765,6.046675624196996,81.921,112.135,7.490485294117648,59,0.9344733839077096,Normal
GRO,Haas F1 Team,2,87.651,SUPERSOFT,2,1,1,19.4,53.2,False,True,29.516,35.99,22.145,8.909999999999997,True,16.0,86.77958208955224,6.759190127991743,81.37,113.751,8.03858208955224,57,0.9277391613365222,Normal
HAR,Toro Rosso,2,101.496,ULTRASOFT,1,2,1,19.4,53.2,False,True,47.57,32.392,21.534,22.754999999999995,False,14.0,86.47376470588236,5.822958475422689,82.438,109.665,7.732764705882353,58,0.9369104527797348,Outlier
OCO,Racing Point,2,106.839,SUPERSOFT,6,2,1,19.4,53.2,False,True,53.324,32.343,21.172,28.098,False,11.0,86.4904705882353,6.50760399879189,82.629,114.369,7.749470588235295,59,0.9300243147216763,Outlier
VER,Red Bull Racing,3,81.091,ULTRASOFT,6,1,1,19.3,53.4,False,True,28.851,31.336,20.904,2.3499999999999943,True,1.0,83.22581428571428,6.6869143060177505,79.186,111.497,4.484814285714287,58,0.9256288357527096,Normal
HAM,Mercedes,3,81.62,ULTRASOFT,6,1,1,19.3,53.4,False,True,28.883,31.645,21.092,2.879000000000005,True,4.0,84.33457142857144,6.665875089754932,80.728,113.241,5.59357142857143,59,0.9267489848150084,Normal
RIC,Red Bull Racing,3,81.694,ULTRASOFT,6,1,1,19.3,53.4,False,True,28.921,31.805,20.968,2.953000000000003,True,17.0,83.12221666666666,5.751920357560379,79.462,112.689,4.381216666666668,54,0.9352801551705373,Normal
VET,Ferrari,3,82.42,ULTRASOFT,6,1,1,19.3,53.4,False,True,28.553,32.368,21.499,3.679000000000002,True,2.0,83.42365714285714,6.829141338190127,79.522,112.589,4.682657142857144,59,0.9243331901821946,Normal
BOT,Mercedes,3,82.039,ULTRASOFT,8,1,1,19.3,53.4,False,True,28.922,31.709,21.408,3.298000000000002,True,5.0,84.54485507246378,7.051499841033741,78.741,113.517,5.803855072463768,57,0.9230154972029935,Normal
RAI,Ferrari,3,82.306,ULTRASOFT,7,1,1,19.3,53.4,False,True,28.946,32.059,21.301,3.5649999999999977,True,3.0,83.85172857142857,6.192950218072134,80.334,109.7,5.110728571428573,61,0.9312235847656304,Normal
SAI,Renault,3,83.398,HYPERSOFT,6,1,1,19.3,53.4,False,True,29.177,32.812,21.409,4.6569999999999965,True,19.0,85.57885185185185,4.796859154325749,82.386,102.416,6.837851851851853,23,0.9469231378550608,Normal
HUL,Renault,3,83.641,HYPERSOFT,6,1,1,19.3,53.4,False,True,29.195,33.101,21.345,4.900000000000006,True,6.0,85.87013235294117,6.09555273387697,80.637,111.281,7.129132352941177,58,0.9337192700938116,Normal
LEC,Sauber,3,83.624,HYPERSOFT,6,1,1,19.3,53.4,False,True,29.102,32.692,21.83,4.882999999999996,True,7.0,86.01401470588236,6.021097221109221,80.537,108.788,7.273014705882353,59,0.9345782593725147,Normal
ERI,Sauber,3,84.123,HYPERSOFT,6,1,1,19.3,53.4,False,True,29.357,33.402,21.364,5.382000000000005,True,9.0,86.44563235294117,6.091562047311928,82.44,109.978,7.704632352941178,59,0.934171744812535,Normal
PER,Racing Point,3,84.078,SUPERSOFT,3,1,1,19.3,53.4,False,True,29.164,33.431,21.483,5.337000000000003,True,18.0,87.42867567567568,8.355914279565544,83.545,123.872,8.687675675675676,31,0.9127634801853811,Normal
ALO,McLaren,3,84.197,ULTRASOFT,3,1,1,19.3,53.4,False,True,29.51,32.859,21.828,5.456000000000003,True,20.0,84.62049999999999,0.5989194436649966,84.197,85.044,5.8795,2,0.9929720309340887,Peak
STR,Williams,3,84.314,ULTRASOFT,3,1,1,19.3,53.4,False,True,29.251,33.082,21.981,5.572999999999993,True,12.0,86.55511764705882,6.042951086737245,82.983,109.564,7.814117647058824,56,0.9347399878920831,Normal
MAG,Haas F1 Team,3,84.144,SUPERSOFT,3,1,1,19.3,53.4,False,True,29.168,33.188,21.788,5.403000000000006,True,15.0,86.70948529411764,5.930551119573126,81.874,111.782,7.968485294117647,58,0.9359828498653668,Normal
SIR,Williams,3,84.854,ULTRASOFT,3,1,1,19.3,53.4,False,True,29.177,33.524,22.153,6.1129999999999995,True,13.0,86.55638235294117,5.777768690909501,82.64,110.352,7.815382352941177,58,0.9374254419887874,Normal
GAS,Toro Rosso,3,84.876,HYPERSOFT,3,1,1,19.3,53.4,False,True,29.359,33.292,22.225,6.135000000000005,True,10.0,86.42008823529412,6.245133933139031,82.755,110.969,7.679088235294118,58,0.9326054177932305,Normal
VAN,McLaren,3,84.867,ULTRASOFT,3,1,1,19.3,53.4,False,True,29.416,33.263,22.188,6.126000000000005,True,8.0,86.23148529411765,6.046675624196996,81.921,112.135,7.490485294117648,59,0.9344733839077096,Normal
GRO,Haas F1 Team,3,84.711,SUPERSOFT,3,1,1,19.3,53.4,False,True,29.418,33.379,21.914,5.969999999999999,True,16.0,86.77958208955224,6.759190127991743,81.37,113.751,8.03858208955224,57,0.9277391613365222,Normal
HAR,Toro Rosso,3,83.31,ULTRASOFT,2,2,1,19.5,53.0,False,True,29.31,32.485,21.515,4.569000000000003,True,14.0,86.47376470588236,5.822958475422689,82.438,109.665,7.732764705882353,58,0.9369104527797348,Normal
OCO,Racing Point,3,82.749,SUPERSOFT,7,2,1,19.5,53.0,False,True,28.973,32.364,21.412,4.007999999999996,True,11.0,86.4904705882353,6.50760399879189,82.629,114.369,7.749470588235295,59,0.9300243147216763,Normal
VER,Red Bull Racing,4,81.162,ULTRASOFT,7,1,1,19.5,53.0,False,True,28.895,31.335,20.932,2.4210000000000065,True,1.0,83.22581428571428,6.6869143060177505,79.186,111.497,4.484814285714287,58,0.9256288357527096,Normal
HAM,Mercedes,4,81.363,ULTRASOFT,7,1,1,19.5,53.0,False,True,28.814,31.484,21.065,2.622,True,4.0,84.33457142857144,6.665875089754932,80.728,113.241,5.59357142857143,59,0.9267489848150084,Normal
RIC,Red Bull Racing,4,81.369,ULTRASOFT,7,1,1,19.5,53.0,False,True,28.693,31.665,21.011,2.628,True,17.0,83.12221666666666,5.751920357560379,79.462,112.689,4.381216666666668,54,0.9352801551705373,Normal
VET,Ferrari,4,81.959,ULTRASOFT,7,1,12,19.5,53.0,False,True,28.532,32.088,21.339,3.2180000000000035,False,2.0,83.42365714285714,6.829141338190127,79.522,112.589,4.682657142857144,59,0.9243331901821946,Outlier
BOT,Mercedes,4,81.987,ULTRASOFT,9,1,12,19.5,53.0,False,True,28.812,31.909,21.266,3.245999999999995,False,5.0,84.54485507246378,7.051499841033741,78.741,113.517,5.803855072463768,57,0.9230154972029935,Outlier
RAI,Ferrari,4,82.416,ULTRASOFT,8,1,12,19.5,53.0,False,True,28.684,32.227,21.505,3.674999999999997,False,3.0,83.85172857142857,6.192950218072134,80.334,109.7,5.110728571428573,61,0.9312235847656304,Outlier
SAI,Renault,4,82.891,HYPERSOFT,7,1,12,19.5,52.8,False,True,29.192,32.569,21.13,4.150000000000006,False,19.0,85.57885185185185,4.796859154325749,82.386,102.416,6.837851851851853,23,0.9469231378550608,Outlier
HUL,Renault,4,82.839,HYPERSOFT,7,1,12,19.5,52.8,False,True,28.781,32.771,21.287,4.097999999999999,False,6.0,85.87013235294117,6.09555273387697,80.637,111.281,7.129132352941177,58,0.9337192700938116,Outlier
LEC,Sauber,4,83.359,HYPERSOFT,7,1,12,19.5,52.8,False,True,28.838,32.976,21.545,4.617999999999995,False,7.0,86.01401470588236,6.021097221109221,80.537,108.788,7.273014705882353,59,0.9345782593725147,Outlier
ERI,Sauber,4,83.708,HYPERSOFT,7,1,12,19.5,52.8,False,True,28.938,33.28,21.49,4.966999999999999,False,9.0,86.44563235294117,6.091562047311928,82.44,109.978,7.704632352941178,59,0.934171744812535,Outlier
PER,Racing Point,4,83.975,SUPERSOFT,4,1,12,19.5,52.8,False,True,28.899,33.418,21.658,5.233999999999995,False,18.0,87.42867567567568,8.355914279565544,83.545,123.872,8.687675675675676,31,0.9127634801853811,Outlier
STR,Williams,4,84.567,ULTRASOFT,4,1,12,19.5,52.8,False,True,29.406,33.32,21.841,5.825999999999993,False,12.0,86.55511764705882,6.042951086737245,82.983,109.564,7.814117647058824,56,0.9347399878920831,Outlier
MAG,Haas F1 Team,4,84.985,SUPERSOFT,4,1,12,19.5,52.8,False,True,29.147,34.04,21.798,6.244,False,15.0,86.70948529411764,5.930551119573126,81.874,111.782,7.968485294117647,58,0.9359828498653668,Outlier
VAN,McLaren,4,84.427,ULTRASOFT,4,1,12,19.5,52.8,False,True,29.329,33.12,21.978,5.686000000000007,False,8.0,86.23148529411765,6.046675624196996,81.921,112.135,7.490485294117648,59,0.9344733839077096,Outlier
SIR,Williams,4,86.956,ULTRASOFT,4,1,12,19.5,52.8,False,True,30.521,34.303,22.132,8.215000000000003,False,13.0,86.55638235294117,5.777768690909501,82.64,110.352,7.815382352941177,58,0.9374254419887874,Outlier
GRO,Haas F1 Team,4,85.891,SUPERSOFT,4,1,12,19.5,52.8,False,True,29.223,34.478,22.19,7.150000000000006,False,16.0,86.77958208955224,6.759190127991743,81.37,113.751,8.03858208955224,57,0.9277391613365222,Outlier
GAS,Toro Rosso,4,87.707,HYPERSOFT,4,1,12,19.5,52.8,False,True,30.54,34.736,22.431,8.965999999999994,False,10.0,86.42008823529412,6.245133933139031,82.755,110.969,7.679088235294118,58,0.9326054177932305,Outlier
HAR,Toro Rosso,4,89.459,ULTRASOFT,3,2,126,19.5,52.8,False,True,29.483,32.972,27.004,10.718000000000004,False,14.0,86.47376470588236,5.822958475422689,82.438,109.665,7.732764705882353,58,0.9369104527797348,Outlier
OCO,Racing Point,4,92.107,SUPERSOFT,8,2,126,19.5,52.8,False,True,28.981,33.018,30.108,13.366,False,11.0,86.4904705882353,6.50760399879189,82.629,114.369,7.749470588235295,59,0.9300243147216763,Outlier
VER,Red Bull Racing,5,98.701,ULTRASOFT,8,1,1267,19.5,52.8,False,True,28.924,43.29,26.487,19.959999999999994,False,1.0,83.22581428571428,6.6869143060177505,79.186,111.497,4.484814285714287,58,0.9256288357527096,Outlier
HAM,Mercedes,5,99.795,ULTRASOFT,8,1,1267,19.5,52.8,False,True,28.782,43.842,27.171,21.054000000000002,False,4.0,84.33457142857144,6.665875089754932,80.728,113.241,5.59357142857143,59,0.9267489848150084,Outlier
RIC,Red Bull Racing,5,99.891,ULTRASOFT,8,1,1267,19.5,52.8,False,True,28.785,43.839,27.267,21.150000000000006,False,17.0,83.12221666666666,5.751920357560379,79.462,112.689,4.381216666666668,54,0.9352801551705373,Outlier
VET,Ferrari,5,99.698,ULTRASOFT,8,1,2167,19.5,52.8,False,True,28.843,45.078,25.777,20.956999999999994,False,2.0,83.42365714285714,6.829141338190127,79.522,112.589,4.682657142857144,59,0.9243331901821946,Outlier
BOT,Mercedes,5,99.911,ULTRASOFT,10,1,2167,19.5,52.8,False,True,30.018,44.599,25.294,21.17,False,5.0,84.54485507246378,7.051499841033741,78.741,113.517,5.803855072463768,57,0.9230154972029935,Outlier
RAI,Ferrari,5,100.29,ULTRASOFT,9,1,2167,19.5,52.8,False,True,31.757,43.81,24.723,21.549000000000007,False,3.0,83.85172857142857,6.192950218072134,80.334,109.7,5.110728571428573,61,0.9312235847656304,Outlier
SAI,Renault,5,101.334,HYPERSOFT,8,1,2167,19.5,52.8,False,True,37.217,38.896,25.221,22.593000000000004,False,19.0,85.57885185185185,4.796859154325749,82.386,102.416,6.837851851851853,23,0.9469231378550608,Outlier
HUL,Renault,5,101.471,HYPERSOFT,8,1,2167,19.5,52.8,False,True,37.171,38.623,25.677,22.730000000000004,False,6.0,85.87013235294117,6.09555273387697,80.637,111.281,7.129132352941177,58,0.9337192700938116,Outlier
LEC,Sauber,5,101.425,HYPERSOFT,8,1,2167,19.5,52.8,False,True,35.901,40.205,25.319,22.683999999999997,False,7.0,86.01401470588236,6.021097221109221,80.537,108.788,7.273014705882353,59,0.9345782593725147,Outlier
ERI,Sauber,5,100.775,HYPERSOFT,8,1,2167,19.5,52.8,False,True,36.131,41.889,22.755,22.034000000000006,False,9.0,86.44563235294117,6.091562047311928,82.44,109.978,7.704632352941178,59,0.934171744812535,Outlier
PER,Racing Point,5,100.916,SUPERSOFT,5,1,2167,19.5,52.8,False,True,37.706,40.576,22.634,22.174999999999997,False,18.0,87.42867567567568,8.355914279565544,83.545,123.872,8.687675675675676,31,0.9127634801853811,Outlier
STR,Williams,5,101.542,ULTRASOFT,5,1,2167,19.5,52.8,False,True,37.697,41.825,22.02,22.801000000000002,False,12.0,86.55511764705882,6.042951086737245,82.983,109.564,7.814117647058824,56,0.9347399878920831,Outlier
MAG,Haas F1 Team,5,102.566,SUPERSOFT,5,1,1267,19.5,52.8,False,True,37.89,42.757,21.919,23.825000000000003,False,15.0,86.70948529411764,5.930551119573126,81.874,111.782,7.968485294117647,58,0.9359828498653668,Outlier
VAN,McLaren,5,102.308,ULTRASOFT,5,1,1267,19.5,52.8,False,True,40.586,40.095,21.627,23.567000000000007,False,8.0,86.23148529411765,6.046675624196996,81.921,112.135,7.490485294117648,59,0.9344733839077096,Outlier
SIR,Williams,5,101.863,ULTRASOFT,5,1,1267,19.5,52.8,False,True,39.982,39.447,22.434,23.122,False,13.0,86.55638235294117,5.777768690909501,82.64,110.352,7.815382352941177,58,0.9374254419887874,Outlier
GRO,Haas F1 Team,5,102.593,SUPERSOFT,5,1,2671,19.5,52.8,False,True,39.968,40.114,22.511,23.852000000000004,False,16.0,86.77958208955224,6.759190127991743,81.37,113.751,8.03858208955224,57,0.9277391613365222,Outlier
GAS,Toro Rosso,5,104.408,HYPERSOFT,5,1,2671,19.5,52.8,False,True,41.052,38.162,25.194,25.667,False,10.0,86.42008823529412,6.245133933139031,82.755,110.969,7.679088235294118,58,0.9326054177932305,Outlier
HAR,Toro Rosso,5,95.404,ULTRASOFT,4,2,671,19.5,52.8,False,True,39.781,34.356,21.267,16.662999999999997,False,14.0,86.47376470588236,5.822958475422689,82.438,109.665,7.732764705882353,58,0.9369104527797348,Outlier
OCO,Racing Point,5,92.097,SUPERSOFT,9,2,671,19.5,52.8,False,True,37.37,33.281,21.446,13.355999999999995,False,11.0,86.4904705882353,6.50760399879189,82.629,114.369,7.749470588235295,59,0.9300243147216763,Outlier
VER,Red Bull Racing,6,83.465,ULTRASOFT,9,1,71,19.5,52.8,False,True,31.327,31.302,20.836,4.724000000000004,False,1.0,83.22581428571428,6.6869143060177505,79.186,111.497,4.484814285714287,58,0.9256288357527096,Outlier
