Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
RIC,Red Bull Racing,2,78.135,nan,0,0,21,25.8,50.6,True,False,20.757,36.56,20.818,3.875,False,1.0,79.12477922077922,3.853643353419203,75.562,106.5,4.864779220779216,68,0.9535584886544051,Outlier
VET,Ferrari,2,78.447,HYPERSOFT,4,1,21,25.8,50.6,True,False,20.792,36.481,21.174,4.186999999999998,False,2.0,79.2053116883117,4.0599776582861375,76.065,107.651,4.9453116883116826,68,0.9512404545742202,Outlier
HAM,Mercedes,2,78.485,HYPERSOFT,4,1,21,25.8,50.6,True,False,20.879,36.49,21.116,4.224999999999994,False,3.0,79.31824675324675,3.809851600079388,76.27,106.095,5.058246753246748,69,0.9541689070777722,Outlier
RAI,Ferrari,2,78.414,HYPERSOFT,4,1,21,25.8,50.6,True,False,20.887,36.611,20.916,4.153999999999996,False,4.0,79.32074025974026,3.7330886936697896,76.392,104.166,5.060740259740254,68,0.9550521783196303,Outlier
BOT,Mercedes,2,78.63,HYPERSOFT,5,1,21,25.8,50.6,True,False,20.86,36.79,20.98,4.36999999999999,False,5.0,79.3191948051948,3.7564030423817343,76.312,103.692,5.0591948051947995,67,0.954783316163745,Outlier
OCO,Force India,2,79.01,HYPERSOFT,6,1,21,25.8,50.6,True,False,21.25,36.765,20.995,4.75,False,6.0,79.36846753246753,3.8997487185728934,77.027,103.478,5.108467532467527,68,0.9531664193836484,Outlier
ALO,McLaren,2,79.987,HYPERSOFT,6,1,21,25.8,50.6,True,False,21.025,37.561,21.401,5.72699999999999,False,20.0,79.51213725490196,2.6069251237395203,77.018,96.37,5.252137254901957,47,0.9682543242917304,Outlier
SAI,Renault,2,80.492,HYPERSOFT,4,1,21,25.8,50.6,True,False,21.238,37.483,21.771,6.231999999999999,False,10.0,79.92687012987012,3.5460328921747877,77.491,97.839,5.666870129870125,69,0.9575187544245551,Outlier
PER,Force India,2,80.609,HYPERSOFT,4,1,21,25.8,50.6,True,False,21.487,37.484,21.638,6.3489999999999895,False,12.0,79.9276103896104,3.88145459425446,77.546,102.266,5.667610389610385,68,0.9536869359537452,Outlier
GAS,Toro Rosso,2,80.619,HYPERSOFT,6,1,21,25.8,50.6,True,False,21.571,37.371,21.677,6.358999999999995,False,7.0,79.31849350649351,3.69015990462037,77.099,102.394,5.058493506493503,68,0.9555448769136844,Outlier
HUL,Renault,2,81.091,ULTRASOFT,1,1,21,25.8,50.6,True,False,22.052,37.345,21.694,6.830999999999989,False,8.0,79.32262337662337,3.791399030211468,76.061,102.451,5.062623376623372,69,0.9543831603811335,Outlier
SIR,Williams,2,80.928,HYPERSOFT,1,1,21,25.8,50.6,True,False,21.92,37.472,21.536,6.667999999999992,False,16.0,80.7101447368421,5.1970172950875,75.325,104.668,6.450144736842099,64,0.9395042605044281,Outlier
VAN,McLaren,2,80.87,ULTRASOFT,1,1,21,25.8,50.6,True,False,21.779,37.633,21.458,6.609999999999999,False,14.0,80.02582894736842,5.312931146773019,76.864,118.392,5.765828947368416,67,0.9377430473455197,Outlier
LEC,Sauber,2,80.754,ULTRASOFT,1,1,21,25.8,50.6,True,False,21.608,37.813,21.333,6.494,False,18.0,79.45836231884059,2.3754677989510533,77.71,97.708,5.198362318840574,63,0.9709720564767432,Outlier
HAR,Toro Rosso,2,80.993,HYPERSOFT,1,1,21,25.8,50.6,True,False,21.71,37.825,21.458,6.73299999999999,False,19.0,79.42576811594202,2.264857625345601,77.172,96.713,5.165768115942024,64,0.9722751832931438,Outlier
STR,Williams,2,81.061,ULTRASOFT,1,1,21,25.8,50.6,True,False,21.756,37.93,21.375,6.801000000000002,False,17.0,81.50502666666667,10.103658933134927,74.944,147.991,7.245026666666662,62,0.8897085045268153,Outlier
ERI,Sauber,2,81.243,ULTRASOFT,1,1,21,25.8,50.6,True,False,21.896,37.931,21.416,6.98299999999999,False,11.0,79.86388311688312,3.693027363096519,76.936,101.413,5.603883116883112,68,0.9558022509223653,Outlier
VER,Red Bull Racing,2,81.235,ULTRASOFT,1,1,21,25.8,50.6,True,False,21.807,37.889,21.539,6.974999999999994,False,9.0,79.27836363636364,3.898279326591924,74.26,102.558,5.018363636363632,69,0.9531325238946214,Outlier
