Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
BOT,Mercedes,2,100.109,nan,0,0,1,25.0,55.6,False,True,35.925,34.417,29.767,4.2479999999999905,True,2.0,98.98828846153846,3.2056340129469487,95.861,118.78,3.1272884615384564,49,0.9686318527038895,Normal
HAM,Mercedes,2,100.132,ULTRASOFT,4,1,1,25.0,55.6,False,True,35.884,34.653,29.595,4.271000000000001,True,1.0,98.91288461538463,3.303314679042601,95.916,119.661,3.0518846153846115,49,0.9676830609840266,Normal
VET,Ferrari,2,100.317,ULTRASOFT,4,1,1,25.0,55.6,False,True,35.755,34.832,29.73,4.455999999999989,True,3.0,99.03440384615384,3.027925616588488,95.99,117.762,3.1734038461538416,49,0.9703325837012781,Normal
RAI,Ferrari,2,100.972,ULTRASOFT,4,1,1,25.0,55.6,False,True,35.818,35.141,30.013,5.11099999999999,True,4.0,99.1851923076923,3.0974238824207805,96.611,118.151,3.3241923076923023,49,0.9697170057063891,Normal
LEC,Sauber,2,102.21,HYPERSOFT,4,1,1,25.0,55.6,False,True,36.519,35.728,29.963,6.3489999999999895,True,7.0,100.71003846153846,3.2529381286891956,98.107,121.264,4.8490384615384565,49,0.9687106099173102,Normal
MAG,Haas F1 Team,2,104.252,HYPERSOFT,4,1,1,25.0,55.6,False,True,38.129,36.214,29.909,8.390999999999991,True,8.0,101.03643137254902,3.24190003704556,98.015,119.929,5.175431372549016,48,0.9689110863856106,Normal
OCO,Racing Point,2,103.928,HYPERSOFT,4,1,1,25.0,55.6,False,True,36.918,36.801,30.209,8.066999999999993,True,9.0,101.08794117647058,3.3717279511358265,98.366,121.76,5.226941176470585,48,0.9677222034178858,Normal
PER,Racing Point,2,104.146,HYPERSOFT,4,1,1,25.0,55.6,False,True,36.57,36.81,30.766,8.284999999999997,True,10.0,101.15650980392157,3.325484147444098,98.3,121.517,5.295509803921564,48,0.9681717009632105,Normal
GRO,Haas F1 Team,2,104.614,HYPERSOFT,4,1,1,25.0,55.6,False,True,36.99,36.59,31.034,8.753,True,11.0,101.45400000000001,3.7357989239251106,98.244,122.3,5.592999999999996,48,0.9644851595673559,Normal
ERI,Sauber,2,104.518,HYPERSOFT,4,1,1,25.0,55.6,False,True,36.78,36.771,30.967,8.656999999999996,True,13.0,101.87119607843137,4.189144590579836,97.931,121.115,6.010196078431369,46,0.9605022521693274,Normal
SAI,Renault,2,104.804,Soft,1,1,1,25.0,55.6,False,True,36.77,36.282,31.752,8.942999999999998,True,17.0,102.90492,3.322153910599913,99.731,123.528,7.043919999999996,46,0.9687259209135721,Normal
HUL,Renault,2,104.783,Soft,1,1,1,25.0,55.6,False,True,37.347,36.206,31.23,8.921999999999997,True,12.0,101.49196078431373,3.12969314764744,99.108,120.394,5.630960784313721,48,0.9700856081888862,Normal
STR,Williams,2,104.323,ULTRASOFT,1,1,1,25.0,55.6,False,True,36.778,36.433,31.112,8.461999999999989,True,15.0,102.20678431372549,3.466647425474503,99.435,121.404,6.345784313725486,47,0.9671947114007793,Normal
SIR,Williams,2,104.593,ULTRASOFT,1,1,1,25.0,55.6,False,True,37.117,36.34,31.136,8.732,True,18.0,102.86211999999999,3.8526399676066245,99.838,123.408,7.001119999999995,44,0.9638977778821214,Normal
RIC,Red Bull Racing,2,103.473,Soft,1,1,1,25.0,55.6,False,True,36.667,36.045,30.761,7.611999999999995,True,6.0,100.2065576923077,4.0175112060483364,96.345,126.147,4.345557692307688,49,0.9614531341127509,Normal
ALO,McLaren,2,105.694,ULTRASOFT,1,1,1,25.0,55.6,False,True,37.293,36.637,31.764,9.832999999999998,True,14.0,102.16049019607844,3.272168139766348,99.59,122.09,6.299490196078427,48,0.9689643779127413,Normal
VAN,McLaren,2,105.885,ULTRASOFT,1,1,1,25.0,55.6,False,True,37.111,37.313,31.461,10.024000000000001,False,16.0,102.73636,3.593405046322897,99.922,122.919,6.875359999999996,44,0.9662050880601738,Outlier
HAR,Toro Rosso,2,105.852,HYPERSOFT,1,1,1,25.0,55.6,False,True,36.784,37.134,31.934,9.991,True,20.0,107.07300000000001,1.726754759657539,105.852,108.294,11.211999999999996,1,0.9841290565087026,Peak
GAS,Toro Rosso,2,105.883,Soft,1,1,1,25.0,55.6,False,True,37.031,37.148,31.704,10.021999999999991,False,19.0,115.14533333333333,17.635357788639652,104.071,135.482,19.284333333333326,1,0.8671843199517637,Outlier
BOT,Mercedes,3,99.849,ULTRASOFT,4,1,1,25.1,56.9,False,True,35.982,34.465,29.402,3.9879999999999995,True,2.0,98.98828846153846,3.2056340129469487,95.861,118.78,3.1272884615384564,49,0.9686318527038895,Normal
HAM,Mercedes,3,99.916,ULTRASOFT,5,1,1,25.1,56.9,False,True,35.784,34.589,29.543,4.054999999999993,True,1.0,98.91288461538463,3.303314679042601,95.916,119.661,3.0518846153846115,49,0.9676830609840266,Normal
VET,Ferrari,3,100.119,ULTRASOFT,5,1,1,25.1,56.9,False,True,35.69,34.783,29.646,4.257999999999996,True,3.0,99.03440384615384,3.027925616588488,95.99,117.762,3.1734038461538416,49,0.9703325837012781,Normal
RAI,Ferrari,3,100.357,ULTRASOFT,5,1,1,25.1,56.9,False,True,35.846,34.731,29.78,4.495999999999995,True,4.0,99.1851923076923,3.0974238824207805,96.611,118.151,3.3241923076923023,49,0.9697170057063891,Normal
LEC,Sauber,3,101.845,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.494,35.322,30.029,5.983999999999995,True,7.0,100.71003846153846,3.2529381286891956,98.107,121.264,4.8490384615384565,49,0.9687106099173102,Normal
MAG,Haas F1 Team,3,101.658,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.359,35.355,29.944,5.796999999999997,True,8.0,101.03643137254902,3.24190003704556,98.015,119.929,5.175431372549016,48,0.9689110863856106,Normal
OCO,Racing Point,3,102.179,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.148,35.695,30.336,6.317999999999998,True,9.0,101.08794117647058,3.3717279511358265,98.366,121.76,5.226941176470585,48,0.9677222034178858,Normal
PER,Racing Point,3,102.362,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.532,35.7,30.13,6.500999999999991,True,10.0,101.15650980392157,3.325484147444098,98.3,121.517,5.295509803921564,48,0.9681717009632105,Normal
VER,Red Bull Racing,3,101.713,Soft,2,1,1,25.1,56.9,False,True,36.137,35.544,30.032,5.85199999999999,True,5.0,99.25954901960785,2.938857732614664,96.283,117.741,3.398549019607839,48,0.9712436051988574,Normal
GRO,Haas F1 Team,3,103.912,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.357,36.382,31.173,8.051000000000002,True,11.0,101.45400000000001,3.7357989239251106,98.244,122.3,5.592999999999996,48,0.9644851595673559,Normal
ERI,Sauber,3,103.938,HYPERSOFT,5,1,1,25.1,56.9,False,True,36.896,35.929,31.113,8.076999999999998,True,13.0,101.87119607843137,4.189144590579836,97.931,121.115,6.010196078431369,46,0.9605022521693274,Normal
SAI,Renault,3,103.522,Soft,2,1,1,25.1,56.9,False,True,36.239,36.346,30.937,7.661000000000001,True,17.0,102.90492,3.322153910599913,99.731,123.528,7.043919999999996,46,0.9687259209135721,Normal
HUL,Renault,3,103.588,Soft,2,1,1,25.1,56.9,False,True,36.199,35.956,31.433,7.72699999999999,True,12.0,101.49196078431373,3.12969314764744,99.108,120.394,5.630960784313721,48,0.9700856081888862,Normal
RIC,Red Bull Racing,3,101.298,Soft,2,1,1,25.2,57.4,False,True,35.892,35.143,30.263,5.436999999999998,True,6.0,100.2065576923077,4.0175112060483364,96.345,126.147,4.345557692307688,49,0.9614531341127509,Normal
STR,Williams,3,104.741,ULTRASOFT,2,1,1,25.2,57.4,False,True,36.315,36.521,31.905,8.879999999999995,True,15.0,102.20678431372549,3.466647425474503,99.435,121.404,6.345784313725486,47,0.9671947114007793,Normal
SIR,Williams,3,105.16,ULTRASOFT,2,1,1,25.2,57.4,False,True,37.512,36.616,31.032,9.298999999999992,True,18.0,102.86211999999999,3.8526399676066245,99.838,123.408,7.001119999999995,44,0.9638977778821214,Normal
