Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
VAN,McLaren,4,149.971,ULTRASOFT,3,1,41,29.8,63.5,False,True,47.265,55.108,47.598,48.066,False,12.0,109.45484210526317,6.247945167325788,105.555,149.971,7.549842105263157,54,0.9460000461993539,Outlier
STR,Williams,4,147.976,Soft,3,1,41,29.8,63.5,False,True,47.267,54.002,46.707,46.071,False,14.0,109.61347368421052,6.0097040428236435,106.033,147.976,7.708473684210525,54,0.9480233620891177,Outlier
SIR,Williams,4,144.95,Soft,1,2,41,29.8,63.5,False,True,51.411,47.425,46.114,43.04499999999999,False,19.0,111.56807142857143,6.058613684385513,105.902,144.95,9.663071428571428,43,0.9484928638551071,Outlier
HAM,Mercedes,5,108.052,HYPERSOFT,6,1,1,29.9,63.8,False,True,28.716,41.914,37.422,6.147000000000006,True,1.0,105.91582456140351,3.3022061084913172,102.913,127.051,4.010824561403508,55,0.9697650096029286,Normal
VET,Ferrari,5,108.305,HYPERSOFT,7,1,1,29.9,63.8,False,True,28.867,42.141,37.297,6.400000000000006,True,3.0,106.60156140350877,2.619846103833093,104.669,123.072,4.696561403508771,55,0.9760134376252476,Normal
VER,Red Bull Racing,5,108.36,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.359,41.754,37.247,6.454999999999998,True,2.0,106.04414035087719,3.095453056146541,103.345,125.658,4.139140350877192,55,0.9716376709907429,Normal
BOT,Mercedes,5,108.477,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.277,42.063,37.137,6.572000000000003,True,4.0,106.78705263157894,2.819239052735013,104.72,125.123,4.882052631578946,55,0.9742784925079399,Normal
RAI,Ferrari,5,108.817,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.062,42.595,37.16,6.911999999999992,True,5.0,106.79471929824561,2.8221106320978113,104.715,124.271,4.889719298245613,55,0.9742547687805684,Normal
RIC,Red Bull Racing,5,109.039,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.424,42.209,37.406,7.134,True,6.0,106.79677192982456,3.395077182046841,103.12,128.039,4.89177192982456,55,0.9691893982230935,Normal
PER,Racing Point,5,108.673,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.325,42.134,37.214,6.768000000000001,True,16.0,109.45364285714287,5.274186160152864,105.389,129.117,7.548642857142856,50,0.954028711208701,Normal
GRO,Haas F1 Team,5,109.355,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.478,42.526,37.351,7.450000000000003,True,15.0,108.95883928571428,3.4731910283132765,105.904,128.416,7.053839285714284,52,0.9691085270041597,Normal
ALO,McLaren,5,110.255,ULTRASOFT,4,1,1,29.9,63.8,False,True,29.862,42.623,37.77,8.349999999999994,True,7.0,107.60368421052631,3.374050952055656,103.164,127.447,5.698684210526316,55,0.9695970462263203,Normal
SAI,Renault,5,110.637,ULTRASOFT,4,1,1,29.9,63.8,False,True,29.657,42.817,38.163,8.732,True,8.0,108.05371428571428,3.160885662504825,105.211,126.917,6.148714285714285,54,0.9715785008085582,Normal
HUL,Renault,5,111.024,HYPERSOFT,7,1,1,29.9,63.8,False,True,29.706,43.185,38.133,9.119,True,10.0,108.54183928571429,3.17228234314198,106.093,127.551,6.636839285714285,54,0.9716035690305909,Normal
GAS,Toro Rosso,5,111.186,HYPERSOFT,4,1,1,29.9,63.8,False,True,29.937,43.17,38.079,9.281000000000006,True,13.0,108.94708928571428,3.3634377990750313,106.063,125.254,7.042089285714285,52,0.9700523371550398,Normal
LEC,Sauber,5,111.484,ULTRASOFT,4,1,1,29.9,63.8,False,True,29.815,43.348,38.321,9.578999999999994,True,9.0,108.28051785714285,2.9728195370179042,105.203,125.53,6.375517857142856,54,0.9732788282432779,Normal
ERI,Sauber,5,111.588,ULTRASOFT,4,1,1,29.9,63.8,False,True,29.659,43.562,38.367,9.682999999999993,True,11.0,108.76155357142856,3.031554560225394,105.169,125.409,6.85655357142857,53,0.9728824557176167,Normal
MAG,Haas F1 Team,5,111.813,ULTRASOFT,4,1,1,29.9,63.8,False,True,29.946,43.43,38.437,9.908000000000001,True,18.0,109.89536363636364,4.782731577958495,101.905,127.022,7.990363636363635,47,0.9582942882943771,Normal
HAR,Toro Rosso,5,111.553,HYPERSOFT,4,1,1,29.9,63.8,False,True,30.018,43.066,38.469,9.647999999999996,True,17.0,109.60730357142857,4.3240277264254585,104.889,127.12,7.702303571428571,49,0.9620470710105106,Normal
VAN,McLaren,5,111.556,ULTRASOFT,4,1,1,29.9,63.8,False,True,30.04,43.027,38.489,9.650999999999996,True,12.0,109.45484210526317,6.247945167325788,105.555,149.971,7.549842105263157,54,0.9460000461993539,Normal
STR,Williams,5,111.767,Soft,4,1,1,29.9,63.8,False,True,30.053,43.136,38.578,9.861999999999995,True,14.0,109.61347368421052,6.0097040428236435,106.033,147.976,7.708473684210525,54,0.9480233620891177,Normal
SIR,Williams,5,111.949,Soft,2,2,1,29.9,63.8,False,True,29.896,43.392,38.661,10.043999999999997,False,19.0,111.56807142857143,6.058613684385513,105.902,144.95,9.663071428571428,43,0.9484928638551071,Outlier
HAM,Mercedes,6,108.563,HYPERSOFT,7,1,1,30.0,63.8,False,True,29.222,42.349,36.992,6.658000000000001,True,1.0,105.91582456140351,3.3022061084913172,102.913,127.051,4.010824561403508,55,0.9697650096029286,Normal
VET,Ferrari,6,108.471,HYPERSOFT,8,1,1,30.0,63.8,False,True,29.103,42.517,36.851,6.5660000000000025,True,3.0,106.60156140350877,2.619846103833093,104.669,123.072,4.696561403508771,55,0.9760134376252476,Normal
