Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
SIR,Williams,2,149.412,Soft,1,1,4,16.0,52.9,True,False,60.925,47.735,40.752,70.971,False,14.0,90.35001612903226,15.115628150255102,82.68,149.412,11.909016129032256,50,0.8566772312106977,Outlier
HAM,Mercedes,3,132.826,Soft,4,1,4,16.3,51.0,True,False,45.304,47.505,40.017,54.38499999999999,False,1.0,85.40671875,13.723649734914796,79.133,133.88,6.965718749999997,54,0.8615595811388194,Outlier
VET,Ferrari,3,133.906,Soft,5,1,4,16.3,51.0,True,False,45.942,48.653,39.311,55.465,False,4.0,85.82003125,14.32964119996181,79.128,133.906,7.379031249999997,55,0.8569177427203131,Outlier
BOT,Mercedes,3,132.648,Soft,5,1,4,16.3,51.0,True,False,45.535,47.509,39.604,54.206999999999994,False,2.0,85.678171875,13.61455356286139,79.478,132.666,7.237171874999997,54,0.8628846826106958,Outlier
RAI,Ferrari,3,133.153,Soft,5,1,4,16.3,51.0,True,False,46.054,47.688,39.411,54.71199999999999,False,17.0,93.1474347826087,20.436790892510245,81.531,133.153,14.706434782608692,18,0.8200736874241243,Outlier
VER,Red Bull Racing,3,133.094,Soft,5,1,4,16.3,51.0,True,False,45.515,47.108,40.471,54.65299999999999,False,3.0,85.742796875,13.646163597375615,79.422,133.094,7.301796874999997,55,0.8626994031075669,Outlier
RIC,Red Bull Racing,3,133.445,Soft,5,1,4,16.3,51.0,True,False,46.688,47.242,39.515,55.00399999999999,False,5.0,86.08671875,13.89064366898419,78.441,133.445,7.645718749999997,55,0.8610621111330041,Outlier
MAG,Haas F1 Team,3,133.292,Soft,6,1,4,16.3,51.0,True,False,46.681,46.907,39.704,54.851,False,6.0,86.92490476190477,12.994465063291594,80.246,133.292,8.483904761904759,54,0.8699504902200171,Outlier
SAI,Renault,3,133.005,Soft,6,1,4,16.3,51.0,True,False,46.454,47.133,39.418,54.56399999999999,False,7.0,87.4861746031746,12.98032991098663,81.324,133.005,9.0451746031746,53,0.8707994273936643,Outlier
LEC,Sauber,3,131.588,Soft,2,1,4,16.3,51.0,True,False,45.132,47.324,39.132,53.14699999999999,False,10.0,88.07000000000001,12.804455411826083,82.122,131.588,9.628999999999998,52,0.8730654320803901,Outlier
